layer,expert,pair,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_spec_p,val_control,val_rescue_active,rank,is_two_stage
19,2,L19E002,76,0.38427734375,84,0.36279296875,0.2665771484375,0.4712036132812498,0.0,0.1923828125,0.09375,0.29638671875,0.0004,0.17041015625,0.5528273809523809,1,True
21,1,L21E001,91,0.33642578125,84,0.2734375,0.19041748046875,0.36328125,0.0,0.11767578125,0.036120605468750004,0.20654296875,0.0081,0.15576171875,0.4166666666666667,2,False
18,1,L18E001,98,0.19189453125,103,0.244140625,0.17723388671875,0.3198364257812498,0.0,0.18212890625,0.11083984375,0.26123046875,0.0,0.06201171875,0.30339805825242716,3,False
22,1,L22E001,95,0.1552734375,94,0.17919921875,0.12060546875,0.24609375,0.0,0.056640625,-0.015625,0.1318359375,0.1564,0.12255859375,0.2440159574468085,4,False
20,5,L20E005,75,0.13427734375,73,0.1552734375,0.10302734375,0.21143798828124982,0.0,-0.07421875,-0.15869140625,0.0048828125,0.073,0.2294921875,0.2722602739726027,5,False
19,6,L19E006,71,0.10009765625,67,0.07861328125,0.04833984375,0.11036376953124982,0.0,-0.24560546875,-0.3408203125,-0.162109375,0.0,0.32421875,0.1501865671641791,6,False
28,2,L28E002,88,0.0966796875,79,0.08642578125,0.04345703125,0.13427734375,0.0002,0.0048828125,-0.0654296875,0.07421875,0.9061,0.08154296875,0.14003164556962025,7,False
29,4,L29E004,103,0.05908203125,108,-0.09423828125,-0.16846923828125,-0.02685546875,0.0076,-0.0634765625,-0.12646484375,-0.00146484375,0.0442,-0.03076171875,-0.11168981481481481,8,False
25,3,L25E003,72,0.05615234375,67,0.078125,0.040026855468750004,0.11962890625,0.0001,-0.025390625,-0.08642578125,0.033203125,0.4228,0.103515625,0.14925373134328357,9,False
17,1,L17E001,111,0.052734375,107,0.08203125,0.05419921875,0.11134033203124982,0.0,0.00146484375,-0.0390625,0.0400390625,0.9602,0.08056640625,0.09813084112149532,10,False
15,5,L15E005,75,0.0517578125,76,0.0537109375,0.021484375,0.08740234375,0.0023,0.01025390625,-0.029309082031249996,0.04931640625,0.6273,0.04345703125,0.09046052631578948,11,
