layer,expert,pair,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_spec_p,val_control,val_rescue_active,rank,is_two_stage
19,2,L19E002,166,0.366455078125,162,0.356201171875,0.287347412109375,0.429931640625,0.0,0.175048828125,0.10302734375,0.2531799316406249,0.0,0.18115234375,0.5628858024691358,1,True
21,1,L21E001,169,0.278076171875,181,0.331787109375,0.27001953125,0.39794921875,0.0,0.212158203125,0.152099609375,0.2756408691406249,0.0,0.11962890625,0.469267955801105,2,False
18,1,L18E001,209,0.2177734375,202,0.22314453125,0.178955078125,0.268310546875,0.0,0.156494140625,0.111083984375,0.203369140625,0.0,0.066650390625,0.28279702970297027,3,False
22,1,L22E001,193,0.16162109375,189,0.2333984375,0.182855224609375,0.2883361816406249,0.0,0.11474609375,0.053216552734375006,0.1777404785156249,0.0006,0.11865234375,0.31613756613756616,4,False
20,5,L20E005,154,0.140869140625,157,0.165771484375,0.12840576171875,0.204833984375,0.0,-0.03759765625,-0.096441650390625,0.01856079101562491,0.214,0.203369140625,0.2703025477707006,5,False
23,2,L23E002,128,0.1015625,155,0.114990234375,0.0830078125,0.146728515625,0.0,0.015625,-0.028570556640624998,0.05713500976562491,0.4884,0.099365234375,0.18991935483870967,6,False
22,5,L22E005,145,0.09765625,134,0.10498046875,0.074456787109375,0.13818359375,0.0,-0.1162109375,-0.174560546875,-0.060791015625,0.0,0.22119140625,0.20055970149253732,7,False
19,6,L19E006,136,0.09521484375,131,0.0732421875,0.053466796875,0.0947265625,0.0,-0.295166015625,-0.36083984375,-0.232666015625,0.0,0.368408203125,0.1431297709923664,8,False
25,3,L25E003,151,0.08251953125,131,0.062255859375,0.034912109375,0.089111328125,0.0,-0.036376953125,-0.0869140625,0.008056640625,0.1465,0.0986328125,0.12166030534351145,9,False
21,6,L21E006,128,0.07568359375,106,0.05908203125,0.039306640625,0.080810546875,0.0,-0.188232421875,-0.236572265625,-0.1435546875,0.0,0.247314453125,0.14268867924528303,10,False
28,2,L28E002,153,0.07421875,169,0.0927734375,0.060546875,0.126953125,0.0,0.02001953125,-0.020513916015624998,0.06421508789062491,0.3645,0.07275390625,0.14053254437869822,11,
27,7,L27E007,132,0.068603515625,116,0.05126953125,0.025146484375,0.07984008789062491,0.0001,-0.03564453125,-0.075439453125,0.004156494140624911,0.0828,0.0869140625,0.11314655172413793,12,
23,7,L23E007,141,0.0673828125,102,0.052734375,0.033203125,0.07568359375,0.0,-0.090576171875,-0.131103515625,-0.050537109375,0.0,0.143310546875,0.1323529411764706,13,
15,5,L15E005,160,0.06396484375,157,0.06103515625,0.036376953125,0.08618774414062491,0.0,0.020263671875,-0.007568359375,0.049072265625,0.1722,0.040771484375,0.09952229299363058,14,
17,1,L17E001,222,0.062744140625,233,0.06396484375,0.040771484375,0.087158203125,0.0,-0.007080078125,-0.032470703125,0.01953125,0.6029,0.071044921875,0.07027896995708155,15,
26,3,L26E003,143,0.051025390625,144,0.048583984375,0.026123046875,0.074462890625,0.0001,-0.0439453125,-0.076904296875,-0.008544921875,0.0093,0.092529296875,0.08637152777777778,16,
17,5,L17E005,175,0.05078125,172,0.06005859375,0.044189453125,0.0771484375,0.0,-0.003662109375,-0.029547119140624998,0.02099609375,0.7871,0.063720703125,0.08938953488372094,17,
18,6,L18E006,138,0.04443359375,140,0.0322265625,0.019775390625,0.045654296875,0.0,-0.177490234375,-0.219482421875,-0.136474609375,0.0,0.209716796875,0.05892857142857143,18,
24,7,L24E007,133,0.04443359375,141,0.053955078125,0.026611328125,0.083984375,0.0003,0.01025390625,-0.033203125,0.05249633789062491,0.6634,0.043701171875,0.09796099290780141,19,
16,7,L16E007,212,0.035888671875,207,0.025390625,0.00439453125,0.047607421875,0.0235,-0.019775390625,-0.045654296875,0.006103515625,0.1372,0.045166015625,0.03140096618357488,20,
16,5,L16E005,140,0.03564453125,168,0.03369140625,0.015869140625,0.05224609375,0.0001,0.000732421875,-0.026123046875,0.0263671875,0.9715,0.032958984375,0.05133928571428571,21,
14,1,L14E001,202,0.02587890625,201,0.021728515625,0.0048828125,0.03857421875,0.0134,-0.002197265625,-0.0244140625,0.019775390625,0.8585,0.02392578125,0.02767412935323383,22,
15,6,L15E006,142,0.025146484375,162,0.01123046875,-0.00927734375,0.028564453125,0.2661,-0.067138671875,-0.095947265625,-0.0390625,0.0,0.078369140625,0.017746913580246913,23,
10,7,L10E007,215,0.020751953125,210,0.005615234375,-0.008056640625,0.02001953125,0.4568,-0.0029296875,-0.0224609375,0.016357421875,0.7914,0.008544921875,0.006845238095238095,24,
4,7,L4E007,174,0.015625,166,0.0,-0.015869140625,0.015869140625,1.0,-0.024658203125,-0.045660400390624994,-0.002685546875,0.0272,0.024658203125,0.0,25,
11,6,L11E006,148,0.01318359375,152,0.00537109375,-0.0107421875,0.02149047851562491,0.5222,-0.001220703125,-0.020751953125,0.01806640625,0.9231,0.006591796875,0.009046052631578948,26,
4,2,L4E002,151,0.0126953125,149,0.0087890625,-0.006103515625,0.02392578125,0.2672,-0.009765625,-0.031982421875,0.010260009765624911,0.3858,0.0185546875,0.015100671140939598,27,
6,7,L6E007,178,0.012451171875,189,0.01806640625,-0.001220703125,0.038330078125,0.0808,0.011474609375,-0.012457275390624998,0.03564453125,0.3644,0.006591796875,0.02447089947089947,28,
8,4,L8E004,128,0.009765625,109,0.015380859375,0.00439453125,0.027587890625,0.0092,-0.008544921875,-0.02978515625,0.01220703125,0.4358,0.02392578125,0.03612385321100917,29,
10,4,L10E004,216,0.009765625,222,0.0166015625,0.0,0.033447265625,0.058,0.016845703125,-0.0029296875,0.0361328125,0.0907,-0.000244140625,0.019144144144144143,30,
9,0,L9E000,168,0.009033203125,178,-0.0068359375,-0.022467041015624998,0.0087890625,0.4066,-0.0205078125,-0.039794921875,-0.0009765625,0.0446,0.013671875,-0.009831460674157303,31,
11,0,L11E000,203,0.00830078125,198,0.007568359375,-0.00634765625,0.022216796875,0.3103,-0.00244140625,-0.021484375,0.016845703125,0.8226,0.010009765625,0.009785353535353536,32,
9,4,L9E004,160,0.00439453125,148,0.004638671875,-0.007568359375,0.017333984375,0.4972,-0.002685546875,-0.021484375,0.016357421875,0.8062,0.00732421875,0.008023648648648648,33,
8,6,L8E006,161,0.003662109375,139,0.015869140625,-0.002203369140624998,0.03369140625,0.0852,-0.001953125,-0.025634765625,0.02271118164062491,0.8842,0.017822265625,0.02922661870503597,34,
5,0,L5E000,182,0.00244140625,178,0.025634765625,0.00634765625,0.04541625976562491,0.0118,0.01318359375,-0.013189697265624998,0.0400390625,0.3442,0.012451171875,0.03686797752808989,35,
2,6,L2E006,128,0.001708984375,123,0.00830078125,-0.003668212890624998,0.020263671875,0.1983,0.003662109375,-0.011962890625,0.019287109375,0.6661,0.004638671875,0.017276422764227643,36,
