layer,expert,pair,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_spec_p,val_control,val_rescue_active,rank,is_two_stage
19,2,L19E002,79,0.3642578125,90,0.42578125,0.31883544921875,0.5459106445312498,0.0,0.25732421875,0.14794921875,0.37890625,0.0,0.16845703125,0.6055555555555555,1,True
21,1,L21E001,91,0.29150390625,86,0.35400390625,0.26610107421875,0.45458984375,0.0,0.2001953125,0.10887451171875001,0.3022583007812498,0.0003,0.15380859375,0.5268895348837209,2,False
18,1,L18E001,101,0.21484375,100,0.23681640625,0.1728515625,0.3046997070312498,0.0,0.14306640625,0.07275390625,0.21728515625,0.0,0.09375,0.303125,3,False
22,1,L22E001,98,0.19775390625,95,0.181640625,0.1259765625,0.24267578125,0.0,0.08154296875,0.009765625,0.15576171875,0.0284,0.10009765625,0.24473684210526317,4,False
20,5,L20E005,68,0.1171875,73,0.1845703125,0.12890625,0.24757080078124982,0.0,-0.048828125,-0.11865234375,0.021984863281249822,0.1798,0.2333984375,0.3236301369863014,5,False
28,2,L28E002,84,0.09814453125,82,0.1025390625,0.0634765625,0.1455078125,0.0,-0.029296875,-0.09912109375,0.03468017578124982,0.4025,0.1318359375,0.1600609756097561,6,False
19,6,L19E006,70,0.09521484375,63,0.09326171875,0.06005859375,0.1279296875,0.0,-0.24951171875,-0.34326171875,-0.16357421875,0.0,0.3427734375,0.18948412698412698,7,False
23,2,L23E002,67,0.08642578125,65,0.11181640625,0.0732421875,0.15478515625,0.0,-0.01806640625,-0.07520751953124999,0.03662109375,0.553,0.1298828125,0.2201923076923077,8,False
25,3,L25E003,73,0.0810546875,68,0.07666015625,0.0390625,0.11573486328124982,0.0002,-0.0439453125,-0.10693359375,0.0166015625,0.1695,0.12060546875,0.14430147058823528,9,False
22,5,L22E005,78,0.080078125,63,0.10205078125,0.06201171875,0.14454345703124982,0.0,-0.0546875,-0.11865234375,0.0078125,0.0987,0.15673828125,0.20734126984126985,10,False
