layer,expert,pair,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_spec_p,val_control,val_rescue_active,rank,is_two_stage
18,1,L18E001,76,0.1583251953125,76,0.139404296875,0.08080215454101562,0.20507888793945311,0.0,0.098419189453125,0.040277099609375006,0.16241455078125,0.0008,0.040985107421875,0.23478618421052633,1,False
22,1,L22E001,98,0.13421630859375,94,0.099609375,0.04202194213867187,0.16034240722656246,0.0012,0.02392578125,-0.042486572265624994,0.09180603027343737,0.501,0.07568359375,0.1356382978723404,2,False
20,5,L20E005,65,0.085235595703125,66,0.122955322265625,0.0751953125,0.17431640625,0.0,-0.087249755859375,-0.15872726440429688,-0.01937255859375009,0.0154,0.210205078125,0.23845880681818182,3,False
19,6,L19E006,91,0.07448577880859375,83,0.0628662109375,-0.009035491943359375,0.134033203125,0.0821,-0.158599853515625,-0.2524742126464844,-0.06548995971679689,0.0004,0.221466064453125,0.09695030120481928,4,True
17,1,L17E001,110,0.049407958984375,102,0.051025390625,0.008331298828125,0.09832839965820311,0.0237,0.007293701171875,-0.0361328125,0.05548248291015623,0.7695,0.043731689453125,0.06403186274509803,5,False
28,2,L28E002,92,0.04854583740234375,87,0.0585784912109375,-0.005999374389648437,0.12385597229003906,0.0864,0.026885986328125,-0.05029792785644531,0.10128936767578123,0.5003,0.0316925048828125,0.08618444683908046,6,False
26,3,L26E003,81,0.039154052734375,82,0.02785491943359375,-0.005936241149902343,0.06234226226806637,0.1131,-0.00789642333984375,-0.05149288177490234,0.03531913757324215,0.7271,0.0357513427734375,0.043480849847560975,7,False
20,0,L20E000,72,0.03912353515625,58,0.039642333984375,0.014982604980468751,0.068450927734375,0.0017,-0.17059326171875,-0.24588088989257811,-0.10134277343750009,0.0,0.210235595703125,0.0874865301724138,8,False
21,0,L21E000,64,0.026824951171875,58,0.043365478515625,0.012358856201171876,0.081787109375,0.0065,-0.231719970703125,-0.3258399963378906,-0.138458251953125,0.0,0.27508544921875,0.095703125,9,False
18,6,L18E006,80,0.026092529296875,78,0.03741455078125,0.016845703125,0.0606689453125,0.0002,-0.08245849609375,-0.14789505004882814,-0.019683837890625,0.011,0.119873046875,0.061398237179487176,10,False
6,7,L6E007,78,0.0203857421875,81,0.02471923828125,-0.01708984375,0.07092437744140623,0.2869,-0.021240234375,-0.11396484374999999,0.04791259765625,0.7553,0.04595947265625,0.0390625,11,
27,5,L27E005,64,0.019744873046875,59,0.0185546875,-0.00341796875,0.044189453125,0.1417,-0.044281005859375,-0.12137222290039062,0.02545166015625,0.2621,0.062835693359375,0.04025423728813559,12,
14,1,L14E001,68,0.0162353515625,70,-0.003753662109375,-0.039493560791015625,0.02710571289062491,0.8512,-0.0050048828125,-0.0457794189453125,0.032717895507812456,0.8193,0.001251220703125,-0.006863839285714286,13,
8,4,L8E004,74,0.013885498046875,65,-0.0048828125,-0.041015625,0.0325927734375,0.827,-0.021089553833007812,-0.06005859375,0.019712877273559536,0.3224,0.016206741333007812,-0.009615384615384616,14,
14,5,L14E005,74,0.007293701171875,80,-0.012420654296875,-0.05860061645507812,0.02859725952148434,0.5855,-0.02978515625,-0.069097900390625,0.013427734375,0.165,0.017364501953125,-0.019873046875,15,
29,3,L29E003,86,0.006072998046875,89,-0.01837158203125,-0.1175537109375,0.07739410400390623,0.7237,0.018280029296875,-0.0957061767578125,0.12945632934570311,0.7439,-0.036651611328125,-0.026422050561797753,16,
29,4,L29E004,106,0.00555419921875,106,-0.030303955078125,-0.08649139404296875,0.022187042236328114,0.2705,-0.016326904296875,-0.12558670043945314,0.09588699340820311,0.77,-0.01397705078125,-0.03659345518867924,17,
16,7,L16E007,74,0.0042724609375,78,0.0072479248046875,-0.028015518188476564,0.0432281494140625,0.7084,-0.0220184326171875,-0.0621185302734375,0.01776123046875,0.2913,0.029266357421875,0.011894030448717948,18,
9,4,L9E004,77,0.00128173828125,75,0.032867431640625,-0.0491973876953125,0.16226425170898434,0.9095,0.0267333984375,-0.0538330078125,0.13672180175781246,0.747,0.006134033203125,0.05609375,19,
10,4,L10E004,70,-0.011474609375,64,0.001495361328125,-0.046666717529296874,0.052398681640625,0.9514,-0.011962890625,-0.0498046875,0.02564086914062491,0.5403,0.013458251953125,0.00299072265625,20,
10,7,L10E007,79,-0.0137939453125,76,0.005645751953125,-0.03314361572265625,0.05227890014648434,0.8048,0.002197265625,-0.034912109375,0.03955078125,0.9263,0.003448486328125,0.009508634868421052,21,
9,0,L9E000,69,-0.0147705078125,67,0.007232666015625,-0.0411376953125,0.05398788452148434,0.7735,-0.0172119140625,-0.12758178710937498,0.06397094726562491,0.8482,0.024444580078125,0.013817630597014926,22,
5,0,L5E000,73,-0.0157470703125,70,0.014190673828125,-0.017486572265625,0.04501571655273434,0.3956,0.003143310546875,-0.047332763671875,0.04834136962890623,0.9006,0.01104736328125,0.025948660714285716,23,
11,6,L11E006,98,-0.026336669921875,103,-0.029754638671875,-0.07968292236328126,0.013671875,0.2382,-0.023681640625,-0.073974609375,0.02001953125,0.3502,-0.006072998046875,-0.03697663834951456,24,
27,4,L27E004,71,-0.03094482421875,76,0.0347900390625,-0.012332916259765623,0.09808425903320311,0.2585,0.002166748046875,-0.06585693359375,0.07153472900390623,0.9525,0.032623291015625,0.05859375,25,
4,7,L4E007,84,-0.03265380859375,89,-0.009429931640625,-0.047304534912109376,0.027680969238281228,0.631,-0.0440673828125,-0.09024124145507813,-0.0015533447265625444,0.0607,0.034637451171875,-0.013562148876404494,26,
0,4,L0E004,75,-0.03778076171875,61,-0.0255126953125,-0.067138671875,0.0078125,0.2072,-0.0274658203125,-0.13911285400390624,0.07092590332031246,0.6372,0.001953125,-0.05353483606557377,27,
30,4,L30E004,102,-0.04198455810546875,99,-0.032135009765625,-0.14627304077148437,0.07827835083007811,0.5769,0.09439468383789062,-0.021602725982666014,0.20814123153686517,0.1114,-0.12652969360351562,-0.041548295454545456,28,
31,2,L31E002,85,-0.068695068359375,89,0.005527496337890625,-0.13290719985961913,0.1419174194335937,0.9366,0.06541061401367188,-0.059651947021484374,0.19075975418090818,0.3101,-0.05988311767578125,0.007949657654494381,29,
31,7,L31E007,74,-0.0865478515625,77,-0.05133819580078125,-0.0909515380859375,-0.01043567657470705,0.0136,-0.034893035888671875,-0.16288881301879882,0.09082183837890623,0.59,-0.016445159912109375,-0.0853414163961039,30,
