layer,expert,pair,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_spec_p,val_control,val_rescue_active,rank,is_two_stage
44,69,L44E069,114,0.48193359375,116,0.49853515625,0.35692138671875,0.6592041015624996,0.0,0.4431966145833333,0.30192057291666663,0.60286865234375,0.0,0.055338541666666664,0.5501077586206896,1,True
42,115,L42E115,126,0.461181640625,123,0.447265625,0.36279296875,0.537109375,0.0,0.42317708333333337,0.33854166666666674,0.5104248046875,0.0,0.024088541666666668,0.4654471544715447,2,False
43,46,L43E046,90,0.15869140625,87,0.09521484375,0.04541015625,0.15235595703124982,0.0,0.0166015625,-0.03971354166666666,0.07682698567708328,0.5917,0.07861328125,0.1400862068965517,3,False
41,1,L41E001,115,0.151123046875,109,0.125,0.08544921875,0.16748046875,0.0,0.10579427083333331,0.06265869140625,0.14957682291666669,0.0,0.019205729166666664,0.14678899082568808,4,False
43,5,L43E005,77,0.15087890625,82,0.146484375,0.07861328125,0.23048095703124982,0.0,0.08658854166666666,0.015458170572916664,0.17708333333333331,0.0297,0.059895833333333336,0.22865853658536586,5,False
40,127,L40E127,92,0.149169921875,93,0.12646484375,0.07421875,0.1875,0.0,0.08333333333333331,0.029134114583333336,0.146484375,0.0029,0.04313151041666667,0.17405913978494625,6,False
40,30,L40E030,94,0.126708984375,92,0.12060546875,0.07078857421875001,0.17530517578124982,0.0,0.08626302083333334,0.033361816406249994,0.14290364583333331,0.0019,0.034342447916666664,0.16779891304347827,7,False
43,104,L43E104,87,0.08935546875,87,0.1015625,0.06103515625,0.14990234375,0.0,0.04134114583333333,-0.012207031249999995,0.09831136067708326,0.1447,0.06022135416666667,0.14942528735632185,8,False
33,76,L33E076,95,0.07568359375,102,0.0791015625,0.05224609375,0.10986328125,0.0,0.08251953125,0.055826822916666664,0.11214599609374995,0.0,-0.00341796875,0.09926470588235294,9,False
37,104,L37E104,128,0.067138671875,127,0.0390625,0.00390625,0.07423095703124982,0.0373,0.03808593750000001,0.0060180664062500005,0.07080485026041661,0.0253,0.0009765624999999983,0.03937007874015748,10,False
