Set,Layer,Layer rescue (val),# candidates,Best expert,Disc. active,Disc. rescue,Val. rescue [CI],Spec [CI],Expert/layer
paper,0,+0.009,1,E004,75/128,-0.038,"-0.026 [-0.067, +0.008]","-0.027 [-0.139, +0.071]",-2.750
paper,1,+0.029,0,none,,n/a,,,
paper,2,-0.004,0,none,,n/a,,,
paper,3,-0.033,0,none,,n/a,,,
paper,4,+0.020,1,E007,84/128,-0.033,"-0.009 [-0.047, +0.028]","-0.044 [-0.090, -0.002]",-0.348
paper,5,-0.002,1,E000,73/128,-0.016,"+0.014 [-0.017, +0.045]","+0.003 [-0.047, +0.048]",+1.735
paper,6,+0.039,1,E007,78/128,+0.020,"+0.025 [-0.017, +0.071]","-0.021 [-0.114, +0.048]",+1.164
paper,7,-0.031,0,none,,n/a,,,
paper,8,-0.002,1,E004,74/128,+0.014,"-0.005 [-0.041, +0.033]","-0.021 [-0.060, +0.020]",-6.400
paper,9,-0.080,2,E004,77/128,+0.001,"+0.033 [-0.049, +0.162]","+0.027 [-0.054, +0.137]",-0.753
paper,10,+0.019,2,E004,70/128,-0.011,"+0.001 [-0.047, +0.052]","-0.012 [-0.050, +0.026]",+0.069
paper,11,-0.022,1,E006,98/128,-0.026,"-0.030 [-0.080, +0.014]","-0.024 [-0.074, +0.020]",+2.910
paper,12,-0.022,0,none,,n/a,,,
paper,13,+0.051,0,none,,n/a,,,
paper,14,+0.018,2,E001,68/128,+0.016,"-0.004 [-0.039, +0.027]","-0.005 [-0.046, +0.033]",-0.227
paper,15,+0.066,0,none,,n/a,,,
paper,16,+0.062,1,E007,74/128,+0.004,"+0.007 [-0.028, +0.043]","-0.022 [-0.062, +0.018]",+0.123
paper,17,+0.101,1,E001,110/128,+0.049,"+0.051 [+0.008, +0.098]","+0.007 [-0.036, +0.055]",+0.500
paper,18,+0.191,2,E001,76/128,+0.158,"+0.139 [+0.081, +0.205]","+0.098 [+0.040, +0.162]",+0.747
paper,19,+0.446,1,E006,91/128,+0.074,"+0.063 [-0.009, +0.134]","-0.159 [-0.252, -0.065]",+0.147
paper,20,+0.378,2,E005,65/128,+0.085,"+0.123 [+0.075, +0.174]","-0.087 [-0.159, -0.019]",+0.334
paper,21,+0.531,1,E000,64/128,+0.027,"+0.043 [+0.012, +0.082]","-0.232 [-0.326, -0.138]",+0.085
paper,22,+0.238,1,E001,98/128,+0.134,"+0.100 [+0.042, +0.160]","+0.024 [-0.042, +0.092]",+0.405
paper,23,+0.202,0,none,,n/a,,,
paper,24,+0.119,0,none,,n/a,,,
paper,25,+0.243,0,none,,n/a,,,
paper,26,+0.058,1,E003,81/128,+0.039,"+0.028 [-0.006, +0.062]","-0.008 [-0.051, +0.035]",+0.478
paper,27,+0.079,2,E005,64/128,+0.020,"+0.019 [-0.003, +0.044]","-0.044 [-0.121, +0.025]",+0.279
paper,28,+0.058,1,E002,92/128,+0.049,"+0.059 [-0.006, +0.124]","+0.027 [-0.050, +0.101]",+1.000
paper,29,-0.060,2,E003,86/128,+0.006,"-0.018 [-0.118, +0.077]","+0.018 [-0.096, +0.129]",+0.354
paper,30,-0.178,1,E004,102/128,-0.042,"-0.032 [-0.146, +0.078]","+0.094 [-0.022, +0.208]",+0.186
paper,31,-0.084,2,E002,85/128,-0.069,"+0.006 [-0.133, +0.142]","+0.065 [-0.060, +0.191]",-0.084
