Set,Layer,Layer rescue (val),# candidates,Best expert,Disc. active,Disc. rescue,Val. rescue [CI],Spec [CI],Expert/layer
paper,0,+0.014,8,E120,67/128,+0.017,"-0.011 [-0.030, +0.009]","-0.009 [-0.030, +0.013]",-0.310
paper,1,+0.002,3,E086,79/128,+0.010,"+0.003 [-0.013, +0.022]","+0.009 [-0.014, +0.037]",+0.250
paper,2,+0.010,4,E047,71/128,+0.008,"-0.008 [-0.023, +0.007]","-0.010 [-0.027, +0.007]",-0.333
paper,3,-0.011,4,E034,68/128,+0.018,"-0.000 [-0.029, +0.030]","+0.008 [-0.020, +0.039]",-0.083
paper,4,+0.021,4,E000,77/128,+0.006,"+0.002 [-0.019, +0.021]","+0.005 [-0.018, +0.025]",+0.095
paper,5,+0.022,3,E103,75/128,+0.008,"-0.002 [-0.015, +0.010]","+0.006 [-0.012, +0.024]",-0.100
paper,6,+0.012,3,E089,72/128,+0.005,"+0.008 [-0.010, +0.026]","+0.009 [-0.012, +0.030]",+0.239
paper,7,+0.029,4,E100,70/128,+0.015,"+0.004 [-0.010, +0.019]","+0.009 [-0.007, +0.025]",+0.173
paper,8,+0.005,5,E038,102/128,+0.010,"-0.000 [-0.026, +0.025]","+0.006 [-0.021, +0.033]",-0.048
paper,9,+0.001,3,E111,95/128,+0.011,"-0.010 [-0.033, +0.011]","-0.016 [-0.042, +0.010]",-0.656
paper,10,+0.008,3,E014,114/128,+0.014,"-0.015 [-0.035, +0.004]","-0.005 [-0.026, +0.016]",+0.886
paper,11,+0.027,5,E115,101/128,+0.019,"+0.005 [-0.009, +0.019]","+0.001 [-0.015, +0.017]",+0.139
paper,12,+0.022,6,E115,94/128,+0.010,"+0.015 [-0.002, +0.032]","-0.003 [-0.020, +0.014]",+0.417
paper,13,+0.026,6,E104,92/128,+0.008,"+0.011 [-0.012, +0.043]","-0.003 [-0.028, +0.030]",+0.329
paper,14,+0.003,5,E038,106/128,+0.006,"+0.011 [-0.004, +0.027]","-0.003 [-0.018, +0.012]",+0.611
paper,15,+0.023,3,E034,68/128,+0.001,"+0.015 [+0.001, +0.031]","+0.003 [-0.014, +0.019]",+0.274
paper,16,+0.039,5,E127,80/128,+0.016,"+0.014 [-0.003, +0.032]","+0.005 [-0.012, +0.023]",+0.220
paper,17,-0.005,4,E009,84/128,-0.005,"+0.002 [-0.012, +0.017]","-0.008 [-0.023, +0.007]",+0.139
paper,18,+0.043,2,E089,75/128,+0.002,"+0.016 [-0.002, +0.033]","+0.005 [-0.013, +0.023]",+0.260
paper,19,+0.010,4,E033,72/128,-0.003,"+0.010 [-0.005, +0.025]","+0.007 [-0.009, +0.024]",+0.618
paper,20,-0.036,5,E099,74/128,+0.003,"+0.003 [-0.009, +0.015]","-0.007 [-0.021, +0.006]",-0.286
paper,21,-0.007,4,E111,108/128,+0.002,"+0.003 [-0.016, +0.021]","-0.008 [-0.028, +0.010]",-0.353
paper,22,-0.017,6,E094,68/128,+0.005,"-0.004 [-0.013, +0.006]","+0.000 [-0.014, +0.014]",+0.889
paper,23,-0.020,6,E058,76/128,+0.005,"+0.011 [+0.001, +0.022]","+0.011 [-0.002, +0.023]",-2.091
paper,24,-0.001,7,E027,71/128,+0.012,"+0.004 [-0.012, +0.022]","+0.003 [-0.013, +0.021]",+1.143
paper,25,+0.025,5,E104,119/128,+0.009,"+0.019 [-0.010, +0.047]","+0.017 [-0.009, +0.043]",+0.585
paper,26,+0.007,6,E038,116/128,+0.022,"+0.005 [-0.015, +0.024]","-0.002 [-0.018, +0.014]",+0.500
paper,27,+0.040,7,E040,128/128,+0.018,"+0.024 [-0.004, +0.052]","+0.014 [-0.010, +0.040]",+0.690
paper,28,+0.138,6,E030,115/128,+0.062,"+0.082 [+0.054, +0.112]","+0.071 [+0.042, +0.103]",+0.570
paper,29,+0.034,4,E001,97/128,+0.033,"+0.004 [-0.015, +0.024]","-0.006 [-0.025, +0.014]",+0.103
paper,30,+0.050,2,E089,82/128,+0.031,"+0.033 [+0.013, +0.056]","+0.037 [+0.014, +0.062]",+0.907
paper,31,+0.041,3,E100,66/128,+0.005,"+0.001 [-0.012, +0.014]","-0.003 [-0.019, +0.012]",+0.025
paper,32,+0.023,4,E032,81/128,+0.015,"+0.019 [+0.001, +0.037]","+0.010 [-0.008, +0.030]",+0.691
paper,33,+0.077,4,E076,95/128,+0.076,"+0.079 [+0.052, +0.110]","+0.083 [+0.056, +0.112]",+0.810
paper,34,+0.034,6,E094,106/128,+0.065,"+0.034 [+0.013, +0.056]","+0.032 [+0.009, +0.054]",+0.580
paper,35,+0.014,7,E115,113/128,+0.012,"-0.003 [-0.018, +0.012]","-0.005 [-0.020, +0.010]",-0.273
paper,36,+0.019,7,E002,122/128,+0.017,"+0.015 [-0.003, +0.034]","+0.007 [-0.010, +0.026]",+0.492
paper,37,+0.051,7,E104,128/128,+0.067,"+0.039 [+0.004, +0.074]","+0.038 [+0.006, +0.071]",+0.533
paper,38,+0.105,7,E057,83/128,+0.051,"+0.048 [+0.030, +0.068]","+0.036 [+0.018, +0.056]",+0.436
paper,39,+0.052,6,E040,125/128,+0.046,"+0.045 [+0.021, +0.071]","+0.040 [+0.014, +0.067]",+0.578
paper,40,+0.418,5,E127,92/128,+0.149,"+0.126 [+0.074, +0.188]","+0.083 [+0.029, +0.146]",+0.285
paper,41,+0.286,5,E001,115/128,+0.151,"+0.125 [+0.085, +0.167]","+0.106 [+0.063, +0.150]",+0.433
paper,42,+0.625,5,E115,126/128,+0.461,"+0.447 [+0.363, +0.537]","+0.423 [+0.339, +0.510]",+0.720
paper,43,+0.620,6,E046,90/128,+0.159,"+0.095 [+0.045, +0.152]","+0.017 [-0.040, +0.077]",+0.157
paper,44,+0.941,5,E069,114/128,+0.482,"+0.499 [+0.357, +0.659]","+0.443 [+0.302, +0.603]",+0.530
paper,45,-0.112,3,E012,82/128,-0.014,"-0.033 [-0.062, -0.005]","+0.009 [-0.039, +0.058]",+0.291
paper,46,-0.204,6,E067,86/128,+0.016,"+0.002 [-0.016, +0.021]","+0.029 [-0.001, +0.060]",-0.010
paper,47,-0.130,6,E032,117/128,+0.035,"+0.035 [+0.016, +0.056]","+0.059 [+0.033, +0.085]",-0.274
strict,0,+0.009,8,E053,86/128,+0.009,"+0.000 [-0.018, +0.018]","-0.003 [-0.020, +0.014]",+0.012
strict,1,+0.012,2,E086,72/128,+0.020,"+0.009 [-0.017, +0.034]","+0.002 [-0.030, +0.033]",+0.235
strict,2,+0.012,3,E116,91/128,+0.003,"+0.009 [-0.012, +0.030]","-0.000 [-0.022, +0.021]",+0.419
strict,3,-0.003,3,E001,67/128,+0.012,"+0.003 [-0.011, +0.018]","-0.002 [-0.023, +0.020]",-2.333
strict,4,+0.024,4,E111,86/128,+0.013,"-0.010 [-0.027, +0.007]","-0.026 [-0.044, -0.007]",-0.313
strict,5,+0.013,3,E103,68/128,-0.000,"+0.004 [-0.010, +0.018]","+0.000 [-0.020, +0.019]",+0.121
strict,6,+0.023,2,E089,75/128,+0.011,"+0.019 [+0.003, +0.035]","+0.015 [-0.005, +0.035]",+0.339
strict,7,+0.010,4,E100,71/128,+0.013,"+0.012 [-0.003, +0.027]","+0.014 [-0.003, +0.032]",+1.600
strict,8,+0.019,5,E127,70/128,+0.011,"-0.004 [-0.026, +0.015]","-0.016 [-0.045, +0.009]",-0.360
strict,9,-0.005,3,E071,70/128,+0.010,"+0.015 [-0.004, +0.035]","+0.013 [-0.006, +0.033]",+0.969
strict,10,-0.001,4,E050,67/128,+0.001,"+0.000 [-0.010, +0.011]","+0.005 [-0.012, +0.021]",-1.000
strict,11,+0.008,4,E058,77/128,+0.019,"+0.009 [-0.006, +0.024]","+0.011 [-0.006, +0.028]",+0.383
strict,12,+0.006,4,E069,71/128,+0.003,"+0.005 [-0.008, +0.020]","+0.011 [-0.002, +0.025]",+0.393
strict,13,+0.036,6,E024,69/128,+0.009,"-0.008 [-0.019, +0.002]","-0.004 [-0.021, +0.012]",-0.447
strict,14,+0.018,5,E055,78/128,+0.011,"-0.001 [-0.014, +0.013]","+0.002 [-0.013, +0.017]",-0.125
strict,15,+0.013,4,E121,65/128,+0.017,"+0.002 [-0.012, +0.015]","+0.008 [-0.009, +0.024]",+0.059
strict,16,+0.027,6,E030,86/128,+0.015,"-0.001 [-0.017, +0.016]","+0.006 [-0.012, +0.024]",-0.032
strict,17,+0.014,4,E014,79/128,+0.013,"-0.008 [-0.021, +0.004]","-0.001 [-0.016, +0.014]",-0.356
strict,18,+0.061,2,E089,80/128,+0.023,"-0.004 [-0.023, +0.016]","-0.016 [-0.040, +0.006]",-0.053
