Set,Layer,Best expert,Layer rescue (same pass) [CI],Expert rescue [CI],Spec [CI],Expert/layer [CI],Val. active
paper,L18,E001,"+0.315 [+0.234, +0.403]","+0.244 [+0.177, +0.320]","+0.182 [+0.111, +0.261]","+0.774 [+0.659, +0.888]",103/128
paper,L19,E002,"+0.580 [+0.468, +0.700]","+0.363 [+0.267, +0.471]","+0.192 [+0.094, +0.296]","+0.626 [+0.529, +0.714]",84/128
paper,L22,E001,"+0.314 [+0.237, +0.401]","+0.179 [+0.121, +0.246]","+0.057 [-0.016, +0.132]","+0.570 [+0.434, +0.706]",94/128
paper,L21,E001,"+0.500 [+0.395, +0.611]","+0.273 [+0.190, +0.363]","+0.118 [+0.036, +0.207]","+0.547 [+0.443, +0.643]",84/128
paper,L17,E001,"+0.155 [+0.103, +0.210]","+0.082 [+0.054, +0.111]","+0.001 [-0.039, +0.040]","+0.528 [+0.391, +0.700]",107/128
paper,L15,E005,"+0.107 [+0.054, +0.158]","+0.054 [+0.021, +0.087]","+0.010 [-0.029, +0.049]","+0.500 [+0.259, +0.795]",76/128
paper,L28,E002,"+0.189 [+0.085, +0.299]","+0.086 [+0.043, +0.134]","+0.005 [-0.065, +0.074]","+0.457 [+0.279, +0.807]",79/128
paper,L25,E003,"+0.233 [+0.145, +0.325]","+0.078 [+0.040, +0.120]","-0.025 [-0.086, +0.033]","+0.335 [+0.192, +0.511]",67/128
paper,L26,E003,"+0.147 [+0.084, +0.213]","+0.046 [+0.019, +0.075]","-0.017 [-0.058, +0.024]","+0.316 [+0.147, +0.538]",68/128
paper,L20,E005,"+0.504 [+0.395, +0.623]","+0.155 [+0.103, +0.211]","-0.074 [-0.159, +0.005]","+0.308 [+0.216, +0.412]",73/128
paper,L24,E007,"+0.166 [+0.079, +0.257]","+0.048 [+0.008, +0.090]","-0.014 [-0.076, +0.045]","+0.292 [+0.065, +0.536]",74/128
strict,L18,E001,"+0.361 [+0.286, +0.436]","+0.237 [+0.173, +0.305]","+0.143 [+0.073, +0.217]","+0.656 [+0.552, +0.753]",100/128
strict,L19,E002,"+0.649 [+0.531, +0.778]","+0.426 [+0.319, +0.546]","+0.257 [+0.148, +0.379]","+0.656 [+0.564, +0.737]",90/128
strict,L21,E001,"+0.566 [+0.466, +0.678]","+0.354 [+0.266, +0.455]","+0.200 [+0.109, +0.302]","+0.625 [+0.535, +0.708]",86/128
strict,L22,E001,"+0.316 [+0.243, +0.394]","+0.182 [+0.126, +0.243]","+0.082 [+0.010, +0.156]","+0.575 [+0.442, +0.712]",95/128
strict,L15,E005,"+0.130 [+0.080, +0.181]","+0.068 [+0.035, +0.102]","+0.011 [-0.027, +0.050]","+0.521 [+0.324, +0.746]",84/128
strict,L17,E005,"+0.184 [+0.130, +0.237]","+0.072 [+0.045, +0.099]","-0.029 [-0.070, +0.010]","+0.390 [+0.268, +0.535]",89/128
strict,L28,E002,"+0.267 [+0.161, +0.383]","+0.103 [+0.063, +0.146]","-0.029 [-0.099, +0.035]","+0.385 [+0.267, +0.549]",82/128
strict,L23,E002,"+0.312 [+0.243, +0.387]","+0.112 [+0.073, +0.155]","-0.018 [-0.075, +0.037]","+0.358 [+0.249, +0.473]",65/128
strict,L20,E005,"+0.520 [+0.425, +0.619]","+0.185 [+0.129, +0.248]","-0.049 [-0.119, +0.022]","+0.355 [+0.264, +0.444]",73/128
strict,L16,E005,"+0.144 [+0.091, +0.196]","+0.049 [+0.028, +0.072]","-0.018 [-0.053, +0.020]","+0.342 [+0.213, +0.509]",81/128
strict,L25,E003,"+0.239 [+0.147, +0.335]","+0.077 [+0.039, +0.116]","-0.044 [-0.107, +0.017]","+0.320 [+0.185, +0.487]",68/128
strict,L24,E007,"+0.210 [+0.126, +0.304]","+0.060 [+0.020, +0.104]","-0.042 [-0.111, +0.022]","+0.286 [+0.111, +0.471]",68/128
