layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.002197265625,0.0087890625,-0.01611328125,0.037109375,0.04150390625,0.0087890625,0.078125,8,86,64,53,86,0.00927734375,88,0.00048828125,-0.017578125,0.017578125,1.0,-0.0029296875000000004,-0.020182291666666668,0.013834635416666668,0.0034179687500000017,0.011764705882352941,-0.6271664844177146,0.6251644736842081
1,0.005126953125,0.01171875,-0.0283203125,0.05615234375,0.037353515625,-0.00390625,0.083984375,2,88,64,86,72,0.02001953125,73,0.0087890625,-0.01708984375,0.0341796875,0.5472,0.0021158854166666696,-0.029622395833333325,0.03271891276041661,0.006673177083333332,0.23529411764705882,-1.6251644736842106,1.7142857142857142
2,0.00341796875,0.01171875,-0.03564453125,0.056640625,0.02099609375,-0.02978515625,0.07080078125,3,104,64,116,91,0.0029296875,91,0.0087890625,-0.01220703125,0.0302734375,0.4596,-0.0004882812500000009,-0.021813964843750002,0.02099609375,0.009277343749999997,0.4186046511627907,-3.8916666666666657,4.285714285714286
3,-0.060821533203125,-0.002685546875,-0.048834228515624994,0.04224243164062491,-0.00146484375,-0.06298828125,0.05712890625,3,83,64,1,67,0.01220703125,58,0.00341796875,-0.01123046875,0.01806640625,0.6988,-0.001953125,-0.023111979166666668,0.01953125,0.00537109375,-2.3333333333333335,,
4,-0.002197265625,0.0244140625,-0.0185546875,0.07227783203124982,0.03271484375,-0.0048828125,0.07421875,4,88,64,111,86,0.0126953125,81,-0.01025390625,-0.02734375,0.0068359375,0.2715,-0.02587890625,-0.04443359375,-0.006669108072916725,0.015625,-0.31343283582089554,-4.333333333333333,1.5809727822580597
5,-0.00390625,0.0126953125,-0.0234375,0.05078125,0.0322265625,-0.005859375,0.072265625,3,87,64,103,68,-0.00048828125,60,0.00390625,-0.009765625,0.017578125,0.6358,0.0,-0.019531249999999997,0.019205729166666664,0.0039062499999999996,0.12121212121212122,-1.0,1.4004166666666604
6,0.004638671875,0.02294921875,-0.01416015625,0.06298828125,0.0546875,0.013659667968750004,0.10010986328124982,2,75,64,89,75,0.01123046875,75,0.0185546875,0.00341796875,0.03466796875,0.0249,0.014973958333333332,-0.004882812499999999,0.03548583984374994,0.0035807291666666674,0.3392857142857143,0.059131878557874766,1.3034090909090854
7,0.001708984375,0.009765625,-0.02978515625,0.05126953125,0.00732421875,-0.0322265625,0.04932861328124982,4,78,64,100,71,0.012939453125,71,0.01171875,-0.0029296875,0.02685546875,0.1444,0.014485677083333336,-0.0027669270833333335,0.0322265625,-0.002766927083333334,1.6,-6.5,11.504166666666606
8,-0.005126953125,0.0185546875,-0.0244140625,0.06005859375,0.01220703125,-0.02587890625,0.05224609375,5,101,64,127,70,0.0107421875,71,-0.00439453125,-0.02587890625,0.014660644531249822,0.7258,-0.015625,-0.04524739583333333,0.00928141276041661,0.01123046875,-0.36,-6.666666666666667,6.333333333333333
9,0.001953125,-0.0048828125,-0.0380859375,0.0283203125,0.015625,-0.02001953125,0.05224609375,3,83,64,71,70,0.010009765625,66,0.01513671875,-0.00439453125,0.03516845703124982,0.1548,0.01318359375,-0.0063517252604166664,0.03320719401041661,0.001953125,0.96875,-5.286904761904761,8.751249999999981
10,-0.013427734375,-0.00146484375,-0.037109375,0.03125,-0.00048828125,-0.03759765625,0.03466796875,4,109,64,50,67,0.00146484375,54,0.00048828125,-0.01025390625,0.0107421875,1.0,0.004720052083333333,-0.011718749999999997,0.020833333333333336,-0.004231770833333334,-1.0,-3.601666666666666,3.3333333333333335
11,0.016357421875,0.00830078125,-0.02783203125,0.04638671875,0.02294921875,-0.016613769531249996,0.0634765625,4,127,64,58,77,0.018798828125,70,0.0087890625,-0.00634765625,0.02392578125,0.2931,0.010904947916666668,-0.005533854166666667,0.027998860677083275,-0.002115885416666666,0.3829787234042553,-2.7,3.600624999999991
12,0.021728515625,0.00634765625,-0.02490234375,0.037109375,0.013671875,-0.01953125,0.04736328125,4,104,64,69,71,0.002685546875,68,0.00537109375,-0.007824707031249996,0.01953125,0.4841,0.011067708333333332,-0.0024414062499999996,0.024576822916666668,-0.005696614583333334,0.39285714285714285,,
13,-0.00146484375,0.0361328125,0.001953125,0.07177734375,0.0185546875,-0.0224609375,0.0654296875,6,96,64,24,69,0.00927734375,57,-0.00830078125,-0.01904296875,0.00244140625,0.1522,-0.003906250000000001,-0.021158854166666664,0.011555989583333332,-0.004394531250000001,-0.4473684210526316,-5.75125,4.222916666666657
