Layer,BOS: best recurrent,BOS: best by val. rescue,BOS: E001 rescue / Spec (active),no BOS: best recurrent,no BOS: best by val. rescue,no BOS: E001 rescue / Spec (active)
L15,E005,E005 +0.054,-0.001 / -0.065 (14/128),none,E002 +0.020,+0.004 / -0.034 (11/128)
L16,E005,E007 +0.031,+0.007 / -0.039 (14/128),E007,E005 +0.015,+0.004 / -0.023 (42/128)
L17,E001,E001 +0.082,+0.082 / +0.001 (107/128),E001,E001 +0.051,+0.051 / +0.007 (102/128)
L18,E001,E001 +0.244,+0.244 / +0.182 (103/128),E001,E001 +0.139,+0.139 / +0.098 (76/128)
L19,E002,E002 +0.363,+0.017 / -0.329 (10/128),E006,E002 +0.218,+0.000 / -0.190 (2/128)
L20,E005,E005 +0.155,+0.004 / -0.229 (7/128),E005,E005 +0.123,-0.000 / -0.236 (12/128)
L21,E001,E001 +0.273,+0.273 / +0.118 (84/128),E000,E001 +0.290,+0.290 / +0.149 (67/128)
L22,E001,E001 +0.179,+0.179 / +0.057 (94/128),E001,E001 +0.100,+0.100 / +0.024 (94/128)
L23,none,E002 +0.116,+0.012 / -0.149 (23/128),none,E002 +0.064,+0.018 / -0.081 (46/128)
L24,E007,E000 +0.060,+0.007 / -0.083 (21/128),none,E007 +0.068,+0.002 / -0.099 (19/128)
L25,E003,E003 +0.078,+0.017 / -0.095 (17/128),none,E003 +0.085,+0.027 / -0.053 (46/128)
