layer,expert,pair,disc_active,disc_allcase_mean,recurrent,val_active,val_rescue,val_spec,beats_rescue,beats_spec
21,1,L21E001,91,0.33642578125,True,84,0.2734375,0.11767578125,False,False
20,5,L20E005,75,0.13427734375,True,73,0.1552734375,-0.07421875,False,False
20,6,L20E006,34,0.08984375,False,33,0.11376953125,-0.10107421875,False,False
20,4,L20E004,28,0.0478515625,False,54,0.11376953125,-0.13623046875,False,False
21,6,L21E006,55,0.05419921875,False,53,0.08154296875,-0.20703125,False,False
21,0,L21E000,48,0.06005859375,False,42,0.04638671875,-0.24267578125,False,False
20,2,L20E002,24,0.04736328125,False,36,0.04150390625,-0.21240234375,False,False
20,0,L20E000,52,0.0791015625,False,33,0.04052734375,-0.19921875,False,False
21,4,L21E004,17,0.02734375,False,28,0.0380859375,-0.248046875,False,False
21,7,L21E007,19,0.00341796875,False,23,0.0361328125,-0.2216796875,False,False
21,5,L21E005,14,0.00830078125,False,14,0.0205078125,-0.2314453125,False,False
20,3,L20E003,15,0.0283203125,False,10,0.0185546875,-0.21044921875,False,False
20,7,L20E007,10,0.001953125,False,10,0.013671875,-0.2197265625,False,False
21,3,L21E003,8,0.00146484375,False,11,0.0048828125,-0.2587890625,False,False
20,1,L20E001,18,0.025390625,False,7,0.00390625,-0.2294921875,False,False
21,2,L21E002,4,-0.0009765625,False,1,-0.0009765625,-0.2607421875,False,False
