layer,expert,pair,disc_active,disc_allcase_mean,recurrent,val_active,val_rescue,val_spec,beats_rescue,beats_spec
21,1,L21E001,59,0.2374267578125,False,67,0.2896728515625,0.148773193359375,True,True
20,5,L20E005,65,0.085235595703125,True,66,0.122955322265625,-0.087249755859375,True,True
21,6,L21E006,47,0.080078125,False,52,0.08941650390625,-0.150848388671875,True,True
20,4,L20E004,34,0.025634765625,False,43,0.086334228515625,-0.108001708984375,True,True
20,6,L20E006,23,0.07080078125,False,23,0.080810546875,-0.110107421875,True,True
21,0,L21E000,64,0.026824951171875,True,58,0.043365478515625,-0.231719970703125,False,False
20,0,L20E000,72,0.03912353515625,True,58,0.039642333984375,-0.17059326171875,False,False
20,2,L20E002,20,0.0419921875,False,29,0.0377197265625,-0.1851806640625,False,False
21,7,L21E007,15,0.01220703125,False,11,0.0263671875,-0.24578857421875,False,False
21,4,L21E004,17,0.014892578125,False,15,0.025146484375,-0.23016357421875,False,False
21,5,L21E005,11,0.018798828125,False,10,0.01025390625,-0.23748779296875,False,False
21,3,L21E003,6,0.0068359375,False,10,0.010223388671875,-0.239715576171875,False,False
20,3,L20E003,10,0.006103515625,False,6,0.00634765625,-0.216064453125,False,False
20,1,L20E001,16,0.029296875,False,12,-0.00048828125,-0.236083984375,False,False
20,7,L20E007,16,0.00537109375,False,19,-0.00537109375,-0.22998046875,False,False
21,2,L21E002,37,0.00390625,False,33,-0.00537109375,-0.24383544921875,False,False
