layer,expert,pair,disc_active,disc_allcase_mean,recurrent,val_active,val_rescue,val_spec,beats_rescue,beats_spec
42,115,L42E115,244,0.4124755859375,True,249,0.426025390625,0.3926188151041667,False,True
43,5,L43E005,159,0.136962890625,True,158,0.141845703125,0.06815592447916666,False,False
43,46,L43E046,153,0.088134765625,True,180,0.126708984375,0.04838053385416667,False,False
43,104,L43E104,184,0.0965576171875,True,177,0.0731201171875,-0.015909830729166668,False,False
43,100,L43E100,34,0.043701171875,False,43,0.0517578125,-0.0316162109375,False,False
43,120,L43E120,116,0.022705078125,False,131,0.045166015625,-0.0396728515625,False,False
43,36,L43E036,194,0.0140380859375,True,198,0.0435791015625,-0.05322265625,False,False
42,80,L42E080,42,0.053955078125,False,43,0.04150390625,-0.027343749999999997,False,False
43,37,L43E037,118,0.03857421875,False,137,0.041015625,-0.04170735677083333,False,False
43,7,L43E007,27,0.015869140625,False,20,0.03076171875,-0.0577392578125,False,False
45,22,L45E022,95,0.012451171875,False,106,0.0283203125,0.056477864583333336,False,False
42,16,L42E016,128,0.0174560546875,True,121,0.028076171875,-0.05135091145833333,False,False
43,4,L43E004,211,0.0042724609375,True,214,0.025634765625,-0.07271321614583334,False,False
45,4,L45E004,27,0.002197265625,False,36,0.01953125,0.045817057291666664,False,False
42,3,L42E003,74,0.00634765625,False,76,0.01806640625,-0.062744140625,False,False
42,119,L42E119,93,-0.004638671875,False,96,0.01806640625,-0.05419921875,False,False
43,68,L43E068,89,0.00146484375,False,108,0.015869140625,-0.0762939453125,False,False
43,20,L43E020,17,0.0048828125,False,14,0.014892578125,-0.07344563802083334,False,False
42,71,L42E071,66,0.005859375,False,54,0.0146484375,-0.06298828125,False,False
42,55,L42E055,123,0.00830078125,False,128,0.01318359375,-0.06852213541666667,False,False
45,45,L45E045,48,-0.001953125,False,46,0.011962890625,0.038492838541666664,False,False
43,26,L43E026,66,0.009033203125,False,59,0.01123046875,-0.08231608072916666,False,False
42,101,L42E101,182,0.0013427734375,True,181,0.010498046875,-0.07234700520833333,False,False
42,14,L42E014,70,0.00146484375,False,72,0.009765625,-0.063232421875,False,False
45,114,L45E114,70,0.0114288330078125,False,77,0.009521484375,0.026326497395833332,False,False
45,127,L45E127,120,0.00146484375,False,109,0.009521484375,0.024698893229166668,False,False
43,65,L43E065,44,-0.0048828125,False,51,0.008544921875,-0.0819091796875,False,False
42,24,L42E024,60,-0.004150390625,False,62,0.008544921875,-0.06827799479166666,False,False
43,45,L43E045,3,-0.001220703125,False,2,0.007568359375,-0.0809326171875,False,False
43,44,L43E044,64,0.00048828125,False,58,0.007080078125,-0.08426920572916666,False,False
42,23,L42E023,134,-0.0045166015625,True,151,0.0068359375,-0.068359375,False,False
42,65,L42E065,139,-0.006103515625,True,135,0.006591796875,-0.070068359375,False,False
45,112,L45E112,26,-0.0048828125,False,32,0.00634765625,0.033040364583333336,False,False
45,26,L45E026,11,0.001708984375,False,8,0.005859375,0.026448567708333332,False,False
43,121,L43E121,34,0.003173828125,False,24,0.005615234375,-0.0845947265625,False,False
42,90,L42E090,19,0.001220703125,False,14,0.00537109375,-0.07421875,False,False
43,58,L43E058,40,0.001708984375,False,31,0.0048828125,-0.0870361328125,False,False
43,112,L43E112,23,0.0009765625,False,22,0.0048828125,-0.08553059895833333,False,False
43,81,L43E081,94,-0.008544921875,False,89,0.0048828125,-0.09916178385416666,False,False
42,59,L42E059,52,0.00341796875,False,57,0.0047607421875,-0.0723876953125,False,False
42,43,L42E043,29,0.00048828125,False,31,0.00439453125,-0.07364908854166667,False,False
45,24,L45E024,60,-0.00244140625,False,60,0.00439453125,0.039225260416666664,False,False
42,93,L42E093,19,-0.000244140625,False,24,0.004150390625,-0.0751953125,False,False
45,93,L45E093,16,-0.00390625,False,18,0.004150390625,0.027954101562499997,False,False
45,5,L45E005,33,-0.0009765625,False,25,0.00341796875,0.026123046875000003,False,False
42,126,L42E126,16,-0.000732421875,False,14,0.00341796875,-0.07682291666666666,False,False
42,49,L42E049,22,-0.001708984375,False,19,0.00341796875,-0.07291666666666667,False,False
42,61,L42E061,1,-0.0009765625,False,8,0.00341796875,-0.07511393229166666,False,False
42,123,L42E123,39,-0.000732421875,False,30,0.0032958984375,-0.07401529947916666,False,False
45,63,L45E063,8,-0.000732421875,False,8,0.003173828125,0.025553385416666668,False,False
42,2,L42E002,8,0.001220703125,False,6,0.003173828125,-0.07405598958333334,False,False
42,22,L42E022,22,-0.00048828125,False,19,0.0029296875,-0.06876627604166666,False,False
43,125,L43E125,20,0.0,False,16,0.0029296875,-0.08939615885416667,False,False
43,52,L43E052,15,-0.000244140625,False,10,0.0029296875,-0.0875244140625,False,False
45,80,L45E080,63,-0.002197265625,False,60,0.002685546875,0.029866536458333336,False,False
43,47,L43E047,11,0.00146484375,False,9,0.00244140625,-0.0882568359375,False,False
42,112,L42E112,7,0.000732421875,False,6,0.00244140625,-0.0732421875,False,False
42,41,L42E041,36,0.001220703125,False,28,0.00244140625,-0.07633463541666667,False,False
42,117,L42E117,20,0.0,False,33,0.00244140625,-0.07291666666666667,False,False
42,34,L42E034,1,0.00048828125,False,3,0.00244140625,-0.07486979166666666,False,False
45,41,L45E041,4,0.000244140625,False,2,0.00244140625,0.024658203125,False,False
43,127,L43E127,7,-0.00048828125,False,6,0.00244140625,-0.08955891927083334,False,False
43,48,L43E048,0,0.0,False,1,0.00244140625,-0.0877685546875,False,False
42,21,L42E021,35,0.000244140625,False,27,0.002197265625,-0.07364908854166666,False,False
42,75,L42E075,70,-0.0001220703125,False,55,0.002197265625,-0.07633463541666666,False,False
43,43,L43E043,24,0.000732421875,False,33,0.002197265625,-0.09346516927083334,False,False
43,74,L43E074,14,-0.0009765625,False,12,0.001953125,-0.08955891927083334,False,False
43,75,L43E075,12,-0.000244140625,False,9,0.001953125,-0.0853271484375,False,False
43,89,L43E089,7,0.00439453125,False,5,0.001953125,-0.08760579427083333,False,False
43,88,L43E088,2,-0.000244140625,False,8,0.001953125,-0.08793131510416666,False,False
43,6,L43E006,13,0.0029296875,False,4,0.001708984375,-0.0887451171875,False,False
43,97,L43E097,17,-0.00244140625,False,13,0.001708984375,-0.0882568359375,False,False
45,20,L45E020,34,-0.0003662109375,False,42,0.001708984375,0.018717447916666664,False,False
45,54,L45E054,28,0.0283203125,False,30,0.001708984375,0.027099609375,False,False
43,85,L43E085,2,-0.0009765625,False,3,0.001708984375,-0.0889892578125,False,False
45,6,L45E006,5,-0.00244140625,False,5,0.00146484375,0.025960286458333332,False,False
45,76,L45E076,16,-0.00390625,False,16,0.00146484375,0.022298177083333336,False,False
42,7,L42E007,5,-0.001953125,False,4,0.00146484375,-0.074951171875,False,False
45,37,L45E037,130,-0.0096435546875,True,138,0.001220703125,0.0277099609375,False,False
