Set,Pair,Disc. active,Disc. rescue,Recurrent,Val. active,Val. rescue,Val. Spec,> ref rescue,> ref Spec
paper,L21E001,91/128,+0.336,yes,84/128,+0.273,+0.118,,
paper,L20E005,75/128,+0.134,yes,73/128,+0.155,-0.074,,
paper,L20E006,34/128,+0.090,,33/128,+0.114,-0.101,,
paper,L20E004,28/128,+0.048,,54/128,+0.114,-0.136,,
paper,L21E006,55/128,+0.054,,53/128,+0.082,-0.207,,
paper,L21E000,48/128,+0.060,,42/128,+0.046,-0.243,,
paper,L20E002,24/128,+0.047,,36/128,+0.042,-0.212,,
paper,L20E000,52/128,+0.079,,33/128,+0.041,-0.199,,
paper,L21E004,17/128,+0.027,,28/128,+0.038,-0.248,,
paper,L21E007,19/128,+0.003,,23/128,+0.036,-0.222,,
paper,L19E002 (two-stage),76/128,+0.384,yes,84/128,+0.363,+0.192,ref,ref
strict,L21E001,91/128,+0.292,yes,86/128,+0.354,+0.200,,
strict,L20E005,68/128,+0.117,yes,73/128,+0.185,-0.049,,
strict,L20E006,29/128,+0.117,,42/128,+0.113,-0.110,,
strict,L20E004,49/128,+0.092,,41/128,+0.086,-0.180,,
strict,L21E006,51/128,+0.063,,56/128,+0.070,-0.238,,
strict,L20E000,44/128,+0.079,,35/128,+0.058,-0.174,,
strict,L21E004,21/128,+0.022,,26/128,+0.051,-0.274,,
strict,L21E000,40/128,+0.060,,47/128,+0.047,-0.268,,
strict,L20E002,30/128,+0.056,,29/128,+0.040,-0.211,,
strict,L20E003,11/128,+0.022,,14/128,+0.022,-0.202,,
strict,L19E002 (two-stage),79/128,+0.364,yes,90/128,+0.426,+0.257,ref,ref
relaxed,L21E001,169/256,+0.278,yes,181/256,+0.332,+0.212,,yes
relaxed,L20E005,154/256,+0.141,yes,157/256,+0.166,-0.038,,
relaxed,L20E006,79/256,+0.119,,81/256,+0.115,-0.088,,
relaxed,L20E000,82/256,+0.052,,84/256,+0.068,-0.164,,
relaxed,L21E006,128/256,+0.076,yes,106/256,+0.059,-0.188,,
relaxed,L20E004,79/256,+0.074,,87/256,+0.050,-0.207,,
relaxed,L21E000,87/256,+0.050,,84/256,+0.050,-0.229,,
relaxed,L21E004,46/256,+0.034,,52/256,+0.024,-0.233,,
relaxed,L20E002,52/256,+0.047,,45/256,+0.016,-0.224,,
relaxed,L20E003,24/256,+0.025,,23/256,+0.013,-0.229,,
relaxed,L19E002 (two-stage),166/256,+0.366,yes,162/256,+0.356,+0.175,ref,ref
