Set,Pair,Disc. active,Disc. rescue,Recurrent,Val. active,Val. rescue,Val. Spec,> ref rescue,> ref Spec
paper,L42E115,126/128,+0.461,yes,123/128,+0.447,+0.423,,
paper,L43E005,77/128,+0.151,yes,82/128,+0.146,+0.087,,
paper,L43E104,87/128,+0.089,yes,87/128,+0.102,+0.041,,
paper,L43E046,90/128,+0.159,yes,87/128,+0.095,+0.017,,
paper,L43E100,20/128,+0.029,,21/128,+0.074,+0.005,,
paper,L42E080,24/128,+0.038,,22/128,+0.068,+0.014,,
paper,L45E022,45/128,+0.009,,51/128,+0.052,+0.096,,
paper,L43E036,97/128,+0.035,yes,98/128,+0.050,-0.025,,
paper,L43E037,70/128,+0.061,yes,62/128,+0.038,-0.034,,
paper,L45E054,15/128,+0.002,,15/128,+0.035,+0.072,,
paper,L44E069 (two-stage),114/128,+0.482,yes,116/128,+0.499,+0.443,ref,ref
strict,L42E115,124/128,+0.454,yes,125/128,+0.434,+0.409,,
strict,L43E046,81/128,+0.099,yes,79/128,+0.141,+0.089,,
strict,L43E005,86/128,+0.160,yes,79/128,+0.124,+0.069,,
strict,L43E104,91/128,+0.063,yes,92/128,+0.101,+0.051,,
strict,L42E080,19/128,+0.031,,20/128,+0.054,-0.013,,
strict,L43E120,58/128,+0.018,,63/128,+0.043,-0.013,,
strict,L43E100,16/128,+0.045,,19/128,+0.041,-0.013,,
strict,L45E022,52/128,+0.012,,47/128,+0.037,+0.092,,
strict,L42E016,63/128,+0.019,,62/128,+0.035,-0.029,,
strict,L43E036,98/128,+0.027,yes,101/128,+0.034,-0.035,,
strict,L44E069 (two-stage),117/128,+0.443,yes,116/128,+0.480,+0.421,ref,ref
relaxed,L42E115,244/256,+0.412,yes,249/256,+0.426,+0.393,,yes
relaxed,L43E005,159/256,+0.137,yes,158/256,+0.142,+0.068,,
relaxed,L43E046,153/256,+0.088,yes,180/256,+0.127,+0.048,,
relaxed,L43E104,184/256,+0.097,yes,177/256,+0.073,-0.016,,
relaxed,L43E100,34/256,+0.044,,43/256,+0.052,-0.032,,
relaxed,L43E120,116/256,+0.023,,131/256,+0.045,-0.040,,
relaxed,L43E036,194/256,+0.014,yes,198/256,+0.044,-0.053,,
relaxed,L42E080,42/256,+0.054,,43/256,+0.042,-0.027,,
relaxed,L43E037,118/256,+0.039,,137/256,+0.041,-0.042,,
relaxed,L43E007,27/256,+0.016,,20/256,+0.031,-0.058,,
relaxed,L44E069 (two-stage),228/256,+0.394,yes,235/256,+0.429,+0.364,ref,ref
