Set,Seed,Threshold,Threshold (eff.),Joint winner,Disc. rescue,Val. rescue,Val. Spec,# candidates,Split two-stage,= reference,= split two-stage
paper,0,32,32,L44E069,+0.540,+0.441,+0.396,486,L44E069,yes,yes
paper,0,48,48,L44E069,+0.540,+0.441,+0.396,344,L44E069,yes,yes
paper,0,64,64,L44E069,+0.540,+0.441,+0.396,246,L44E069,yes,yes
paper,0,80,80,L44E069,+0.540,+0.441,+0.396,148,L44E069,yes,yes
paper,0,96,96,L44E069,+0.540,+0.441,+0.396,68,L44E069,yes,yes
paper,1,32,32,L44E069,+0.493,+0.487,+0.426,507,L44E069,yes,yes
paper,1,48,48,L44E069,+0.493,+0.487,+0.426,330,L44E069,yes,yes
paper,1,64,64,L44E069,+0.493,+0.487,+0.426,227,L44E069,yes,yes
paper,1,80,80,L44E069,+0.493,+0.487,+0.426,138,L44E069,yes,yes
paper,1,96,96,L44E069,+0.493,+0.487,+0.426,62,L44E069,yes,yes
paper,2,32,32,L44E069,+0.447,+0.533,+0.481,487,L44E069,yes,yes
paper,2,48,48,L44E069,+0.447,+0.533,+0.481,340,L44E069,yes,yes
paper,2,64,64,L44E069,+0.447,+0.533,+0.481,226,L44E069,yes,yes
paper,2,80,80,L44E069,+0.447,+0.533,+0.481,139,L44E069,yes,yes
paper,2,96,96,L44E069,+0.447,+0.533,+0.481,58,L44E069,yes,yes
paper,3,32,32,L44E069,+0.462,+0.518,+0.450,503,L44E069,yes,yes
paper,3,48,48,L44E069,+0.462,+0.518,+0.450,333,L44E069,yes,yes
paper,3,64,64,L44E069,+0.462,+0.518,+0.450,214,L44E069,yes,yes
paper,3,80,80,L44E069,+0.462,+0.518,+0.450,117,L44E069,yes,yes
paper,3,96,96,L44E069,+0.462,+0.518,+0.450,60,L44E069,yes,yes
paper,4,32,32,L42E115,+0.493,+0.415,+0.377,493,L44E069,,
paper,4,48,48,L42E115,+0.493,+0.415,+0.377,340,L44E069,,
paper,4,64,64,L42E115,+0.493,+0.415,+0.377,227,L44E069,,
paper,4,80,80,L42E115,+0.493,+0.415,+0.377,130,L44E069,,
paper,4,96,96,L42E115,+0.493,+0.415,+0.377,61,L44E069,,
strict,0,32,32,L42E115,+0.437,+0.451,+0.433,494,L44E069,,
strict,0,48,48,L42E115,+0.437,+0.451,+0.433,330,L44E069,,
strict,0,64,64,L42E115,+0.437,+0.451,+0.433,219,L44E069,,
strict,0,80,80,L42E115,+0.437,+0.451,+0.433,109,L44E069,,
strict,0,96,96,L42E115,+0.437,+0.451,+0.433,51,L44E069,,
strict,1,32,32,L42E115,+0.417,+0.471,+0.453,491,L44E069,,
