Set,Rank (disc.),Pair,Disc. active,Disc. rescue,Val. active,Val. rescue [95% CI],Spec [95% CI],Two-stage winner
paper,1,L19E002,76/128,+0.384,84/128,"+0.363 [+0.267, +0.471]","+0.192 [+0.094, +0.296]",yes
paper,2,L21E001,91/128,+0.336,84/128,"+0.273 [+0.190, +0.363]","+0.118 [+0.036, +0.207]",
paper,3,L18E001,98/128,+0.192,103/128,"+0.244 [+0.177, +0.320]","+0.182 [+0.111, +0.261]",
paper,4,L22E001,95/128,+0.155,94/128,"+0.179 [+0.121, +0.246]","+0.057 [-0.016, +0.132]",
paper,5,L20E005,75/128,+0.134,73/128,"+0.155 [+0.103, +0.211]","-0.074 [-0.159, +0.005]",
paper,6,L19E006,71/128,+0.100,67/128,"+0.079 [+0.048, +0.110]","-0.246 [-0.341, -0.162]",
paper,7,L28E002,88/128,+0.097,79/128,"+0.086 [+0.043, +0.134]","+0.005 [-0.065, +0.074]",
paper,8,L29E004,103/128,+0.059,108/128,"-0.094 [-0.168, -0.027]","-0.063 [-0.126, -0.001]",
paper,9,L25E003,72/128,+0.056,67/128,"+0.078 [+0.040, +0.120]","-0.025 [-0.086, +0.033]",
paper,10,L17E001,111/128,+0.053,107/128,"+0.082 [+0.054, +0.111]","+0.001 [-0.039, +0.040]",
paper,1,L19E002 (two-stage),76/128,+0.384,84/128,"+0.363 [+0.267, +0.471]","+0.192 [+0.094, +0.296]",reference
strict,1,L19E002,79/128,+0.364,90/128,"+0.426 [+0.319, +0.546]","+0.257 [+0.148, +0.379]",yes
strict,2,L21E001,91/128,+0.292,86/128,"+0.354 [+0.266, +0.455]","+0.200 [+0.109, +0.302]",
strict,3,L18E001,101/128,+0.215,100/128,"+0.237 [+0.173, +0.305]","+0.143 [+0.073, +0.217]",
strict,4,L22E001,98/128,+0.198,95/128,"+0.182 [+0.126, +0.243]","+0.082 [+0.010, +0.156]",
strict,5,L20E005,68/128,+0.117,73/128,"+0.185 [+0.129, +0.248]","-0.049 [-0.119, +0.022]",
strict,6,L28E002,84/128,+0.098,82/128,"+0.103 [+0.063, +0.146]","-0.029 [-0.099, +0.035]",
strict,7,L19E006,70/128,+0.095,63/128,"+0.093 [+0.060, +0.128]","-0.250 [-0.343, -0.164]",
strict,8,L23E002,67/128,+0.086,65/128,"+0.112 [+0.073, +0.155]","-0.018 [-0.075, +0.037]",
strict,9,L25E003,73/128,+0.081,68/128,"+0.077 [+0.039, +0.116]","-0.044 [-0.107, +0.017]",
strict,10,L22E005,78/128,+0.080,63/128,"+0.102 [+0.062, +0.145]","-0.055 [-0.119, +0.008]",
strict,1,L19E002 (two-stage),79/128,+0.364,90/128,"+0.426 [+0.319, +0.546]","+0.257 [+0.148, +0.379]",reference
relaxed,1,L19E002,166/256,+0.366,162/256,"+0.356 [+0.287, +0.430]","+0.175 [+0.103, +0.253]",yes
relaxed,2,L21E001,169/256,+0.278,181/256,"+0.332 [+0.270, +0.398]","+0.212 [+0.152, +0.276]",
relaxed,3,L18E001,209/256,+0.218,202/256,"+0.223 [+0.179, +0.268]","+0.156 [+0.111, +0.203]",
relaxed,4,L22E001,193/256,+0.162,189/256,"+0.233 [+0.183, +0.288]","+0.115 [+0.053, +0.178]",
relaxed,5,L20E005,154/256,+0.141,157/256,"+0.166 [+0.128, +0.205]","-0.038 [-0.096, +0.019]",
relaxed,6,L23E002,128/256,+0.102,155/256,"+0.115 [+0.083, +0.147]","+0.016 [-0.029, +0.057]",
relaxed,7,L22E005,145/256,+0.098,134/256,"+0.105 [+0.074, +0.138]","-0.116 [-0.175, -0.061]",
relaxed,8,L19E006,136/256,+0.095,131/256,"+0.073 [+0.053, +0.095]","-0.295 [-0.361, -0.233]",
relaxed,9,L25E003,151/256,+0.083,131/256,"+0.062 [+0.035, +0.089]","-0.036 [-0.087, +0.008]",
relaxed,10,L21E006,128/256,+0.076,106/256,"+0.059 [+0.039, +0.081]","-0.188 [-0.237, -0.144]",
relaxed,1,L19E002 (two-stage),166/256,+0.366,162/256,"+0.356 [+0.287, +0.430]","+0.175 [+0.103, +0.253]",reference
