layer,attn,moe,sum,block,gap,gap_lo,gap_hi,r_case,frac_block_gt_sum,n
0,0.15057373046875,-0.03460693359375,0.115966796875,0.15057373046875,0.03460693359375,-0.08948211669921875,0.15966796875,0.8354654116890291,0.5,16
1,0.07183837890625,0.1358642578125,0.20770263671875,0.01727294921875,-0.1904296875,-0.3354736328125,-0.05614624023437509,0.8408540642672895,0.3125,16
2,0.18768310546875,0.095703125,0.28338623046875,0.08428955078125,-0.1990966796875,-0.39100341796875,-0.02501831054687509,0.7001955334361089,0.4375,16
3,0.101318359375,-0.04278564453125,0.05853271484375,0.08782958984375,0.029296875,-0.1181640625,0.17432861328124982,0.7524232079001341,0.5625,16
4,0.20208740234375,0.06280517578125,0.264892578125,0.13665771484375,-0.12823486328125,-0.34253387451171874,0.0993759155273436,0.7966178244215494,0.3125,16
5,0.16619873046875,0.15277099609375,0.3189697265625,0.16070556640625,-0.15826416015625,-0.39221954345703125,0.054690551757812456,0.8706490407027865,0.375,16
6,-0.00421142578125,-0.07342529296875,-0.07763671875,0.05633544921875,0.13397216796875,-0.07838134765624999,0.34443511962890605,0.8724303828179532,0.5625,16
7,0.29534912109375,0.09356689453125,0.388916015625,0.4615478515625,0.0726318359375,-0.1312347412109375,0.2343811035156249,0.8902357364637112,0.75,16
8,0.0089111328125,-0.16424560546875,-0.15533447265625,-0.15582275390625,-0.00048828125,-0.22314605712890626,0.22791748046874982,0.8663404698850153,0.5,16
9,0.25244140625,0.0357666015625,0.2882080078125,0.17279052734375,-0.11541748046875,-0.32269439697265623,0.07644042968749964,0.8234471612085471,0.375,16
10,1.07208251953125,0.09381103515625,1.1658935546875,1.2066650390625,0.040771484375,-0.2694122314453125,0.41734466552734306,0.870692201380767,0.3125,16
11,0.71923828125,0.5234375,1.24267578125,1.272857666015625,0.030181884765625,-0.38990249633789065,0.5044090270996091,0.7823017973927875,0.375,16
12,2.9415283203125,1.2227783203125,4.164306640625,3.95513916015625,-0.20916748046875,-0.5711700439453125,0.12231750488281246,0.9744649845389771,0.4375,16
13,2.71282958984375,1.433563232421875,4.146392822265625,3.7922744750976562,-0.35411834716796875,-0.6276901245117188,-0.09323711395263697,0.9893902446192228,0.25,16
14,0.834503173828125,-0.76373291015625,0.070770263671875,-0.238372802734375,-0.30914306640625,-0.5927398681640625,-0.09081726074218754,0.9780802693473966,0.1875,16
15,1.654052734375,0.09295654296875,1.74700927734375,1.5147286653518677,-0.23228061199188232,-0.4606141775846481,-0.03709411621093772,0.9647453668539417,0.3125,16
