layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.00537109375,-0.00341796875,-0.02001953125,0.01318359375,-0.0078125,-0.02685546875,0.0107421875,1,73,64,4.0,73.0,0.00244140625,73.0,0.00390625,-0.009765625,0.017578125,0.6263,0.00439453125,-0.01416015625,0.0224609375,-0.00048828125,-0.5,,
1,0.00244140625,-0.01318359375,-0.03271484375,0.0068359375,-0.01611328125,-0.03857421875,0.00537109375,0,54,64,,,,,,,,,,,,,,,
2,-0.001953125,-0.00732421875,-0.0283203125,0.01318359375,-0.021484375,-0.047863769531249996,0.00390625,1,76,64,6.0,76.0,0.02099609375,72.0,0.00732421875,-0.0078125,0.0224609375,0.3965,0.01513671875,-0.00634765625,0.03712158203124982,-0.0078125,-0.3409090909090909,-4.430357142857143,4.571726190476186
3,0.0166015625,0.0234375,-0.0048828125,0.0517578125,0.015625,-0.01611328125,0.04638671875,0,63,64,,,,,,,,,,,,,,,
4,0.0380859375,0.0244140625,-0.013684082031249996,0.06494140625,0.02685546875,-0.013671875,0.0673828125,2,80,64,7.0,80.0,0.01220703125,88.0,0.00732421875,-0.0126953125,0.02685546875,0.5137,-0.001953125,-0.0341796875,0.02978515625,0.00927734375,0.2727272727272727,,
5,0.0537109375,0.04150390625,-0.001953125,0.087890625,0.0302734375,-0.0107421875,0.07421875,1,95,64,0.0,95.0,0.03076171875,87.0,0.0048828125,-0.02294921875,0.03369140625,0.7626,0.00634765625,-0.0283203125,0.041015625,-0.00146484375,0.16129032258064516,-3.2229166666666664,3.2
6,0.0439453125,0.02880859375,-0.0126953125,0.07178955078124982,0.03759765625,-0.0068359375,0.08349609375,1,90,64,7.0,90.0,0.01513671875,95.0,0.03125,0.001953125,0.0615234375,0.0481,0.04052734375,0.008288574218750004,0.07421875,-0.00927734375,0.8311688311688312,-1.2661943319838045,4.25
7,0.04052734375,0.04833984375,0.0048828125,0.09229736328124982,0.03955078125,-0.005859375,0.08546142578124982,0,63,64,,,,,,,,,,,,,,,
8,0.015625,0.00439453125,-0.0419921875,0.0498046875,0.009765625,-0.0361328125,0.05615234375,1,71,64,6.0,71.0,0.0048828125,77.0,0.0009765625,-0.0263671875,0.0283203125,0.9737,-0.01513671875,-0.049816894531249996,0.01953125,0.01611328125,0.1,,
9,0.01123046875,-0.00390625,-0.04296875,0.03515625,-0.0087890625,-0.04638671875,0.0283203125,2,91,64,0.0,91.0,0.01171875,86.0,-0.013671875,-0.03955078125,0.01220703125,0.3185,-0.0205078125,-0.0498046875,0.01123046875,0.0068359375,1.5555555555555556,,
10,0.0244140625,0.01025390625,-0.0224609375,0.04248046875,0.01611328125,-0.02001953125,0.0517578125,2,107,64,4.0,106.0,0.01806640625,104.0,-0.00341796875,-0.0283203125,0.02197265625,0.8172,0.00146484375,-0.025390625,0.02783203125,-0.0048828125,-0.21212121212121213,,
11,-0.0029296875,0.01123046875,-0.0224609375,0.044921875,0.009765625,-0.0263671875,0.04541015625,2,102,64,0.0,102.0,0.01318359375,98.0,0.01953125,-0.001953125,0.0419921875,0.0933,0.00146484375,-0.02685546875,0.029309082031249822,0.01806640625,2.0,-10.16875,15.0
12,-0.01025390625,-0.0126953125,-0.05078125,0.02587890625,-0.015625,-0.05517578125,0.023937988281249822,0,60,64,,,,,,,,,,,,,,,
