layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.0068187713623046875,0.06514549255371094,-0.01106867790222168,0.1474137306213379,0.03500175476074219,-0.041638755798339845,0.11464886665344225,1,79,64,4.0,79.0,-0.0341341495513916,75.0,-0.01871490478515625,-0.09438381195068359,0.04864940643310546,0.6376,0.006215333938598633,-0.08984344601631164,0.10242279171943663,-0.024930238723754883,-0.534684758323797,-11.5290611250682,7.599036918138026
1,0.0010951757431030273,0.04400825500488281,-0.07518901824951171,0.16971068382263182,-0.004398345947265625,-0.11339998245239258,0.10165905952453612,0,54,64,,,,,,,,,,,,,,,
2,-0.008321762084960938,0.06805610656738281,-0.040108108520507814,0.18136343955993645,0.061374664306640625,-0.04410009384155273,0.16043653488159176,1,77,64,6.0,77.0,0.014223098754882812,74.0,0.07179450988769531,0.004229497909545901,0.14161930084228513,0.0473,0.12689208984375,0.027337837219238287,0.2353901386260984,-0.05509757995605469,1.1697743800111877,-6.3643161653093205,7.778180877738104
3,-0.1161956787109375,0.022592544555664062,-0.11541328430175782,0.16971693038940427,-0.01018524169921875,-0.1498493194580078,0.12569866180419914,0,62,64,,,,,,,,,,,,,,,
4,-0.03908252716064453,-0.026899337768554688,-0.16455135345458985,0.11638627052307099,-0.09389495849609375,-0.259886360168457,0.07196407318115229,2,82,64,2.0,82.0,-0.002626180648803711,69.0,-0.03079986572265625,-0.12125930786132812,0.05461139678955078,0.5115,-0.035121917724609375,-0.1677705764770508,0.10258998870849607,0.004322052001953125,0.32802470138945317,-2.8683968381662828,3.155815412215895
5,-0.03538703918457031,0.12248420715332031,-0.04185075759887695,0.2939355373382567,0.11386680603027344,-0.05045604705810547,0.2896363258361816,1,97,64,0.0,97.0,-0.12959861755371094,88.0,0.11832576990127563,-0.01063178777694702,0.254252016544342,0.0776,0.13561397790908813,-0.01062173843383789,0.2854142561554907,-0.0172882080078125,1.0391594708454077,-3.665948598850269,7.189691560636243
6,0.05089569091796875,0.19901275634765625,0.013946628570556643,0.40671234130859374,0.13605117797851562,-0.05772266387939452,0.3430551528930664,1,92,64,7.0,92.0,-0.04388999938964844,89.0,0.133697509765625,-0.012056732177734375,0.2851768493652342,0.0854,0.14774107933044434,-0.014104837179183956,0.31045932769775386,-0.014043569564819336,0.9827001261741203,-2.801194481999656,5.481439031896474
7,0.013858795166015625,0.11181831359863281,-0.10373673439025878,0.33040533065795896,0.0650177001953125,-0.15203895568847656,0.2938079833984373,1,71,64,1.0,71.0,0.024063587188720703,73.0,-0.010560989379882812,-0.10429553985595703,0.08197946548461901,0.8224,0.061530113220214844,-0.11468119621276855,0.23575320243835435,-0.07209110260009766,-0.16243252757568646,-4.651078308337626,4.958168065578706
8,0.06698036193847656,0.08247518539428711,-0.12419418096542359,0.30170298814773533,0.02554035186767578,-0.1712556838989258,0.23131618499755854,0,54,64,,,,,,,,,,,,,,,
9,0.08505439758300781,0.08224105834960938,-0.12506518363952634,0.2988307952880859,0.035125732421875,-0.16781196594238282,0.24999599456787103,1,105,64,0.0,105.0,0.08593559265136719,98.0,0.05701649188995361,-0.10198452472686767,0.22755095660686478,0.5151,0.0539780855178833,-0.12750093936920165,0.23914787769317603,0.0030384063720703125,1.6232114737185057,-7.1031599980878415,7.594341690559802
10,0.029940128326416016,-0.029008865356445312,-0.21016435623168944,0.1535555362701416,-0.031042098999023438,-0.21405413150787353,0.1588499784469601,2,107,64,4.0,101.0,-0.01013946533203125,102.0,0.08542251586914062,-0.030474472045898437,0.20362205505371092,0.1603,0.1592273712158203,-0.014056062698364256,0.33784360885620096,-0.07380485534667969,-2.7518279569892474,-13.55278739264834,17.20707910500348
11,0.028928756713867188,-0.23439884185791016,-0.4452340602874756,-0.026831173896789767,-0.2937049865722656,-0.5255599021911621,-0.06550188064575213,2,105,64,0.0,105.0,0.09154081344604492,100.0,-0.08419132232666016,-0.22951891422271728,0.06069166660308837,0.2649,0.0962972640991211,-0.10319406986236572,0.2930781126022339,-0.18048858642578125,0.2866526827114153,-0.47125631880679075,0.703269484901685
12,0.016130447387695312,0.06428909301757812,-0.14287929534912108,0.2755321979522703,0.023084163665771484,-0.1863154888153076,0.2371255517005917,2,95,64,1.0,95.0,0.0707540512084961,84.0,-0.091552734375,-0.23770923614501954,0.05193691253662104,0.225,-0.08259344100952148,-0.2568137288093567,0.09586944580078119,-0.008959293365478516,-3.966040775856727,-15.158399772932524,15.198380677258852
13,-0.015655517578125,-0.15276718139648438,-0.38639345169067385,0.08849129676818807,-0.09212017059326172,-0.3191323757171631,0.15584466457366902,1,74,64,0.0,74.0,-0.035416603088378906,86.0,-0.2055511474609375,-0.37906723022460936,-0.03563346862792974,0.0167,-0.27687835693359375,-0.5077352523803711,-0.05443267822265646,0.07132720947265625,2.2313370257259693,-15.33373517222651,16.48585105465278
14,0.05217456817626953,-0.1445140838623047,-0.39199490547180177,0.12241005897521917,-0.16072463989257812,-0.40345306396484376,0.09897708892822242,2,92,64,1.0,92.0,0.030206680297851562,96.0,-0.1941375732421875,-0.360601806640625,-0.02342758178710952,0.023,-0.1735363006591797,-0.3959525108337402,0.04558782577514645,-0.020601272583007812,1.2078893029217004,-6.107326541918058,7.72387450615846
15,0.07967948913574219,0.09488773345947266,-0.20887138843536376,0.39906342029571523,0.08304977416992188,-0.22527246475219725,0.38243389129638666,2,75,64,6.0,75.0,0.021737098693847656,70.0,-0.10123559832572937,-0.24819489568471909,0.020882559567689866,0.1535,-0.3088957965373993,-0.568337345868349,-0.05760223120451,0.20766019821166992,-1.218974998277525,-11.056505185895764,10.340680026009647
16,0.1059417724609375,-0.11726951599121094,-0.4730551242828369,0.22311015129089354,-0.09417235851287842,-0.43051538467407224,0.2462770015001296,1,114,64,7.0,114.0,-0.10073661804199219,115.0,-0.06365203857421875,-0.3079615592956543,0.17573785781860346,0.6159,-0.13181737065315247,-0.40981634259223937,0.14021932482719413,0.06816533207893372,0.6759099971518086,-4.157421886035973,5.4469498423988885
17,0.35866451263427734,0.3410043716430664,0.0362248420715332,0.6513649463653564,0.20022964477539062,-0.10017709732055664,0.5148861885070797,2,115,64,5.0,79.0,0.22650909423828125,79.0,0.08966445922851562,-0.03285293579101562,0.21388435363769528,0.1527,-0.1561737060546875,-0.4524545669555664,0.134942865371704,0.24583816528320312,0.44780811217588445,-2.8252718193884006,4.360554457616473
18,0.7225191593170166,0.3107175827026367,-0.05158565044403076,0.6770409822463989,0.24331283569335938,-0.14702234268188477,0.6285565376281735,2,94,64,1.0,94.0,0.5898418426513672,102.0,0.19508743286132812,-0.13386001586914062,0.5266290664672851,0.2575,-0.022587299346923828,-0.40878208875656125,0.35291347503662107,0.21767473220825195,0.8017967169935563,-2.286071119361988,3.6751339678298396
19,0.8091869354248047,0.8678836822509766,0.46252121925354006,1.283396577835082,0.8649501800537109,0.45528960227966314,1.2934088945388789,2,86,64,2.0,67.0,0.5010356903076172,76.0,0.40381813049316406,0.14296112060546876,0.6925344467163085,0.0035,0.19018840789794922,-0.1649313449859619,0.5423505544662474,0.21362972259521484,0.4668686588030863,0.21387333332359046,0.7739210283026837
20,0.601954460144043,0.8824930191040039,0.4977160692214966,1.2596491575241087,0.8345527648925781,0.4629870355129242,1.2031369745731353,1,72,64,5.0,72.0,0.07085609436035156,74.0,0.35773658752441406,0.14144701957702638,0.5996506214141845,0.0029,0.008672237396240234,-0.2966576099395752,0.3161733150482177,0.34906435012817383,0.4286566441014202,0.2008610456640369,0.7488427520988121
21,1.3223114013671875,0.7806310653686523,0.3816498279571533,1.1960451126098632,0.7118511199951172,0.3127810001373291,1.1276600837707516,1,83,64,1.0,83.0,0.9668327569961548,89.0,0.5294075012207031,0.20496106147766113,0.8680708885192872,0.0019,0.4559955596923828,0.0981414794921875,0.8262128353118896,0.07341194152832031,0.7437053708988117,0.44721885523557775,1.120515430730828
22,0.9709615707397461,0.6253547668457031,0.30004167556762695,0.9498244762420651,0.6174139976501465,0.2832706332206726,0.951238751411438,2,88,64,5.0,81.0,0.36605072021484375,92.0,0.3899803161621094,0.17709426879882814,0.6088002204895019,0.0007,0.2263336181640625,-0.08555593490600585,0.5375625610351562,0.16364669799804688,0.6316350417165131,0.33894331901746755,1.1565283990375723
23,0.8111672401428223,0.6164455413818359,0.24758939743041994,0.9986337661743163,0.5874195098876953,0.22350130081176758,0.9602227210998533,1,78,64,2.0,78.0,0.38652801513671875,82.0,0.14383316040039062,-0.0732452392578125,0.3708621025085449,0.2052,-0.13999629020690918,-0.4245392203330994,0.1481144905090331,0.2838294506072998,0.24485594703500585,-0.23840168148632737,0.5519657179184461
24,0.3604769706726074,0.6686992645263672,0.29717292785644533,1.0626872062683104,0.6140289306640625,0.2475208282470703,0.9897445678710937,1,84,64,7.0,84.0,0.15137672424316406,87.0,0.40664100646972656,0.10601415634155273,0.7220760345458982,0.0107,0.1651782989501953,-0.18656377792358397,0.5307380199432371,0.24146270751953125,0.6622505653438036,0.28867372736597785,1.025334554037109
25,0.748321533203125,0.7834634780883789,0.287287163734436,1.311150860786438,0.761418342590332,0.2877000331878662,1.2773539543151855,1,67,64,3.0,67.0,0.5037994384765625,75.0,0.364166259765625,0.08187408447265626,0.6836930274963372,0.0168,0.05008697509765625,-0.300502872467041,0.42104902267456035,0.31407928466796875,0.47827355790607523,0.1632769179210191,0.8960575129603553
26,0.538059413433075,0.4848346710205078,0.09392542839050294,0.8823892593383786,0.4779090881347656,0.07351293563842774,0.8901156425476067,1,72,64,0.0,72.0,-0.0063343048095703125,77.0,0.1880512237548828,-0.001671314239501953,0.3861885547637939,0.0602,-0.06649208068847656,-0.3547698497772217,0.21376514434814398,0.2545433044433594,0.39348744023435317,-0.02400163226340998,1.1727379048499185
27,0.7183132171630859,0.5881252288818359,0.1832355499267578,1.0119339942932128,0.6025009155273438,0.1781312942504883,1.0422901153564448,0,53,64,,,,,,,,,,,,,,,
28,0.47946739196777344,0.42002105712890625,0.050446271896362305,0.8134147644042966,0.36875104904174805,-0.009740447998046874,0.7783084034919735,0,63,64,,,,,,,,,,,,,,,
29,0.15797138214111328,-0.10181236267089844,-0.41986913681030275,0.2371837615966796,-0.05861663818359375,-0.389436149597168,0.2859821319580078,1,101,64,4.0,101.0,0.17415428161621094,106.0,-0.0403594970703125,-0.31607494354248045,0.24888362884521475,0.7836,-0.07002830505371094,-0.3740328311920166,0.2523036956787108,0.029668807983398438,0.6885331250813485,-4.853902842778607,6.057760033467555
30,-0.3414764404296875,-0.2608146667480469,-0.5982178211212158,0.06516218185424802,-0.3250565528869629,-0.6535972833633423,0.0019298553466796375,1,104,64,7.0,104.0,-0.21146202087402344,104.0,-0.24500656127929688,-0.4797046661376953,-0.006183528900146486,0.049,-0.1064910888671875,-0.3663468360900879,0.15156478881835922,-0.13851547241210938,0.7537351857801092,0.035595378064392044,2.1164870628670727
31,1.995431900024414,1.7849140167236328,1.2618834972381592,2.3333364486694332,1.7621574401855469,1.2275470733642577,2.3338987350463865,2,78,64,2.0,78.0,1.3832378387451172,85.0,1.1925048828125,0.8103473663330079,1.6007568359375,0.0,0.7127189636230469,0.32761287689208984,1.1262398242950438,0.4797859191894531,0.6767300444430975,0.5520209829156724,0.8158871848918164
