layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,-0.008999347686767578,0.03541755676269531,-0.008573961257934571,0.08009967803955066,-0.007489562034606934,-0.0658342033624649,0.050559213757514744,1,156,128,4.0,156.0,0.02189052104949951,170.0,-0.03766357898712158,-0.0797118991613388,0.0014914751052856386,0.0681,-0.049759507179260254,-0.10476290881633758,0.001496937870979293,0.012095928192138672,5.028809269899884,-18.912283388508293,15.830818284770917
1,0.04916715621948242,0.09643757343292236,0.021975719928741456,0.17919292449951157,0.05477917194366455,-0.0218208909034729,0.13489714264869684,0,115,128,,,,,,,,,,,,,,,
2,0.05656313896179199,0.0503382682800293,-0.028598928451538084,0.12354633808135981,0.050675272941589355,-0.029636162519454955,0.13420393466949454,1,138,128,6.0,138.0,0.0031311511993408203,121.0,0.04050624370574951,-0.0033030033111572264,0.0843565672636032,0.07,0.07217288017272949,-0.007801765203475952,0.15233583450317384,-0.03166663646697998,0.799329561627401,-4.71807806796495,6.436388137897817
3,-0.012720763683319092,0.028208255767822266,-0.07670732736587524,0.12749260663986173,-0.00415647029876709,-0.1260029196739197,0.10799593925476073,0,115,128,,,,,,,,,,,,,,,
4,-0.019750118255615234,0.047794342041015625,-0.0628176212310791,0.15853013992309567,0.025142788887023926,-0.08797805905342101,0.1371877849102016,2,172,128,7.0,165.0,-0.020473003387451172,175.0,0.0001996755599975586,-0.06822941303253174,0.07256231307983396,0.9957,0.01083362102508545,-0.09444580674171447,0.11461511850357049,-0.01063394546508789,0.007941663150208854,-5.29578236247936,5.605482209904378
5,0.1208806037902832,0.0066699981689453125,-0.09986600875854493,0.11575541496276855,0.026101231575012207,-0.08683640956878662,0.14135372340679164,1,187,128,0.0,187.0,-0.004119366407394409,172.0,-0.054088473320007324,-0.13686244189739227,0.02845970988273606,0.2115,-0.05247306823730469,-0.14611072540283204,0.04292194843292234,-0.0016154050827026367,-2.072257516453303,-17.231373891959596,17.124648513997215
6,0.10319530963897705,0.036382436752319336,-0.08925349116325379,0.16399229764938353,0.052051663398742676,-0.08715497553348542,0.1876540690660476,1,172,128,7.0,172.0,0.002842426300048828,174.0,0.09246325492858887,-0.0018518984317779535,0.18705993890762324,0.0617,0.17446362972259521,0.06392091810703278,0.2847504049539566,-0.08200037479400635,1.7763746418682624,-11.33622490336174,12.57635319508841
7,0.0771336555480957,-0.010344505310058594,-0.14694430828094482,0.12700948715209953,-0.04930579662322998,-0.19026913940906526,0.09412109851837155,1,137,128,1.0,137.0,0.02428150177001953,166.0,-0.0346118938177824,-0.10638930494897067,0.03899724395014344,0.3579,0.015867875888943672,-0.1044673531781882,0.1345068526454267,-0.050479769706726074,0.7019842734165525,-5.063855566081144,5.348954208886363
8,-0.016530513763427734,0.07730042934417725,-0.052373096346855164,0.20764186978340138,0.04037678241729736,-0.08053304255008698,0.16539158523082717,0,113,128,,,,,,,,,,,,,,,
9,0.10185563564300537,-0.018442153930664062,-0.15597996711730958,0.11966843605041502,-0.03319871425628662,-0.16635522544384002,0.1000998020172118,1,212,128,0.0,212.0,0.10247242450714111,201.0,-0.028578877449035645,-0.11784909069538116,0.0598179131746292,0.5404,-0.02178025245666504,-0.14559594988822938,0.10396317839622497,-0.0067986249923706055,0.8608428997705492,-6.2771364467324995,7.186243962293581
10,0.016558587551116943,-0.01618361473083496,-0.1564529836177826,0.12768987417221062,-0.062325358390808105,-0.2020273506641388,0.08410708904266356,2,222,128,4.0,201.0,0.02348923683166504,214.0,-0.08634468913078308,-0.1704449847340584,0.0017878450453280821,0.0582,0.004266649484634399,-0.12549888342618942,0.13822222128510459,-0.09061133861541748,1.3853861631948097,-8.357895815307762,10.908870210499517
11,0.039206504821777344,-0.0819091796875,-0.23849400281906127,0.07113361358642575,-0.09398949146270752,-0.23767608404159546,0.051297387480735715,2,207,128,6.0,154.0,0.043395042419433594,141.0,0.04029214382171631,-0.05790652334690094,0.13867391347885127,0.4295,0.06310915946960449,-0.06295896768569946,0.19132979512214637,-0.022817015647888184,-0.42868775215900745,-8.564514494427454,6.594230180523132
12,0.11236816644668579,-0.011483192443847656,-0.15553226470947265,0.13076107501983641,-0.02662193775177002,-0.1692585915327072,0.11817886829376216,2,192,128,5.0,132.0,0.03636813163757324,102.0,-0.03053724765777588,-0.08707509934902191,0.021858826279640114,0.2787,0.027236461639404297,-0.09846762418746947,0.15295873284339886,-0.057773709297180176,1.147070808387926,-6.696688308836829,7.1843848333013005
13,0.038111500442028046,0.020906686782836914,-0.13463749289512633,0.1760514676570892,0.01865541934967041,-0.1410027414560318,0.17744340002536774,1,163,128,0.0,163.0,-0.05998659133911133,175.0,-0.06563055515289307,-0.18161543607711791,0.051301860809326055,0.2735,-0.037392497062683105,-0.18184856176376343,0.10950966477394099,-0.02823805809020996,-3.5180423405519736,-14.270779791786275,15.00851322800084
14,0.13384592533111572,0.08070671558380127,-0.08164165019989014,0.24592292606830593,0.05477488040924072,-0.11202169358730316,0.21837415099143975,2,199,128,1.0,199.0,0.07299184799194336,199.0,-0.042102694511413574,-0.15341295897960663,0.07110007107257839,0.4634,-0.09916973114013672,-0.24201548099517822,0.038779020309448214,0.057067036628723145,-0.7686496838852194,-10.00103224210747,9.69495590871714
15,0.23514747619628906,0.07399892807006836,-0.14402011632919312,0.2923069596290587,0.08738648891448975,-0.13182571530342102,0.3046832859516143,3,145,128,5.0,144.0,0.10336971282958984,149.0,0.017934083938598633,-0.11813930869102478,0.15368620753288265,0.797,-0.03674723207950592,-0.2102486278861761,0.1335817545652389,0.05468131601810455,0.2052271942879827,-4.725919670502455,5.077079726049719
16,-0.09951353073120117,0.2545461654663086,0.01007251739501954,0.502988004684448,0.1838388442993164,-0.05962660312652588,0.4357614517211913,1,239,128,7.0,239.0,-0.11349868774414062,228.0,0.010998725891113281,-0.16164014339447022,0.1897952318191526,0.9061,-0.17577362060546875,-0.3866500616073608,0.021615076065063462,0.18677234649658203,0.05982808439116248,-3.882863206469764,3.3125307165791438
17,0.31389474868774414,0.31929880380630493,0.082589890062809,0.5491124734282493,0.2732725143432617,0.04624273777008057,0.5014533519744871,2,242,128,1.0,242.0,0.21450281143188477,223.0,0.08434486389160156,-0.08501276969909667,0.2622298717498779,0.3423,-0.1449897289276123,-0.36335000991821287,0.08278058767318704,0.22933459281921387,0.3086474470156728,-0.8772439446742256,0.9420109077464208
18,0.7082290947437286,0.7096194624900818,0.4289520844817162,1.0044042795896526,0.6526212692260742,0.3726355075836182,0.9451326131820676,2,203,128,1.0,203.0,0.4936507688835263,201.0,0.5859479904174805,0.34551324844360354,0.8323669672012329,0.0001,0.4477510452270508,0.19955795407295226,0.6984535455703735,0.1381969451904297,0.8978377169845234,0.6882577405452881,1.2035384096881767
19,0.9700665473937988,0.9882106781005859,0.6937028408050537,1.3049224853515624,0.9538683891296387,0.6552361726760865,1.2740896821022032,1,176,128,6.0,176.0,0.2615776062011719,166.0,0.19230413436889648,0.04750202894210816,0.335254693031311,0.0117,-0.34910833835601807,-0.584894448518753,-0.12010765671730057,0.5414124727249146,0.20160447348964486,0.05498959212353351,0.34889766967835323
20,0.967911958694458,1.1079233884811401,0.8126493990421295,1.4112223505973813,1.0727256536483765,0.7816557496786117,1.3783142566680908,1,156,128,5.0,156.0,0.34398317337036133,150.0,0.3867543935775757,0.21035172045230865,0.5721293687820435,0.0001,-0.0808948278427124,-0.3315529853105545,0.17217208743095339,0.4676492214202881,0.36053430088318555,0.21497295929705867,0.5207218495034681
21,1.2957639694213867,1.0458269119262695,0.7629878044128418,1.3342047691345216,0.9875955581665039,0.7026713848114013,1.2764208793640135,2,161,128,1.0,161.0,0.833369255065918,173.0,0.6756753921508789,0.4459284782409668,0.911135959625244,0.0,0.4876439571380615,0.23906118273735047,0.740176999568939,0.18803143501281738,0.6841620403855272,0.5442585427801448,0.8234415737569276
22,0.932499885559082,1.1826457977294922,0.8912741184234619,1.4794564723968504,1.1392841339111328,0.8599663019180298,1.4339214801788327,2,180,128,5.0,180.0,0.503509521484375,172.0,0.3754281997680664,0.23684101104736327,0.5196610927581786,0.0,-0.15284252166748047,-0.40470495223999026,0.08800551891326898,0.5282707214355469,0.32952991145345906,0.2216105155857496,0.45466624934361316
23,0.8805053234100342,0.7936944961547852,0.5183984756469726,1.0775599241256713,0.8335660696029663,0.5547513604164124,1.1117474824190134,1,164,128,2.0,164.0,0.3860197067260742,165.0,0.3344101905822754,0.15786485671997072,0.5143980145454405,0.0003,-0.045297861099243164,-0.2747099816799164,0.187344616651535,0.37970805168151855,0.40118018568289066,0.2260854750310591,0.5702344859421228
24,0.6360428333282471,0.6200208067893982,0.31618046909570696,0.9439170360565182,0.5956430435180664,0.2996703863143921,0.9203665494918823,1,183,128,7.0,183.0,0.29101085662841797,168.0,0.32281494140625,0.11239147186279297,0.5375211238861082,0.0037,0.09923267364501953,-0.1740868806838989,0.3599030733108519,0.22358226776123047,0.5419603987979065,0.26168174481308637,0.8253571428545394
25,0.9445366859436035,0.7615168876945972,0.4032404887489974,1.1132856436073777,0.727449893951416,0.38004202842712403,1.066953945159912,2,152,128,3.0,152.0,0.5248374938964844,152.0,0.4903750419616699,0.2792303204536438,0.7244595646858215,0.0001,0.18027979135513306,-0.10883250385522841,0.46847998648881883,0.31009525060653687,0.6741014687596071,0.4356135005928757,1.0653794522242717
26,0.5325895249843597,0.6798574924468994,0.4080176830291748,0.9530039370059967,0.6902618408203125,0.4181809425354004,0.9674033641815185,1,150,128,0.0,150.0,0.1708526611328125,147.0,0.2341766357421875,0.09252805709838867,0.39125604629516597,0.0009,-0.10562348365783691,-0.33202112913131715,0.11716306209564173,0.3398001194000244,0.3392576872913765,0.1607421315621447,0.5447136420588733
27,0.9378337860107422,0.9378013610839844,0.6372798919677735,1.2403726816177367,0.9421760141849518,0.6440258540213109,1.250690411031246,0,114,128,,,,,,,,,,,,,,,
28,0.5560164451599121,0.7324213981628418,0.4739099144935608,0.9903276681900022,0.714539647102356,0.4476641148328781,0.9742621064186096,1,141,128,2.0,141.0,0.12782490253448486,123.0,0.2226550579071045,0.11109572052955628,0.34227892756462097,0.0001,-0.12359344959259033,-0.330991792678833,0.0752148777246475,0.3462485074996948,0.31160630317719756,0.17432124819236708,0.49196123979767237
29,0.26124395430088043,0.18359613418579102,-0.05233420133590698,0.414315104484558,0.2249774932861328,-0.014108085632324218,0.45898351669311477,1,202,128,4.0,202.0,0.21532344818115234,210.0,0.2726019136607647,0.07061730381101369,0.4762872889637947,0.0085,0.26305944845080376,0.05256588505581022,0.4774467605166136,0.009542465209960938,1.2116852653970225,-0.5710632013428195,3.795219047108773
