layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.02777099609375,0.014331817626953125,-0.057552433013916014,0.08284320831298823,0.01715373992919922,-0.0647845983505249,0.09989781379699707,1,81,64,4.0,81.0,-0.03382515907287598,82.0,-0.04628467559814453,-0.1271383285522461,0.025788116455078086,0.2567,-0.07698631286621094,-0.16560969352722169,0.0037864685058593694,0.030701637268066406,-2.698226496914438,-16.89873706801673,20.123647221152464
1,0.014621734619140625,0.057573556900024414,-0.029904305934906006,0.1505430728197097,0.013121604919433594,-0.10302548408508301,0.13019766807556152,0,61,64,,,,,,,,,,,,,,,
2,0.011013031005859375,0.029203414916992188,-0.06944193840026855,0.13049073219299312,0.053406715393066406,-0.06719441413879394,0.18157670497894268,1,78,64,6.0,78.0,0.028243064880371094,65.0,0.02249622344970703,-0.047229886054992676,0.09959151744842526,0.5492,-0.03151512145996094,-0.1741101264953613,0.10840716361999501,0.05401134490966797,0.4212246209889109,-5.573753225998275,5.580549118238837
3,-0.04584503173828125,-0.0138092041015625,-0.1521516799926758,0.12847871780395437,0.0027685165405273438,-0.12914688587188722,0.1418251276016235,1,72,64,4.0,72.0,-0.052585601806640625,58.0,0.04567241668701172,-0.015639114379882812,0.11556787490844722,0.1824,-0.0137939453125,-0.14007959365844727,0.11453437805175773,0.05946636199951172,16.49707199448846,-8.779583261320429,10.396998593896845
4,-0.038974761962890625,0.012189865112304688,-0.15696630477905274,0.17840094566345213,0.02709484100341797,-0.13486037254333497,0.1968845129013061,2,89,64,7.0,89.0,0.0017232894897460938,86.0,0.013832569122314453,-0.09323238134384156,0.12538791894912715,0.8091,0.01153421401977539,-0.1472812533378601,0.16911625862121574,0.0022983551025390625,0.5105240927809651,-5.914197563648744,7.101691769560278
5,0.027317047119140625,0.09608650207519531,-0.07677664756774902,0.284957742691039,0.09336185455322266,-0.07427017688751221,0.2820711135864258,1,88,64,0.0,88.0,-0.07264423370361328,97.0,0.0022130608558654785,-0.1336529493331909,0.14687503725290296,0.9759,-0.10322993993759155,-0.23481452465057373,0.029919049143791097,0.10544300079345703,0.023704122700389185,-6.095059814952078,6.8421691629531844
6,0.09412574768066406,0.15967369079589844,-0.044210624694824216,0.37843966484069824,0.18877959251403809,-0.006237107515335082,0.3891992032527922,1,87,64,7.0,87.0,0.014246940612792969,87.0,0.0694875717163086,-0.09076921939849854,0.23698830604553214,0.4187,0.15195846557617188,-0.025326061248779296,0.3329107761383055,-0.08247089385986328,0.36808836586052773,-1.36504029808112,1.7958069234221952
7,0.018819808959960938,0.053386688232421875,-0.17417330741882325,0.2838039398193358,0.08629894256591797,-0.1443190336227417,0.322412085533142,1,78,64,1.0,78.0,-0.04579734802246094,68.0,0.035517070442438126,-0.06162269115447998,0.13349619740620253,0.4738,0.030829761177301407,-0.14015334378927946,0.19489710610359906,0.004687309265136719,0.41155858213800267,-4.005984750307718,4.562452835666899
8,-0.0243532657623291,0.15625,-0.05648469924926758,0.37422027587890616,0.11293697357177734,-0.08687705993652343,0.32720572948455795,0,60,64,,,,,,,,,,,,,,,
9,-0.008014678955078125,0.2161846160888672,0.003726959228515625,0.44524898529052725,0.14337444305419922,-0.08221724033355712,0.38156425952911355,1,98,64,0.0,98.0,0.010424613952636719,106.0,0.13097107410430908,-0.04663331210613251,0.31777994036674495,0.166,0.0880199670791626,-0.12304149270057678,0.30872955918312067,0.042951107025146484,0.9134896799898895,-3.0979184424405437,4.865669665822761
