layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,-0.01220703125,0.00927734375,-0.00634765625,0.02490234375,0.001708984375,-0.013677978515624998,0.01708984375,1,73,64,4.0,73.0,0.0029296875,71.0,0.002197265625,-0.008056640625,0.011962890625,0.6994,0.01171875,-0.001708984375,0.02588500976562491,-0.009521484375,1.2857142857142858,,
1,-0.00830078125,-0.007080078125,-0.0302734375,0.014166259765624911,-0.003662109375,-0.02587890625,0.01708984375,0,58,64,,,,,,,,,,,,,,,
2,-0.006591796875,0.017822265625,-0.005615234375,0.041748046875,0.011474609375,-0.013916015625,0.03662719726562491,1,73,64,6.0,73.0,-0.0048828125,72.0,0.015380859375,0.002197265625,0.029541015625,0.0236,0.009033203125,-0.0078125,0.02685546875,0.00634765625,1.3404255319148937,-8.889393939393939,10.780208333333299
3,0.013427734375,0.024169921875,-0.00341796875,0.054443359375,0.024169921875,-0.004150390625,0.05371704101562491,0,61,64,,,,,,,,,,,,,,,
4,0.021240234375,0.0396728515625,0.000732421875,0.08423461914062491,0.0299072265625,-0.012942504882812499,0.079345703125,2,81,64,2.0,78.0,0.00927734375,69.0,0.0224609375,0.0029296875,0.042236328125,0.0351,0.020263671875,-0.007080078125,0.0478515625,0.002197265625,0.7510204081632653,-4.285714285714286,7.001666666666642
5,0.0107421875,0.028076171875,-0.007568359375,0.06934204101562491,0.0313720703125,-0.008547973632812499,0.076171875,1,94,64,0.0,94.0,0.007080078125,86.0,0.014892578125,-0.005859375,0.03589477539062491,0.1727,0.01220703125,-0.012939453125,0.0380859375,0.002685546875,0.47470817120622566,-1.1042793351525673,2.307812499999998
6,0.013916015625,0.038818359375,-0.0007385253906249979,0.08056640625,0.02685546875,-0.0107421875,0.06543579101562491,1,89,64,7.0,89.0,0.01123046875,94.0,0.00634765625,-0.01806640625,0.03076171875,0.6355,-0.0205078125,-0.0546875,0.013671875,0.02685546875,0.23636363636363636,,
7,0.03369140625,0.0179443359375,-0.024905395507812497,0.060427856445312456,0.0133056640625,-0.030154418945312497,0.0560302734375,0,63,64,,,,,,,,,,,,,,,
8,-0.0107421875,0.051025390625,0.00634765625,0.094970703125,0.0399169921875,-0.002935791015624998,0.0819091796875,1,71,64,6.0,71.0,-0.011474609375,75.0,0.0091552734375,-0.022097778320312497,0.040896606445312456,0.5871,-0.00634765625,-0.037841796875,0.0244140625,0.0155029296875,0.22935779816513763,-2.1551261054700293,1.2975949367088584
9,0.0166015625,0.0247802734375,-0.023681640625,0.07421875,0.0191650390625,-0.0277099609375,0.06726379394531246,2,94,64,4.0,79.0,0.01220703125,78.0,0.017333984375,0.0,0.035888671875,0.0613,-0.0032958984375,-0.038824462890624994,0.0313720703125,0.0206298828125,0.9044585987261147,-7.112745098039214,8.616666666666648
10,0.010009765625,0.0372314453125,0.0032958984375,0.073486328125,0.025390625,-0.00634765625,0.057861328125,2,109,64,7.0,109.0,0.022705078125,111.0,-0.001708984375,-0.023681640625,0.01953735351562491,0.8884,-0.0306396484375,-0.0609161376953125,-0.0013427734375,0.0289306640625,-0.0673076923076923,-4.571428571428571,3.8097402597402565
11,-0.0322265625,0.05517578125,0.015374755859375002,0.098876953125,0.037353515625,-0.001708984375,0.08008422851562491,2,101,64,0.0,101.0,0.02587890625,100.0,0.030517578125,0.009521484375,0.05224609375,0.0048,0.0076904296875,-0.026861572265624998,0.038818359375,0.0228271484375,0.8169934640522876,-0.9720179738562087,4.402037037037008
12,-0.00341796875,0.0390625,0.004150390625,0.07373046875,0.035400390625,0.00048828125,0.0693359375,0,61,64,,,,,,,,,,,,,,,
13,0.005126953125,0.044189453125,0.0048828125,0.08325805664062491,0.0439453125,0.00439453125,0.082763671875,1,80,64,0.0,80.0,0.01513671875,93.0,0.0191650390625,-0.000732421875,0.040286254882812456,0.0722,0.0023193359375,-0.024169921875,0.028811645507812456,0.016845703125,0.4361111111111111,-0.06914935930512554,1.3045061207260424
14,0.006591796875,0.0595703125,0.01904296875,0.102294921875,0.0611572265625,0.021728515625,0.103271484375,2,97,64,1.0,97.0,0.02587890625,102.0,0.026123046875,0.0048828125,0.04834594726562491,0.0197,0.0042724609375,-0.025027465820312497,0.0345458984375,0.0218505859375,0.42714570858283435,0.11255411255411256,0.9211172248803818
15,0.084228515625,0.1201171875,0.065179443359375,0.1757873535156249,0.12158203125,0.067864990234375,0.1779846191406249,2,75,64,5.0,75.0,0.054931640625,76.0,0.05859375,0.0262451171875,0.09399719238281246,0.0008,0.0267333984375,-0.012088012695312499,0.0673828125,0.0318603515625,0.4819277108433735,0.2618394995483428,0.745466390287237
16,0.08203125,0.089599609375,0.03857421875,0.144287109375,0.086669921875,0.034173583984375006,0.14306640625,2,106,64,5.0,77.0,0.046875,75.0,0.02783203125,0.009033203125,0.049560546875,0.0067,-0.007080078125,-0.03857421875,0.025390625,0.034912109375,0.3211267605633803,0.13854274239816408,0.6596055742192355
17,0.108642578125,0.181884765625,0.120849609375,0.2487854003906249,0.17822265625,0.11865234375,0.244384765625,2,114,64,1.0,114.0,0.05859375,106.0,0.087646484375,0.05126953125,0.129638671875,0.0,0.0126953125,-0.032476806640624994,0.056640625,0.074951171875,0.4917808219178082,0.34463595596304586,0.6376680245896813
18,0.3212890625,0.366455078125,0.28466796875,0.45263671875,0.363525390625,0.282470703125,0.4480041503906249,2,99,64,1.0,99.0,0.222900390625,104.0,0.265869140625,0.197265625,0.3383850097656249,0.0,0.1884765625,0.1201171875,0.2622131347656249,0.077392578125,0.7313633310946944,0.6346255186315529,0.8235688087017856
19,0.58984375,0.539794921875,0.42552490234375,0.6650512695312498,0.542236328125,0.428216552734375,0.6669982910156249,2,78,64,2.0,78.0,0.37353515625,86.0,0.3203125,0.227294921875,0.426513671875,0.0,0.164794921875,0.065911865234375,0.2680725097656249,0.155517578125,0.5907248986942819,0.48460081393765836,0.6875036196911196
20,0.47314453125,0.5361328125,0.424554443359375,0.6555236816406249,0.537353515625,0.428460693359375,0.653564453125,1,69,64,5.0,69.0,0.147705078125,73.0,0.187255859375,0.123046875,0.260009765625,0.0,-0.0166015625,-0.103277587890625,0.070068359375,0.203857421875,0.34847796456156294,0.24481917960156255,0.45234103734526443
21,0.50146484375,0.515380859375,0.405511474609375,0.6345336914062498,0.5146484375,0.408197021484375,0.630126953125,1,87,64,1.0,87.0,0.336669921875,84.0,0.30419921875,0.21484375,0.4038146972656249,0.0,0.143310546875,0.05078125,0.2448791503906249,0.160888671875,0.5910815939278937,0.484385403486358,0.6890996821951786
22,0.34375,0.366943359375,0.267822265625,0.47291870117187473,0.365234375,0.264642333984375,0.47316284179687473,1,95,64,1.0,95.0,0.17626953125,94.0,0.192626953125,0.123291015625,0.272216796875,0.0,0.051513671875,-0.03955078125,0.1440490722656249,0.14111328125,0.5274064171122995,0.37981690868197354,0.6749675813240689
23,0.283203125,0.3232421875,0.249261474609375,0.4033203125,0.319091796875,0.246820068359375,0.39697265625,0,60,64,,,,,,,,,,,,,,,
24,0.104736328125,0.2183837890625,0.129266357421875,0.312744140625,0.2203369140625,0.1319549560546875,0.315673828125,0,63,64,,,,,,,,,,,,,,,
25,0.206787109375,0.300537109375,0.2099609375,0.398681640625,0.297119140625,0.205804443359375,0.3955139160156249,1,71,64,3.0,71.0,0.069091796875,74.0,0.1083984375,0.062249755859375006,0.158935546875,0.0,-0.02099609375,-0.091070556640625,0.04981079101562491,0.12939453125,0.3648315529991783,0.22667567353680476,0.517459575985263
26,0.17578125,0.179931640625,0.1015625,0.26416015625,0.18408203125,0.108642578125,0.266357421875,1,69,64,3.0,69.0,0.053955078125,65.0,0.041748046875,0.015625,0.07080688476562491,0.0022,-0.0322265625,-0.087408447265625,0.02001953125,0.073974609375,0.22679045092838196,0.09295093454069026,0.3997535251093343
27,0.118408203125,0.18798828125,0.093743896484375,0.2932189941406249,0.195556640625,0.101800537109375,0.3022521972656249,0,59,64,,,,,,,,,,,,,,,
28,0.245849609375,0.210205078125,0.090087890625,0.3408264160156249,0.208984375,0.089093017578125,0.33837890625,1,79,64,2.0,79.0,0.090576171875,72.0,0.0888671875,0.0419921875,0.1408752441406249,0.0003,-0.0126953125,-0.091552734375,0.06201782226562491,0.1015625,0.4252336448598131,0.24515525271692254,0.7722458928297243
29,0.000244140625,-0.0732421875,-0.158209228515625,0.009771728515624911,-0.070556640625,-0.156494140625,0.011737060546874734,2,104,64,4.0,104.0,0.046630859375,110.0,-0.059814453125,-0.12696533203125,0.0029296875,0.0814,-0.0517578125,-0.117926025390625,0.010504150390624911,-0.008056640625,0.8477508650519031,-0.4286679536679536,2.363831168831166
30,-0.04736328125,-0.17864990234375,-0.26806640625,-0.08738708496093772,-0.1845703125,-0.2744140625,-0.092529296875,1,84,64,4.0,84.0,0.0224609375,87.0,-0.065185546875,-0.103765869140625,-0.029296875,0.0006,0.05126953125,0.005126953125,0.095947265625,-0.116455078125,0.3531746031746032,0.20588235294117646,0.5417535808649698
31,-0.071044921875,-0.092529296875,-0.212164306640625,0.03101196289062491,-0.09619140625,-0.213629150390625,0.02710571289062491,2,103,64,7.0,103.0,0.003662109375,103.0,-0.0052490234375,-0.0595794677734375,0.048583984375,0.8597,0.0728759765625,0.008413696289062503,0.1331787109375,-0.078125,0.05456852791878172,-2.3047138047138045,2.1669715447154427
