layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,-0.004638671875,0.004150390625,-0.016357421875,0.024169921875,-0.0029296875,-0.0224609375,0.016357421875,1,65,64,4.0,65.0,0.00146484375,76.0,0.000732421875,-0.010009765625,0.01171875,0.9301,0.01318359375,-0.009765625,0.035400390625,-0.012451171875,-0.25,-6.666666666666667,7.0
1,-0.005126953125,-0.003173828125,-0.029052734375,0.021484375,-0.010009765625,-0.038330078125,0.017578125,0,54,64,,,,,,,,,,,,,,,
2,0.00732421875,0.01171875,-0.016845703125,0.039794921875,0.003662109375,-0.025640869140624998,0.03394165039062491,1,68,64,6.0,68.0,0.008056640625,69.0,0.0048828125,-0.007080078125,0.0166015625,0.4349,0.000244140625,-0.020758056640624998,0.02001953125,0.004638671875,1.3333333333333333,,
3,0.01171875,0.038330078125,0.005126953125,0.07276000976562491,0.0224609375,-0.009765625,0.05664672851562491,0,63,64,,,,,,,,,,,,,,,
4,0.0101318359375,0.06787109375,0.024658203125,0.116943359375,0.051025390625,0.004144287109375002,0.10302734375,2,85,64,2.0,72.0,0.0224609375,77.0,0.016357421875,-0.004150390625,0.037353515625,0.1403,0.0107421875,-0.022216796875,0.0419921875,0.005615234375,0.32057416267942584,-0.18978856246606743,1.206038324420675
5,0.013916015625,0.04736328125,0.002923583984375002,0.09546508789062491,0.0302734375,-0.01708984375,0.081298828125,1,83,64,0.0,83.0,-0.00830078125,94.0,0.03369140625,0.00634765625,0.062744140625,0.0216,0.031005859375,-0.006591796875,0.06885986328124982,0.002685546875,1.1129032258064515,-5.0,7.889880952380938
6,-0.007568359375,0.049072265625,0.001947021484375002,0.098388671875,0.028076171875,-0.019049072265624998,0.077392578125,1,86,64,7.0,86.0,0.010498046875,97.0,0.00244140625,-0.02587890625,0.029541015625,0.8789,-0.022705078125,-0.065435791015625,0.0166015625,0.025146484375,0.08695652173913043,-4.0,3.7783333333333253
7,0.0228271484375,0.04541015625,-0.006842041015624998,0.09814453125,0.029052734375,-0.026129150390624998,0.0830078125,1,66,64,4.0,66.0,0.013671875,52.0,0.009033203125,-0.007330322265624998,0.027099609375,0.3299,0.01513671875,-0.02099609375,0.0537109375,-0.006103515625,0.31092436974789917,-2.500735294117647,3.272727272727273
8,0.032958984375,0.023193359375,-0.02880859375,0.07568969726562491,0.020751953125,-0.028570556640624998,0.07153930664062491,1,73,64,6.0,73.0,-0.0155029296875,77.0,-0.000244140625,-0.03466796875,0.03515625,1.0,-0.008544921875,-0.042724609375,0.02294921875,0.00830078125,-0.011764705882352941,-5.693478260869565,5.841222222222204
9,-0.0047607421875,0.045654296875,-0.001953125,0.09619140625,0.0263671875,-0.021978759765624998,0.076904296875,2,89,64,4.0,82.0,0.00634765625,76.0,0.017333984375,0.000732421875,0.0361328125,0.0574,0.0,-0.037603759765624994,0.034912109375,0.017333984375,0.6574074074074074,-4.545707070707071,6.416666666666667
10,0.0037841796875,0.047607421875,0.00927734375,0.086669921875,0.02880859375,-0.009283447265624998,0.06738891601562491,2,110,64,4.0,108.0,0.0147705078125,108.0,0.017333984375,-0.0087890625,0.04297485351562491,0.1937,0.01611328125,-0.021240234375,0.050537109375,0.001220703125,0.6016949152542372,-1.9472972972972968,4.3001923076923045
11,0.002685546875,0.0302734375,-0.025634765625,0.083740234375,0.012939453125,-0.044189453125,0.067626953125,2,103,64,0.0,103.0,0.02490234375,100.0,0.03369140625,0.00927734375,0.06006469726562491,0.0111,0.03955078125,-0.003912353515624998,0.08374633789062491,-0.005859375,2.6037735849056602,-14.802222222222222,18.0
12,-0.0009765625,0.01416015625,-0.021978759765624998,0.051025390625,-0.001953125,-0.040045166015624994,0.0361328125,1,69,64,1.0,69.0,0.009521484375,63.0,0.005859375,-0.00634765625,0.019055175781249822,0.4354,-0.001708984375,-0.027587890625,0.024658203125,0.007568359375,-3.0,-6.0,7.1133333333333
13,0.02734375,0.021240234375,-0.024169921875,0.06592407226562491,0.0029296875,-0.040533447265624994,0.047119140625,1,96,64,0.0,96.0,0.0218505859375,83.0,0.0126953125,-0.011236572265624998,0.03857421875,0.3274,0.019775390625,-0.010498046875,0.052001953125,-0.007080078125,4.333333333333333,-8.837499999999999,10.20124999999998
14,0.019287109375,0.068603515625,0.026611328125,0.111572265625,0.062255859375,0.01708984375,0.10767822265624982,2,98,64,1.0,98.0,0.022705078125,102.0,0.03662109375,0.012451171875,0.06152954101562491,0.005,0.006591796875,-0.0234375,0.035888671875,0.030029296875,0.5882352941176471,0.24997866894197954,1.4858310439560423
15,0.15234375,0.07568359375,0.016845703125,0.1377014160156249,0.064453125,0.006829833984375002,0.1276916503906249,2,81,64,5.0,81.0,0.0889892578125,74.0,0.025146484375,-0.003662109375,0.0556640625,0.1001,0.004638671875,-0.031256103515624994,0.04052734375,0.0205078125,0.39015151515151514,-0.15742047877932297,1.4087560386473421
16,0.076416015625,0.104736328125,0.0458984375,0.167236328125,0.08984375,0.031976318359375006,0.1503967285156249,2,112,64,7.0,112.0,0.02783203125,102.0,0.019287109375,-0.015380859375,0.053955078125,0.2893,-0.02734375,-0.065924072265625,0.010498046875,0.046630859375,0.21467391304347827,-0.3478447204968944,0.4808511277833885
17,0.16552734375,0.15087890625,0.08203125,0.224365234375,0.136474609375,0.068603515625,0.20973510742187473,2,113,64,5.0,87.0,0.0693359375,76.0,0.032958984375,0.009033203125,0.0576171875,0.0057,-0.036376953125,-0.08349609375,0.009521484375,0.0693359375,0.24150268336314848,0.07861135839966486,0.4515474216118165
18,0.36669921875,0.34033203125,0.260980224609375,0.423828125,0.322998046875,0.245361328125,0.4072326660156249,2,99,64,1.0,99.0,0.2763671875,104.0,0.23095703125,0.173822021484375,0.2949279785156249,0.0,0.157958984375,0.091064453125,0.2275390625,0.072998046875,0.7150415721844293,0.5936110887069673,0.8498246402877697
19,0.658447265625,0.508056640625,0.402337646484375,0.6171936035156249,0.498779296875,0.388909912109375,0.6125549316406249,1,92,64,2.0,92.0,0.43115234375,80.0,0.288818359375,0.19675292968750002,0.38720703125,0.0,0.16162109375,0.06396484375,0.2629455566406249,0.127197265625,0.5790504160548213,0.4596681700931879,0.6849414450204412
20,0.59228515625,0.493896484375,0.3955078125,0.6013244628906249,0.47998046875,0.381097412109375,0.5869201660156249,1,64,64,5.0,64.0,0.18505859375,74.0,0.15478515625,0.101068115234375,0.215087890625,0.0,-0.04248046875,-0.122076416015625,0.03466796875,0.197265625,0.3224821973550356,0.2238949012487759,0.42299081002303296
21,0.59130859375,0.46875,0.373779296875,0.5678771972656249,0.456787109375,0.363037109375,0.5554382324218747,1,93,64,1.0,93.0,0.4150390625,82.0,0.258544921875,0.1875,0.3364318847656249,0.0,0.123046875,0.044677734375,0.2067932128906249,0.135498046875,0.5660074826296099,0.4640305327838756,0.6669998110033293
22,0.3681640625,0.39404296875,0.306396484375,0.486328125,0.38671875,0.297357177734375,0.48095703125,1,96,64,1.0,96.0,0.210693359375,94.0,0.199951171875,0.1396484375,0.2688049316406249,0.0,0.05078125,-0.032476806640624994,0.1369689941406249,0.149169921875,0.5170454545454546,0.389839730361589,0.6534730054564897
23,0.28173828125,0.3056640625,0.238031005859375,0.3774475097656249,0.2919921875,0.222650146484375,0.365234375,1,64,64,2.0,64.0,0.06884765625,63.0,0.093505859375,0.054437255859375006,0.1374572753906249,0.0,-0.022216796875,-0.081787109375,0.03491821289062491,0.11572265625,0.3202341137123746,0.20585440698018337,0.44196288016551477
24,0.0975341796875,0.270751953125,0.199462890625,0.3442443847656249,0.2646484375,0.191644287109375,0.340576171875,1,70,64,7.0,70.0,0.038330078125,62.0,0.08154296875,0.045159912109375006,0.121337890625,0.0,-0.038818359375,-0.102783203125,0.021728515625,0.120361328125,0.3081180811808118,0.18077484166216112,0.4500495339904583
25,0.225341796875,0.310791015625,0.207275390625,0.4238342285156249,0.303955078125,0.200189208984375,0.4172485351562498,1,73,64,3.0,73.0,0.09912109375,72.0,0.1015625,0.0517578125,0.158935546875,0.0003,-0.0400390625,-0.110113525390625,0.03076171875,0.1416015625,0.334136546184739,0.19878724600998382,0.4751719441940667
26,0.208251953125,0.184326171875,0.101556396484375,0.270263671875,0.178466796875,0.09619140625,0.2646484375,1,76,64,3.0,76.0,0.0615234375,63.0,0.04248046875,0.01611328125,0.07080078125,0.0014,-0.005615234375,-0.06640625,0.050048828125,0.048095703125,0.23803009575923392,0.1031483945550897,0.44193211740611454
27,0.156982421875,0.2099609375,0.112786865234375,0.3129943847656249,0.199462890625,0.1005859375,0.3027404785156249,1,66,64,7.0,66.0,0.076416015625,69.0,0.05029296875,0.01220703125,0.09033813476562491,0.0118,-0.052001953125,-0.13355712890625,0.02100219726562491,0.102294921875,0.2521419828641371,0.07181549150797736,0.49383528265107196
28,0.216064453125,0.266845703125,0.166497802734375,0.37353515625,0.259033203125,0.157220458984375,0.36669921875,1,76,64,2.0,76.0,0.106689453125,78.0,0.093017578125,0.044915771484375006,0.1464904785156249,0.0001,0.00341796875,-0.058355712890624994,0.066650390625,0.089599609375,0.3590951932139491,0.2078228347343422,0.5408382746143972
29,-0.054931640625,-0.006591796875,-0.096435546875,0.082275390625,-0.01220703125,-0.099859619140625,0.07544555664062491,2,106,64,3.0,92.0,-0.000244140625,86.0,-0.008544921875,-0.031982421875,0.015380859375,0.4974,-0.02001953125,-0.083984375,0.0458984375,0.011474609375,0.7,-3.6207974137931034,3.1355067567567514
30,-0.12347412109375,-0.07421875,-0.167974853515625,0.0185546875,-0.08642578125,-0.179443359375,0.005615234375,1,84,64,4.0,84.0,-0.023681640625,91.0,-0.02587890625,-0.065673828125,0.010986328125,0.1961,0.04345703125,-0.007568359375,0.09082641601562491,-0.0693359375,0.2994350282485876,-0.4348745819397993,1.0972916666666657
31,-0.16796875,-0.06884765625,-0.19973144531249998,0.06445922851562491,-0.067138671875,-0.19849853515625,0.06397094726562491,2,101,64,7.0,101.0,-0.0450439453125,106.0,0.00732421875,-0.051025390625,0.068115234375,0.8166,0.071044921875,0.00830078125,0.132080078125,-0.063720703125,-0.10909090909090909,-4.395454545454545,5.299074074074034
