layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.0086669921875,-0.0775146484375,-0.23364715576171874,0.06335601806640623,-0.061981201171875,-0.21472244262695311,0.07437210083007811,1,78,64,4.0,78.0,0.0230712890625,64.0,-0.008026123046875,-0.052126312255859376,0.027436828613281228,0.7434,0.0770263671875,-0.051335906982421874,0.22326889038085934,-0.085052490234375,0.1294928606597735,-3.026787306582743,2.505626370614029
1,-0.0135498046875,-0.077392578125,-0.23462066650390626,0.05572662353515623,-0.058563232421875,-0.21317062377929688,0.071075439453125,1,73,64,0.0,73.0,-0.0146484375,76.0,-0.015716552734375,-0.05221633911132813,0.019745635986328114,0.3988,0.029052734375,-0.041752624511718746,0.09924926757812491,-0.044769287109375,0.2683689421573736,-3.0090543972824735,3.332853549192177
2,0.0059814453125,0.017913818359375,-0.01531982421875,0.052826690673828114,0.024658203125,-0.010498809814453124,0.062287139892578114,0,61,64,,,,,,,,,,,,,,,
3,0.07516765594482422,-0.09356689453125,-0.24270706176757811,0.028932189941406228,-0.091064453125,-0.23932418823242188,0.03189697265624991,0,60,64,,,,,,,,,,,,,,,
4,0.0279541015625,0.040130615234375,-0.019317626953125,0.103485107421875,0.03955078125,-0.019110107421874998,0.10214538574218746,1,84,64,7.0,84.0,-0.0186767578125,90.0,-0.00311279296875,-0.029238891601562497,0.022708129882812456,0.8238,-0.014801025390625,-0.048555755615234376,0.017640686035156228,0.011688232421875,-0.0787037037037037,-3.3098551856621135,2.9921253071252907
5,0.06146240234375,-0.023912429809570312,-0.1602102756500244,0.09925355911254882,0.00214385986328125,-0.1323394775390625,0.12202434539794911,1,74,64,0.0,74.0,0.0321044921875,68.0,0.03192138671875,0.0023780822753906258,0.06649932861328123,0.0438,0.028717041015625,-0.008636474609375,0.06787338256835934,0.003204345703125,14.88967971530249,-10.068104925053532,7.797660818713449
6,0.04833984375,0.030609130859375,-0.028534698486328124,0.10315017700195311,0.037933349609375,-0.023712921142578124,0.1120353698730468,1,78,64,7.0,78.0,0.00732421875,79.0,-0.000274658203125,-0.036651611328125,0.03772201538085934,0.9928,-0.02923583984375,-0.08215484619140626,0.01679229736328114,0.028961181640625,-0.007240547063555913,-4.378735339112697,3.7306394456037966
7,0.0396728515625,0.06219482421875,0.008510589599609377,0.11914367675781246,0.059295654296875,0.0064041137695312516,0.1132865905761718,0,51,64,,,,,,,,,,,,,,,
8,0.0206298828125,0.05303955078125,0.003956604003906254,0.10578002929687491,0.056365966796875,0.004113769531250002,0.11132965087890623,1,77,64,4.0,77.0,0.00439453125,68.0,-0.015869140625,-0.0378448486328125,0.0035430908203124556,0.1369,-0.030426025390625,-0.06848220825195313,0.0032989501953124556,0.014556884765625,-0.2815376285868977,-1.8860141093474425,0.13679753656658902
9,0.0308837890625,0.02886962890625,-0.03326568603515625,0.10388336181640623,0.021453857421875,-0.041905212402343746,0.09582748413085934,2,78,64,0.0,72.0,0.00830078125,68.0,0.044281005859375,0.020537567138671876,0.07129211425781246,0.0005,0.064239501953125,0.03283538818359375,0.09890975952148434,-0.01995849609375,2.0640113798008537,-17.123201314424076,16.57736742424228
10,0.0303955078125,0.03369140625,-0.009771728515624998,0.07849578857421868,0.019683837890625,-0.02636871337890625,0.06411819458007811,2,79,64,4.0,67.0,0.0296630859375,62.0,0.003204345703125,-0.0133056640625,0.019898986816406228,0.7162,-0.01190185546875,-0.037841796875,0.014100646972656228,0.015106201171875,0.16279069767441862,-2.789551656920078,3.6843779904306193
11,-0.0374755859375,0.01241302490234375,-0.031105613708496092,0.05732250213623043,0.028839111328125,-0.017458343505859373,0.07657165527343746,1,100,64,6.0,100.0,-0.031005859375,104.0,0.011199951171875,-0.021486663818359373,0.04412841796875,0.5276,0.01312255859375,-0.01800689697265625,0.04602203369140623,-0.001922607421875,0.38835978835978835,-2.6787640056022406,3.5210784313725387
12,-0.004638671875,-0.016603469848632812,-0.06287083625793458,0.031837081909179554,-0.0068817138671875,-0.05159263610839843,0.044252395629882785,0,52,64,,,,,,,,,,,,,,,
