layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.02008056640625,0.085601806640625,0.018795776367187503,0.16122512817382811,0.0858917236328125,0.01960411071777344,0.16261405944824217,1,142,128,4.0,142.0,0.028900146484375,151.0,-0.0055389404296875,-0.033798599243164064,0.021623611450195285,0.7144,-0.0372314453125,-0.09250335693359375,0.012866210937499956,0.0316925048828125,-0.06448747557292592,-0.8041237425835875,0.3043014598032197
1,0.03173828125,0.068023681640625,0.001422882080078129,0.1395629882812499,0.0666046142578125,-0.004381179809570312,0.140567398071289,1,141,128,0.0,141.0,-0.01092529296875,138.0,-0.0126800537109375,-0.032913589477539064,0.005569839477539057,0.1948,-0.02001953125,-0.07504730224609375,0.03311614990234368,0.0073394775390625,-0.19037800687285222,-2.1703651046405823,0.8753367125068191
2,-0.0089111328125,-0.0013275146484375,-0.022888946533203124,0.018677520751953114,-0.00616455078125,-0.026978302001953124,0.013506317138671842,0,111,128,,,,,,,,,,,,,,,
3,0.041735172271728516,0.0611724853515625,0.01125640869140625,0.11192359924316406,0.0549468994140625,0.004424667358398438,0.10876541137695311,0,113,128,,,,,,,,,,,,,,,
4,0.027923583984375,0.0283966064453125,-0.004336547851562499,0.06207313537597656,0.013427734375,-0.018830108642578124,0.04529037475585934,1,174,128,7.0,174.0,-0.01513671875,171.0,0.002410888671875,-0.013886260986328124,0.01824951171875,0.7739,-0.0044708251953125,-0.03009033203125,0.024277114868164057,0.0068817138671875,0.17954545454545454,-3.8899157134256463,5.115373617994654
5,0.0833587646484375,0.041609764099121094,-0.00680081844329834,0.09117090702056883,0.033596038818359375,-0.018664264678955076,0.08690710067749022,1,147,128,0.0,147.0,0.030548095703125,137.0,0.005462646484375,-0.014925003051757812,0.02426376342773434,0.5815,0.0178070068359375,-0.004425430297851562,0.04097595214843741,-0.0123443603515625,0.16259793346201884,-2.0260985909338847,2.35790058893966
6,0.01947021484375,0.0173492431640625,-0.013358306884765622,0.04899940490722651,0.0132293701171875,-0.0211181640625,0.04606857299804684,1,150,128,7.0,150.0,0.0089111328125,166.0,0.0133514404296875,-0.008058166503906249,0.03485260009765623,0.2216,0.019439697265625,-0.001953125,0.04168853759765623,-0.0060882568359375,1.0092272202998847,-5.341498257839722,6.1573091133004905
7,0.033416748046875,0.036651611328125,0.005337142944335939,0.06940002441406246,0.0255584716796875,-0.008379745483398437,0.06063880920410156,0,94,128,,,,,,,,,,,,,,,
8,0.0130767822265625,0.05126953125,0.019957733154296876,0.082183837890625,0.0383148193359375,0.004500961303710938,0.07028274536132811,1,142,128,4.0,142.0,0.000152587890625,123.0,0.003662109375,-0.009706115722656249,0.017823791503906228,0.6122,-0.0242462158203125,-0.04669456481933593,-0.002410125732421886,0.0279083251953125,0.0955794504181601,-0.6538649529326575,0.5796036014519349
9,0.012007713317871094,0.017877578735351562,-0.016431140899658202,0.05105032920837402,0.004130005836486816,-0.03105676472187042,0.03717193603515623,2,152,128,0.0,147.0,0.019622802734375,140.0,0.0115814208984375,-0.0052947998046875,0.0288848876953125,0.1883,0.0211334228515625,-0.005219268798828124,0.04719581604003906,-0.009552001953125,2.804214172319238,-10.32705762654369,8.533265953700985
