layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.1109619140625,0.04345703125,-0.0341827392578125,0.12646484375,0.060302734375,-0.016241455078124998,0.1431884765625,1,70,64,4.0,70.0,0.0286865234375,72.0,0.004547119140625,-0.029663848876953124,0.03665313720703123,0.7924,-0.012542724609375,-0.08423309326171875,0.0528564453125,0.01708984375,0.07540485829959515,-1.4558479280377297,1.7390077414392688
1,0.093017578125,0.0301513671875,-0.0379638671875,0.10205688476562491,0.048828125,-0.017947387695312497,0.120849609375,1,78,64,0.0,78.0,-0.026947021484375,73.0,-0.00927734375,-0.0386962890625,0.021240234375,0.5719,-0.0191650390625,-0.0703125,0.0308837890625,0.0098876953125,-0.19,-4.254888059701492,3.4147022022021982
2,0.012420654296875,0.0196533203125,-0.01416015625,0.053713989257812456,0.025634765625,-0.0089111328125,0.06274719238281246,0,52,64,,,,,,,,,,,,,,,
3,0.01925945281982422,0.05712890625,-0.028933715820312497,0.16529235839843737,0.067626953125,-0.017398071289062497,0.17376861572265623,0,46,64,,,,,,,,,,,,,,,
4,0.034149169921875,0.06787109375,0.009033203125,0.1294006347656249,0.065673828125,0.0081787109375,0.1253662109375,1,82,64,7.0,82.0,0.00299072265625,85.0,-0.0050048828125,-0.0289306640625,0.01904296875,0.6946,-0.04742431640625,-0.08013916015625,-0.01495361328125,0.04241943359375,-0.0762081784386617,-1.2124824090482642,0.3359154351395728
5,0.074676513671875,0.04919242858886719,-0.013555479049682616,0.11114616394042967,0.0580291748046875,-0.002077865600585937,0.1191253662109375,1,75,64,0.0,75.0,0.02069091796875,75.0,0.0322265625,-0.0120849609375,0.07568359375,0.1561,0.005615234375,-0.0386962890625,0.048709106445312456,0.026611328125,0.5553510386536945,-0.6343385840746693,2.0410256648602414
6,0.043914794921875,0.059326171875,-0.0072021484375,0.13000793457031246,0.0537109375,-0.01513671875,0.1252502441406249,1,88,64,7.0,88.0,0.004852294921875,80.0,0.026611328125,-0.003179931640624998,0.05859375,0.1015,-0.01171875,-0.06348571777343749,0.032473754882812456,0.038330078125,0.4954545454545455,-1.6778196373910996,2.706051386071668
7,0.044036865234375,0.045257568359375,-0.006843566894531247,0.09707870483398434,0.043701171875,-0.006106567382812499,0.09217224121093737,0,45,64,,,,,,,,,,,,,,,
8,0.03643798828125,0.0587158203125,0.0120849609375,0.10864562988281246,0.05975341796875,0.010009765625,0.11090545654296868,2,69,64,6.0,64.0,0.0201416015625,60.0,0.0338134765625,-0.001708984375,0.07190246582031246,0.074,-0.0050048828125,-0.0350341796875,0.024905395507812456,0.038818359375,0.5658835546475995,-0.02059852356615554,1.2346560846560832
9,0.03668212890625,0.036376953125,-0.008544921875,0.08508911132812491,0.040374755859375,-0.004425811767578124,0.08844146728515623,2,77,64,0.0,77.0,0.021087646484375,74.0,0.03125,0.008056640625,0.05712890625,0.0129,0.0150146484375,-0.014163208007812499,0.043704223632812456,0.0162353515625,0.7739984882842026,-1.5653333694049532,4.385313901345282
10,-0.00347900390625,0.05291748046875,0.01031494140625,0.09796905517578114,0.0419921875,-0.0007385253906249979,0.08618469238281246,2,86,64,7.0,86.0,0.029205322265625,83.0,0.010498046875,-0.00439453125,0.0269775390625,0.2029,-0.0018310546875,-0.029296875,0.0255126953125,0.0123291015625,0.25,-0.5287111659950604,1.3276108374384235
11,-0.036865234375,0.02059173583984375,-0.020097923278808594,0.06267089843749996,0.046966552734375,0.0039047241210937505,0.09140396118164057,2,107,64,0.0,64.0,-0.014495849609375,60.0,0.0008544921875,-0.013671875,0.017333984375,0.9268,-0.014892578125,-0.043212890625,0.0140380859375,0.0157470703125,0.018193632228719947,-0.8016292183862095,0.4019703134418314
12,0.003570556640625,-0.007844924926757812,-0.045296335220336915,0.029297494888305655,0.0123443603515625,-0.020876312255859373,0.0478694915771484,0,44,64,,,,,,,,,,,,,,,
13,0.04595947265625,0.0355224609375,-0.001589965820312499,0.07409973144531246,0.03814697265625,-0.001040649414062499,0.07739410400390623,0,54,64,,,,,,,,,,,,,,,
