layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.002223557692307692,0.1163429054054054,-0.02987401463963963,0.2677400056306306,0.1245777027027027,-0.027663992117117113,0.28090336430180174,1,71,65,4.0,71.0,-0.04140625,58.0,-0.028434684684684686,-0.0822142454954955,0.020833333333333332,0.3114,-0.12915259009009009,-0.27366448479729727,-0.0022346565315317876,0.1007179054054054,-0.22824858757062147,-1.8627354054113172,1.1666211065955667
1,-0.015564903846153846,0.12591497747747749,-0.036544552364864855,0.2967412725225224,0.12119932432432433,-0.03829532657657657,0.2920221002252252,0,61,65,,,,,,,,,,,,,,,
2,-0.02040264423076923,0.03596565315315315,-0.02450028153153153,0.09508727477477477,0.08699324324324324,-0.01752533783783784,0.24029420045045036,0,52,65,,,,,,,,,,,,,,,
3,-0.012560096153846154,-0.016258445945945946,-0.10860254786036036,0.07678948479729727,-0.018721846846846846,-0.1119140625,0.07630384290540528,0,45,65,,,,,,,,,,,,,,,
4,-0.023197115384615385,0.008234797297297296,-0.06447072072072071,0.08692637950450445,0.03195382882882883,-0.039275408220720724,0.10733565596846845,1,92,65,7.0,92.0,-0.032872596153846155,73.0,-0.012000281531531532,-0.06369826858108109,0.036004363738738686,0.6566,-0.09375,-0.18634572072072073,-0.017770798141891905,0.08174971846846847,-0.3755506607929516,-7.0067811934900535,6.879230891047293
5,-0.036778846153846155,0.05074605855855856,-0.021399915540540538,0.12472198761261256,0.057713963963963964,-0.01683206644144144,0.1330957911036036,1,70,65,0.0,70.0,-0.005528846153846154,65.0,0.006651182432432432,-0.03244826858108108,0.04501073338963963,0.7577,-0.06591356981981981,-0.13052857545045046,-0.008723958333333384,0.07256475225225226,0.11524390243902438,-1.837017899525316,1.9026562499999986
6,-0.007917668269230769,0.07242398648648649,-0.00563063063063063,0.15519425675675674,0.05532094594594594,-0.02387387387387387,0.1417581644144143,1,80,65,7.0,80.0,-0.0021634615384615386,70.0,0.05116835585585586,0.009007249436936938,0.10149211711711711,0.0234,-0.023085585585585586,-0.13514041385135137,0.060043637387387286,0.07425394144144144,0.9249363867684479,-3.634028925619834,5.381160133515909
7,-0.04056490384615385,0.012035472972972973,-0.059966216216216214,0.08002709740990989,0.015343468468468468,-0.056448831644144146,0.08368876689189184,0,53,65,,,,,,,,,,,,,,,
8,-0.024939903846153848,0.02766047297297297,-0.03801203547297297,0.08960092905405401,0.029455236486486486,-0.03276587134009008,0.08970298423423423,1,69,65,4.0,69.0,-0.035006009615384616,61.0,0.05419481981981982,0.009572072072072071,0.11571649774774764,0.0178,-0.01319899000563063,-0.05278985650689753,0.032054674303209435,0.06739380982545046,1.839904420549582,-12.32386440677966,14.365835777126067
9,-0.05308743990384615,0.009079391891891891,-0.08157552083333333,0.09579286317567565,0.0016539977477477478,-0.09089949324324324,0.09410455377252248,1,70,65,4.0,70.0,-0.01748798076923077,72.0,0.06126829954954955,-0.027522346565315315,0.20805884009008999,0.5813,0.08836570945945946,-0.020455905123873873,0.21977934966216203,-0.02709740990990991,37.04255319148936,-16.602872684768926,21.7604003139717
10,-0.004026442307692307,0.03878096846846847,-0.03013091216216216,0.10473852759008996,0.03656390765765766,-0.03185001407657658,0.10402766047297295,1,77,65,7.0,77.0,-0.005168269230769231,73.0,-0.004187781531531531,-0.05852424690315315,0.054335585585585586,0.9078,-0.028012387387387386,-0.09586500563063063,0.027597128378378275,0.023824605855855857,-0.11453320500481232,-5.918039215686275,7.39537659232384
11,-0.022896634615384614,0.00731981981981982,-0.0760838963963964,0.09332946227477475,0.004821227477477478,-0.0784082911036036,0.09530194256756752,1,104,65,6.0,104.0,-0.037349759615384615,82.0,-0.02656953828828829,-0.07932414836711713,0.020174373592342202,0.3391,-0.04025900900900901,-0.10332207207207207,0.02027027027027027,0.013689470720720721,-5.510948905109489,-9.019715653561583,9.754113732607335
12,-0.05349308894230769,-0.0007742117117117117,-0.08192567567567567,0.07348500844594587,0.008481137387387387,-0.07619035050675675,0.08830148507882873,0,44,65,,,,,,,,,,,,,,,
13,-0.02459435096153846,0.05609515765765766,-0.012957488738738736,0.13788006756756757,0.0433910472972973,-0.029105081644144142,0.12978779560810808,0,54,65,,,,,,,,,,,,,,,
14,-0.017157451923076925,0.05243524774774775,-0.016471354166666664,0.11662971565315308,0.043637387387387386,-0.039080095720720714,0.115430567286036,2,79,65,1.0,68.0,-0.0030048076923076925,64.0,0.022416948198198196,-0.027627041103603603,0.07432608389639637,0.4345,-0.01097972972972973,-0.05518721846846846,0.03265765765765766,0.03339667792792793,0.5137096774193548,-2.924208882720333,3.8107758620689594
15,0.026021634615384617,0.10870636261261261,0.04367169904279279,0.17961799690315314,0.09610782657657657,0.03261894707207207,0.1657191371058558,0,54,65,,,,,,,,,,,,,,,
16,0.06995192307692308,0.03487471846846847,-0.06123486768018018,0.12408678209459457,0.032129786036036036,-0.06549831081081081,0.12117293074324312,1,78,65,7.0,78.0,0.015024038461538462,68.0,-0.007126266891891892,-0.048705834740990994,0.03369800464527024,0.7426,-0.06276393581081081,-0.1193557326858108,-0.011347040399774806,0.05563766891891892,-0.2217962760131435,-4.614339439578437,4.693749999999979
17,0.11409254807692308,0.08189048423423423,0.017453195382882883,0.1446095509572071,0.08108108108108109,0.01488597972972973,0.1474547789977477,1,102,65,1.0,102.0,0.03662860576923077,98.0,0.07122747747747747,0.017375774211711714,0.13109075872747744,0.0095,0.053385416666666664,-0.012247501407657657,0.12891592764639626,0.01784206081081081,0.8784722222222221,0.40823774179037337,1.8971859694226707
18,0.22506009615384615,0.24809966216216217,0.1442092483108108,0.3567778716216215,0.25506756756756754,0.1475146044481982,0.3688212626689187,2,79,65,1.0,79.0,0.11959134615384616,67.0,0.19003378378378377,0.11936936936936937,0.26926379504504483,0.0,0.11799690315315316,0.03775337837837838,0.20277308558558557,0.07203688063063063,0.7450331125827815,0.5890722369018969,0.9781008717310085
19,0.3588040865384615,0.5721776463963963,0.431225365990991,0.7164273648648649,0.5268862612612613,0.3861486486486486,0.6709292300112611,2,85,65,2.0,66.0,0.19555288461538461,60.0,0.27153716216216217,0.1768018018018018,0.37809684684684686,0.0,0.018158783783783782,-0.10244756475225225,0.14322916666666666,0.2533783783783784,0.5153620090836227,0.3626176070656966,0.6925084393212708
20,0.299609375,0.4194467905405405,0.3054265202702703,0.5360641891891887,0.4126196509009009,0.3008472339527027,0.5303024704391891,1,67,65,0.0,67.0,0.04669471153846154,52.0,0.02825872747747748,-0.0016891891891891893,0.0614794481981982,0.0858,-0.20052083333333334,-0.2918496621621622,-0.11211641328828834,0.2287795608108108,0.0684861407249467,-0.004398590970949663,0.14826336984814728
21,0.384375,0.5963541666666666,0.4555039414414414,0.7509906390765765,0.5774211711711712,0.4423907305743243,0.7212890624999999,0,64,65,,,,,,,,,,,,,,,
22,0.1946514423076923,0.36169763513513514,0.26871480855855856,0.459890554617117,0.3738738738738739,0.2678024704391892,0.49085638372747736,1,95,65,1.0,95.0,0.06652644230769231,84.0,0.18130630630630631,0.11321086711711711,0.25564294763513495,0.0,0.07150900900900901,-0.005067567567567568,0.14865920608108094,0.1097972972972973,0.48493975903614456,0.36052941892727125,0.6086128703816188
23,0.19621394230769232,0.24655123873873874,0.17229729729729729,0.328834107545045,0.25371269707207206,0.17991536458333335,0.3362018757038288,0,57,65,,,,,,,,,,,,,,,
