layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.021871596574783325,0.026588857173919678,-0.0300760880112648,0.08404705524444576,0.0064470767974853516,-0.047904157638549806,0.06341940760612484,2,255,128,6,255,-0.01077413558959961,255,0.009701251983642578,-0.024641036987304688,0.04216103553771973,0.575,0.007368465264638267,-0.026422218978405,0.03926346351703005,0.0023327867190043134,1.504752043193669,-6.7712835686932085,7.77468618092534
1,0.04212215542793274,0.07727336883544922,0.025007867813110353,0.13071011304855346,0.04944777488708496,-0.003824365139007568,0.10331352353096006,3,165,128,29,133,-0.005091667175292969,131,0.009650593623518944,-0.00829448075965047,0.027850693091750128,0.3036,0.005247568711638454,-0.017083334798614187,0.028405017778277374,0.004403024911880491,0.1951673992521661,-0.7821780724787756,1.462239346484717
2,0.03406670689582825,0.06546789407730103,0.005252149701118471,0.12935354858636855,0.049013882875442505,-0.00850362330675125,0.10812674686312675,3,142,128,20,135,-0.006443500518798828,136,0.009110212326049805,-0.0156841516494751,0.035067439079284654,0.4894,0.0023252566655476894,-0.025738497575124107,0.029976364970207208,0.006784955660502115,0.18587003909078803,-1.0506529537305889,1.6190043448186864
3,-0.03872010111808777,0.07280600070953369,0.01084742546081543,0.1408454447984695,0.054463744163513184,-0.007108190655708312,0.12067507207393646,3,188,128,40,183,-0.00887306034564972,177,-0.011962890625,-0.03999724388122559,0.016777729988098136,0.4232,-0.024907082319259644,-0.05343006054560343,0.0034471444785594864,0.012944191694259644,-0.21964870041039672,-3.2605396122196635,1.4199670891258358
4,-0.036371201276779175,0.11250827461481094,0.04994748961180449,0.17749018818140022,0.10784554481506348,0.043766719102859494,0.17538108229637145,4,234,128,58,143,-0.003709554672241211,153,-0.001161813735961914,-0.023804444074630737,0.02110878825187683,0.9215,-0.008157531420389812,-0.03272423644860585,0.016303958495457963,0.006995717684427899,-0.01077294141314993,-0.3192896465803953,0.21006580734178004
5,-0.027927428483963013,0.025105953216552734,-0.04418427944183349,0.09279992580413815,-0.005631446838378906,-0.07499101161956787,0.06071401834487915,5,243,128,23,134,0.02311563491821289,118,-0.0034181028604507446,-0.030642855167388915,0.021962827071547505,0.7964,0.00124880174795787,-0.02761906000475088,0.031156853089729934,-0.004666904608408613,0.6069670829805249,-4.117745152590596,5.170568277414829
6,0.05873563885688782,0.042627811431884766,-0.024504077434539792,0.11026301383972167,0.02738499641418457,-0.03804989457130432,0.09202143549919124,5,208,128,58,208,0.003607034683227539,196,-0.0005469322204589844,-0.02741224765777588,0.027155506610870354,0.9681,0.014394621054331466,-0.016380532582600915,0.045172061026096305,-0.014941553274790445,-0.01997196611556577,-3.7817944384334017,4.24639628812974
7,0.030341416597366333,0.024303913116455078,-0.04663487672805786,0.09264297485351561,-0.01056375727057457,-0.07968024844303727,0.057548022177070376,6,249,128,13,185,0.005340404808521271,181,-0.002825021743774414,-0.025195270776748657,0.020862430334091183,0.8171,-0.009552637736002607,-0.039087341229120894,0.019815784692764276,0.00672761599222819,0.26742584777515993,-4.613256513366965,4.3448753628332675
8,0.009755134582519531,0.08130678534507751,0.0010914295911788941,0.16613731011748312,0.06818795204162598,-0.014854997396469114,0.15298988223075857,5,235,128,15,232,0.03789842128753662,232,0.013967767357826233,-0.029690947756171225,0.057709452137351,0.5342,0.005299424131711321,-0.03846737978359063,0.04944401023288566,0.008668343226114907,0.20484215964279845,-1.7718204648312912,1.7747115235181123
9,0.05310419201850891,0.053778648376464844,-0.0308148592710495,0.14186041355133044,0.0557023286819458,-0.030872812867164607,0.14660435020923607,7,180,128,61,146,0.02057778835296631,147,0.014421939849853516,-0.016416704654693602,0.046946227550506585,0.3846,0.008504509925842283,-0.02747139732042948,0.04583031137784321,0.005917429924011232,0.25891089638641884,-1.756495712461007,2.661623958465331
