layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.009770892560482025,0.007304668426513672,-0.0444521427154541,0.060237836837768496,-0.012433499097824097,-0.06146933510899544,0.038662689924240025,1,211,128,6,211,-0.005162239074707031,224,-0.005450457334518433,-0.02511620447039604,0.015822475403547268,0.5964,0.007053603728612261,-0.014364652335643768,0.028071705500284802,-0.012504061063130699,0.43836874009765125,-5.54536189450792,5.2127883804593385
1,0.04485645145177841,-0.01370382308959961,-0.06482173204421997,0.03701050281524658,-0.02014625072479248,-0.07214741259813309,0.028954500705003727,2,153,128,12,153,-0.0004115104675292969,166,-0.005682915449142456,-0.02348995879292488,0.012500005960464475,0.5449,-0.0009344667196273821,-0.023976086576779684,0.021563143158952365,-0.004748448729515074,0.28208303007710106,-3.695468832117464,3.957178179307689
2,0.04081561416387558,0.04242372512817383,-0.022146332263946533,0.10602695941925039,0.026664048433303833,-0.0355414517223835,0.08940410837531082,2,141,128,20,141,0.004311084747314453,147,0.010303020477294922,-0.028124010562896727,0.048186516761779714,0.612,0.011397272348403936,-0.02710565850138664,0.048980837066968284,-0.0010942518711090092,0.38640120621841806,-4.899199955238892,6.0867124217352515
3,-0.023462988436222076,-0.07109761238098145,-0.14671292304992675,0.003945809602737407,-0.10336408019065857,-0.17953941375017166,-0.02960141971707355,3,173,128,40,173,0.017224907875061035,182,-0.014367431402206421,-0.05308755114674568,0.02384277507662772,0.4749,-0.011627500255902614,-0.05235202262798946,0.027586623405416778,-0.0027399311463038086,0.1389982997546653,-0.42172410319636694,0.5831973942340694
4,0.12975385040044785,-0.04207754135131836,-0.12417819499969482,0.0394536018371582,-0.06886288523674011,-0.14984646439552307,0.014186573028564312,5,185,128,1,141,0.012468338012695312,130,-0.0030255019664764404,-0.028124434500932695,0.022634876519441544,0.8162,0.025172154108683266,-0.0077378233273824055,0.05806828935941059,-0.028197656075159706,0.043935161242158606,-0.9625761314212843,1.124367716898289
5,0.08493831008672714,-0.004782676696777344,-0.10365890264511109,0.10104396343231198,-0.015567272901535034,-0.11940075755119323,0.0941002257168292,4,234,128,54,163,0.024047374725341797,178,0.03988412022590637,0.00624011754989624,0.07626532614231109,0.023,0.03090786933898926,-0.01026999553044637,0.07235780755678804,0.008976250886917109,-2.5620492733813087,-12.939347379755086,11.56873598772278
6,0.07863166183233261,-0.03784608840942383,-0.13328039646148682,0.05328015089035025,-0.027973808348178864,-0.12200651317834854,0.06298670489341018,4,202,128,63,161,0.022006317973136902,179,0.002136737108230591,-0.03270424082875252,0.03719033002853392,0.9039,0.0308148463567098,-0.00911739269892375,0.0702897012233734,-0.02867810924847921,-0.0763834899287031,-4.515347876262723,3.8763539792749446
7,0.09920289367437363,-0.026099681854248047,-0.12293717861175536,0.06543830633163449,-0.044752925634384155,-0.14023880437016487,0.05059573575854298,6,253,128,54,147,0.007502436637878418,158,-0.0004956722259521484,-0.03906462788581848,0.03897990584373473,0.977,0.02011121312777201,-0.020595655838648485,0.06022456213831893,-0.020606885353724163,0.011075750220256397,-3.496295968050981,3.2268147191701444
8,0.12035014480352402,-0.03129684925079346,-0.14124446213245392,0.07298403084278106,-0.024120569229125977,-0.13277241289615632,0.0800521373748776,4,226,128,15,226,0.06049491465091705,239,0.03667891025543213,-0.02818382680416107,0.09927902221679681,0.2663,0.034786681334177644,-0.03567979149520398,0.10346165063480534,0.0018922289212544722,-1.5206486176595597,-15.70266646506688,11.45687009227897
9,0.09848179668188095,0.024759411811828613,-0.08850444853305817,0.13482205867767333,0.038251519203186035,-0.07247042059898376,0.14736088216304769,7,177,128,54,156,0.03226675093173981,140,0.001057267189025879,-0.03543199300765991,0.03775080442428588,0.9594,0.0010481278101603167,-0.047693434357643144,0.052004910508791524,9.139378865562642e-06,0.027639874469033307,-3.2446263265868693,3.452407711497871
