layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.03902435302734375,0.04094795882701874,-0.022236103564500807,0.10653847455978392,0.055011749267578125,-0.009156715869903562,0.1250503897666931,2,112,64,6,112,-0.006926536560058594,108,0.005019664764404297,-0.01945657730102539,0.030102849006652832,0.7034,-0.005458692709604899,-0.030678586165110273,0.020000204443931552,0.010478357474009194,0.09124713958810068,-1.113000123331811,1.3685944734813618
1,0.05598640441894531,0.03370802104473114,-0.04065922982990742,0.10444372557103633,0.06593036651611328,-0.013216209411621091,0.14439892768859844,2,81,64,29,64,0.038501739501953125,65,-0.0031604766845703125,-0.034172868728637694,0.029292011260986232,0.8492,-0.01853529612223307,-0.049912587801615386,0.012489906946817998,0.015374819437662758,-0.04793658600089682,-1.9014645902855023,1.2349870009006618
2,0.06505966186523438,0.03679804503917694,-0.06096660271286965,0.1297571521252393,0.04211759567260742,-0.05636167526245117,0.1398553371429443,4,76,64,20,67,0.021172523498535156,74,0.012640953063964844,-0.04634313583374023,0.07445569038391102,0.6951,-0.03545554478963216,-0.09424414634704589,0.021969179312388086,0.048096497853597,0.300134726640778,-4.589991704236593,4.455226389932891
3,-0.041179656982421875,-0.05266280472278595,-0.17927120216190814,0.06883916966617107,-0.03442716598510742,-0.16242072582244874,0.08971160650253295,4,95,64,49,92,0.0015058517456054688,84,0.0061855316162109375,-0.04305868148803711,0.05186851024627685,0.806,-0.01005175709724426,-0.06464759757121404,0.04472029830018672,0.016237288713455204,-0.17967007853294367,-3.4669296310713205,4.318019896946431
4,0.001529693603515625,0.15063147246837616,0.015030410885810856,0.2858324110507965,0.15161991119384766,0.01302127838134766,0.29188179969787587,5,99,64,1,73,0.027588844299316406,62,0.01874542236328125,-0.020032596588134766,0.05867471694946288,0.3665,-0.005441665649414064,-0.05038513342539469,0.039814472198486314,0.024187088012695316,0.12363430512312483,-0.3225706624703156,0.5388928515897979
5,0.044696807861328125,0.07756857573986053,-0.03849366120994091,0.18905048072338088,0.11875510215759277,-7.765293121337755e-05,0.2330336868762969,5,118,64,44,69,0.03536343574523926,65,-0.01961803436279297,-0.08114790916442871,0.03645205497741698,0.5301,-0.08165856202443439,-0.15164744357268015,-0.017553471525510227,0.06204052766164143,-0.16519740210200864,-1.8974189690307324,0.658405973409406
6,0.017419815063476562,0.005163714289665222,-0.13508861064910888,0.13647231943905352,0.033908963203430176,-0.10674926042556762,0.1730963855981825,3,102,64,63,89,-0.0057243406772613525,82,0.027925491333007812,-0.020016098022460935,0.07764122486114501,0.2747,0.034099022547403976,-0.024723259607950854,0.09474131464958187,-0.006173531214396158,0.8235430604431726,-5.478990544024112,5.315673270865348
7,0.0061016082763671875,0.18650679290294647,0.05234091468155384,0.3202766288071869,0.22017312049865723,0.08586269021034242,0.35876609086990346,6,127,64,54,81,0.05606245994567871,73,0.006725311279296875,-0.03094143867492676,0.043728065490722653,0.7269,0.0036414464314778634,-0.04457535743713379,0.05219798882802321,0.0030838648478190133,0.030545560075930754,-0.18624507813667832,0.2354845079644404
8,-0.06788253784179688,0.20276503264904022,0.040893695503473285,0.3661039430648088,0.22122958302497864,0.06233246847987175,0.38496866822242715,5,116,64,18,111,0.02066028118133545,108,0.040130406618118286,-0.016761374473571778,0.10031003206968306,0.1777,-0.031872749328613274,-0.09552937348683675,0.03271423975626626,0.07200315594673157,0.18139710824111274,-0.12444619283129624,0.5664000813462253
9,0.06862735748291016,0.10018973052501678,-0.07074786350131035,0.2683704536408186,0.1401219666004181,-0.023613739013671874,0.29860888719558715,8,99,64,43,90,0.014373779296875,83,0.028350144624710083,-0.04283416271209716,0.09911900162696838,0.4492,-0.01314949989318847,-0.083656378587087,0.05736637711524958,0.04149964451789856,0.20232476971690955,-0.9239670685701079,1.4511640284635443
10,0.25240325927734375,0.2805912643671036,0.07907399237155914,0.4939601354300975,0.33350422978401184,0.12775731086730957,0.5544137470424169,7,117,64,54,117,0.14078140258789062,115,0.27535679936408997,0.14737641736865045,0.41003153920173624,0.0001,0.24016324679056805,0.11456188956896463,0.37561802665392535,0.03519355257352194,0.8256470976167828,0.5254595074870823,1.609377800116181
11,0.6159725189208984,0.5454354733228683,0.3094527039676905,0.7850090414285659,0.5810895264148712,0.35085751488804817,0.8193506292998787,8,102,64,55,90,0.37376880645751953,90,0.24051812291145325,0.11261513829231262,0.3869246058166026,0.0,0.19761939843495688,0.06525275607903798,0.34939242800076775,0.042898724476496376,0.4139088935148598,0.23274217227616098,0.6220112821072774
12,1.4153022766113281,1.2855320423841476,1.0289418816566467,1.546525003761053,1.3085923492908478,1.0525320418179036,1.5688027091324328,6,108,64,40,104,0.7070236206054688,103,0.5178437530994415,0.3635989375412464,0.6747482195496558,0.0,0.4125741322835286,0.2502116481463114,0.5816661735375721,0.1052696208159129,0.3957257990848497,0.28871195096752195,0.5129826484267633
13,1.0585153102874756,1.475389763712883,1.057985020801425,1.92573370039463,1.513804942369461,1.090707129240036,1.9635673597455023,3,112,64,56,105,0.5294876098632812,105,0.7895191013813019,0.49182584285736086,1.1073923416435718,0.0,0.6918892065684001,0.3849953850110372,1.0240674535433445,0.09762989481290182,0.5215461247903701,0.3790801218547671,0.6744622414600504
14,0.026876449584960938,-0.21203656494617462,-0.4772754818201065,0.04947723969817152,-0.18604037165641785,-0.449583650380373,0.0781442753970622,7,114,64,3,88,0.07448768615722656,86,0.04083418846130371,-0.029186773300170898,0.11991081833839413,0.3015,0.073143869638443,-0.017300954957803077,0.1674790215988954,-0.03230968117713928,-0.2194910066978199,-2.93832908583973,2.5397622188213935
15,0.34455394744873047,0.25477461516857147,0.001762998104095461,0.4987545061856508,0.2813306152820587,0.028175182640552524,0.5259174868464469,5,107,64,48,89,0.1315460205078125,85,-0.036153048276901245,-0.12330328449606895,0.04365950301289551,0.4202,-0.03562204043070476,-0.1321625550587972,0.05452665487925209,-0.0005310078461964879,-0.1285073373214452,-1.5087226076574065,0.1794005621633323
