layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.013311624526977539,0.05891990661621094,0.000864022970199586,0.12362834215164183,0.052498698234558105,-0.004324978590011596,0.11631675660610197,1,253,128,6,253,0.014382719993591309,255,0.009754776954650879,-0.0246712327003479,0.044765156507492056,0.5889,0.004871100187301635,-0.02726408839225769,0.038397144277890524,0.0048836767673492406,0.18580988258161496,-1.619658135844797,1.5409015568916231
1,0.04459679126739502,0.02926039695739746,-0.03230764865875244,0.09264496564865105,0.04237091541290283,-0.015406185388565063,0.10522592961788176,2,173,128,40,131,0.014367818832397461,120,-0.002805948257446289,-0.01762494444847107,0.012571483850479117,0.7143,-0.0061472853024800616,-0.03183525005976359,0.018869644900162977,0.0033413370450337716,-0.06622345139590302,-1.597587924159208,1.4348204121461372
2,0.04596543312072754,0.08447623252868652,0.012900298833847046,0.1590431213378906,0.09184515476226807,0.02284448444843292,0.1653284192085266,2,152,128,20,138,0.023954391479492188,134,0.03697127103805542,0.0018832460045814514,0.07520602196455002,0.0488,0.018226603666941323,-0.017268502215544382,0.05470832139253615,0.018744667371114094,0.4025391555357692,0.021516244173468924,1.176860693739542
3,0.0054724812507629395,0.037455979734659195,-0.04176049875095487,0.1278401843272149,0.04532814025878906,-0.033197683095932004,0.1355722814798355,3,185,128,49,175,0.01031351089477539,167,-0.014644980430603027,-0.0457353800535202,0.014160719513893125,0.3534,-0.022529145081837974,-0.054631987710793806,0.009055503209431945,0.007884164651234947,-0.3230880496528508,-5.881878342424134,4.295808518031324
4,-0.011114269495010376,0.004188477993011475,-0.08596601337194443,0.09521098136901845,0.02357304096221924,-0.06255827248096466,0.11429735720157616,5,219,128,58,155,0.018561601638793945,141,0.0007712841033935547,-0.02612759470939636,0.027022063732147213,0.9536,-0.005298237005869547,-0.038334368666013086,0.028336181243260684,0.0060695211092631,0.03271890566133151,-2.9073714671621564,3.123136678358038
5,0.025453388690948486,0.03594326972961426,-0.0460334300994873,0.11882438063621518,0.03213942050933838,-0.04852174222469329,0.1132450610399246,4,243,128,54,178,0.029591083526611328,170,0.013112246990203857,-0.012822675704956054,0.04100695103406901,0.3553,-0.006672501564025879,-0.039788296322027836,0.026080642143885238,0.01978474855422974,0.40798019324567425,-4.602570832073232,4.099614537612036
6,0.05961596965789795,0.03982579708099365,-0.04266979098320007,0.12208707928657528,0.05311477184295654,-0.0249277263879776,0.13014659881591797,5,197,128,63,174,0.028778076171875,171,0.0012586712837219238,-0.029094575345516203,0.03283817023038858,0.9379,-0.013485918442408245,-0.04628967692454656,0.020286317914724343,0.014744589726130169,0.023697198350835693,-1.876555649026731,1.9223417183643081
7,-0.0445713996887207,0.07192793488502502,-0.012506900727748871,0.1547246277332306,0.09359198808670044,0.007086104154586792,0.18068432360887518,5,249,128,1,249,0.040370941162109375,242,0.0022531747817993164,-0.03536759614944458,0.04081915318965912,0.9079,-0.00972382227579753,-0.050902438163757335,0.03120212554931639,0.011976997057596838,0.02407444085611315,-1.0097490512952525,0.6313620841989966
8,0.06077384948730469,0.04970109462738037,-0.040262064337730406,0.14227935075759887,0.04662370681762695,-0.04481358528137207,0.138786232471466,5,235,128,15,235,0.04917609691619873,234,-0.0038623809814453125,-0.05075790882110596,0.043527221679687464,0.8777,-0.001207222541173298,-0.0472078929344813,0.044704857220252296,-0.0026551584402720145,-0.08284156805792774,-4.545127525992639,3.677578014838356
9,0.10508370399475098,0.022518396377563477,-0.07856940031051636,0.12516987323760984,0.03702211380004883,-0.06707134246826171,0.1420865654945372,7,180,128,43,176,0.030286192893981934,171,-0.0013527870178222656,-0.04251874685287475,0.03879568576812739,0.9485,-0.013343731562296545,-0.05686442653338114,0.029480894406636544,0.011990944544474283,-0.03653997243724321,-3.4345600012884394,3.5468780413522523
