layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,-0.02283000946044922,0.0328221321105957,-0.07623966932296752,0.1479699611663818,0.021701812744140625,-0.08071352243423462,0.12553341388702377,1,127,64,6,127,-0.01798391342163086,126,-0.038335323333740234,-0.0890551209449768,0.011220324039459217,0.1368,-0.03953401247660319,-0.08681071798006694,0.006753096977869665,0.0011986891428629604,-1.7664571981015995,-13.347832657654587,12.14493537495276
1,0.050009965896606445,-0.06320905685424805,-0.1848347544670105,0.055757570266723566,-0.05979204177856445,-0.17787439823150636,0.05351132154464718,1,81,64,12,81,-0.009875774383544922,80,-0.004820346832275391,-0.030994701385498046,0.01995549201965331,0.7078,0.02095603942871094,-0.01899201075236003,0.06446104049682615,-0.025776386260986335,0.08061853532493839,-1.9600698048826988,1.8615413077201077
2,0.0853424072265625,-0.048831939697265625,-0.1641083240509033,0.0685345172882078,-0.03851938247680664,-0.15085703134536743,0.07760629653930663,2,72,64,20,72,0.028609156608581543,66,0.00793600082397461,-0.06267882585525512,0.07880969047546384,0.8352,0.01538308461507162,-0.05104533036549885,0.08454542954762775,-0.0074470837910970075,-0.20602616952006042,-5.726669642470246,6.2666942038614
3,-0.0010528564453125,0.02307022362947464,-0.08621626961976289,0.13358221407979726,0.008886575698852539,-0.10118024945259094,0.11892902851104732,3,88,64,49,82,0.000244140625,86,-0.016143321990966797,-0.07857282161712646,0.040190780162811274,0.6011,-0.016014417012532554,-0.07090202172597249,0.037935455640157045,-0.00012890497843424595,-1.8165964639283128,-5.993494038746294,7.1387946435001925
4,-0.04689788818359375,0.05466020107269287,-0.07591958045959472,0.19399110972881314,0.0497288703918457,-0.07886370420455932,0.1832639575004576,5,110,64,58,69,0.031549930572509766,77,-0.013308048248291016,-0.05385937690734863,0.02453627586364746,0.5039,-0.017236073811848964,-0.07130239804585774,0.03940691947937009,0.0039280255635579416,-0.26761211633058135,-3.918323930148277,3.6629180944430195
5,0.006928443908691406,-0.044148921966552734,-0.161579692363739,0.06897587776184057,-0.05736398696899414,-0.16867802143096924,0.053214836120605465,4,121,64,44,74,0.041368961334228516,76,0.022297382354736328,-0.029230892658233643,0.0784374475479126,0.4268,0.024548053741455085,-0.036611922581990565,0.09002934694290159,-0.002250671386718745,-0.38870001080622774,-6.402021238147832,5.619332506728415
6,0.0917816162109375,-0.01149451732635498,-0.1298140585422516,0.1166205614805221,0.0009571313858032227,-0.11670705080032348,0.12172247171401976,5,91,64,63,84,0.019799232482910156,86,0.013704776763916016,-0.030894756317138672,0.058906805515289304,0.5535,-0.0010033051172892225,-0.0541421413421631,0.05116248428821555,0.014708081881205239,14.318595092788641,-5.105663724672027,5.728080110843141
7,-0.0021042227745056152,-0.014121055603027344,-0.14997415542602538,0.11963503360748279,-0.01715719699859619,-0.1552710384130478,0.11921922862529753,5,123,64,19,83,0.023065567016601562,87,-0.005012989044189453,-0.052644979953765866,0.04153861999511718,0.8323,-0.01633930206298828,-0.06859466234842937,0.03476872841517126,0.011326313018798826,0.292179954837589,-3.9687473024239766,3.8500510149006666
8,0.019311904907226562,0.050989627838134766,-0.07516579627990723,0.17568984031677243,0.05848836898803711,-0.0695004403591156,0.1906682193279265,4,118,64,15,118,0.043262481689453125,117,-0.0062351226806640625,-0.07249445915222168,0.05984787940979003,0.8537,-0.012304147084554034,-0.07662267486254375,0.05288041035334265,0.006069024403889976,-0.10660448886751074,-4.887851065146188,5.879082373247353
9,-0.0027675628662109375,0.1349191665649414,0.002736544609069827,0.27498793601989746,0.1347811222076416,-0.0034880042076110827,0.28226380944252,7,83,64,50,80,0.03218364715576172,83,-0.024613022804260254,-0.07437894344329835,0.022862142324447582,0.3372,-0.059747894605000816,-0.11971523662408193,-0.00537928640842447,0.035134871800740555,-0.18261476385648304,-1.6791384815876969,0.6505811567251301
10,0.24009370803833008,0.24852514266967773,0.07227882146835327,0.4329632282257079,0.26374077796936035,0.0862557053565979,0.44921026229858396,5,115,64,54,115,0.13863754272460938,119,0.1819162368774414,0.0882843017578125,0.2833806753158568,0.0002,0.19185845057169595,0.09853686292966207,0.2896281123161316,-0.00994221369425456,0.6897539253432218,0.37695492320813023,1.5710059906053047
11,0.636613130569458,0.6535072326660156,0.43300676345825195,0.8849775314331054,0.6325147151947021,0.4098118543624878,0.8623538911342621,7,94,64,55,85,0.25597476959228516,98,0.23751139640808105,0.14377739429473876,0.34457390308380126,0.0,0.17830785115559894,0.07590177853902182,0.2884295781453449,0.059203545252482094,0.3755033530484263,0.22930717225250988,0.5888797223687231
12,1.2151298522949219,1.1721844673156738,0.8860950231552124,1.4639473915100096,1.1705572605133057,0.8799927294254303,1.469911855459213,6,105,64,40,95,0.5003547668457031,101,0.5410711765289307,0.3628235697746277,0.744219696521759,0.0,0.45662720998128253,0.2624202171961466,0.6665926218032836,0.0844439665476481,0.46223383919865946,0.3271562966355192,0.6117498207423678
13,1.4990997314453125,1.1749048233032227,0.7958934307098389,1.557203960418701,1.167635202407837,0.7962336003780365,1.5486503124237059,3,112,64,56,103,0.9531265497207642,106,0.7449691295623779,0.43509784936904905,1.0654720306396483,0.0,0.6635289192199707,0.34182821710904443,0.9820818364620207,0.08144021034240723,0.6380153048025112,0.45460254445391723,0.8111681629343234
14,-0.06534671783447266,-0.5061593055725098,-0.8409455299377442,-0.1796900272369385,-0.4847238063812256,-0.8196246564388275,-0.15546889901161204,7,101,64,53,86,0.08984565734863281,90,0.003253936767578125,-0.06091728210449219,0.06851701736450194,0.919,0.08137853940327962,-0.016583677132924402,0.178235093752543,-0.07812460263570152,-0.0067129708191368855,-0.23474528818833712,0.14000222594465464
15,0.1576995849609375,0.09662055969238281,-0.1429194927215576,0.3310525894165039,0.08027863502502441,-0.15666308403015136,0.31320801973342893,6,107,64,48,83,0.09293359518051147,83,0.047059059143066406,-0.019483757019042966,0.11648676395416259,0.1848,0.039792140324910484,-0.04154870510101318,0.12380000154177342,0.007266918818155925,0.5861965531476361,-4.8000894684918025,4.891413631176118
