layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.009521484375,0.01416015625,-0.01416015625,0.04395751953124982,0.03466796875,0.0019409179687500042,0.072265625,8,88,64,120,67,0.01708984375,70,-0.0107421875,-0.0302734375,0.00927734375,0.3317,-0.009114583333333336,-0.02995198567708333,0.012532552083333329,-0.0016276041666666665,-0.30985915492957744,-3.615625,0.35002192982456104
1,0.012451171875,0.00244140625,-0.04736328125,0.0517578125,0.013671875,-0.047863769531249996,0.07080078125,3,88,64,86,79,0.009765625,63,0.00341796875,-0.012707519531249996,0.022473144531249822,0.7663,0.009440104166666668,-0.014001464843749997,0.03662516276041661,-0.006022135416666668,0.25,-3.0,3.501136363636347
2,0.01904296875,0.01025390625,-0.03955078125,0.056640625,0.0234375,-0.033203125,0.07618408203124982,4,104,64,47,71,0.008056640625,65,-0.0078125,-0.0234375,0.0068359375,0.3691,-0.009765625,-0.02718098958333333,0.006673177083333332,0.0019531250000000004,-0.3333333333333333,-3.626682692307692,3.5048076923076223
3,-0.037384033203125,-0.01123046875,-0.06201171875,0.03760986328124982,0.005859375,-0.05029296875,0.05958251953124982,4,94,64,34,68,0.01806640625,62,-0.00048828125,-0.029296875,0.030285644531249822,1.0,0.008300781249999998,-0.020186360677083334,0.03857421874999999,-0.0087890625,-0.08333333333333333,,
4,0.023681640625,0.021484375,-0.01708984375,0.06689453125,0.0205078125,-0.017102050781249996,0.06397705078124982,4,87,64,0,77,0.005859375,68,0.001953125,-0.01904296875,0.021484375,0.8853,0.004557291666666666,-0.01806640625,0.024576822916666664,-0.002604166666666667,0.09523809523809523,-3.5,4.0
5,-0.0048828125,0.0224609375,-0.0146484375,0.05908203125,0.0244140625,-0.01318359375,0.06396484375,3,88,64,103,75,0.0078125,57,-0.00244140625,-0.01513671875,0.009765625,0.7653,0.00634765625,-0.01171875,0.0244140625,-0.0087890625,-0.1,-2.857142857142857,2.0911363636363602
6,0.034423828125,0.01220703125,-0.025390625,0.05322265625,0.03271484375,-0.0087890625,0.078125,3,75,64,89,72,0.00537109375,75,0.0078125,-0.01025390625,0.02587890625,0.4347,0.00911458333333333,-0.01220703125,0.0302734375,-0.0013020833333333348,0.23880597014925373,-1.437673611111111,2.562723214285711
7,-0.012939453125,0.029296875,-0.01025390625,0.07080078125,0.025390625,-0.01416015625,0.06788330078124982,4,76,64,100,70,0.014892578125,73,0.00439453125,-0.009765625,0.0185546875,0.6021,0.008789062500000002,-0.007486979166666666,0.025227864583333332,-0.004394531250000002,0.17307692307692307,-2.0,2.3001923076923045
8,0.027099609375,0.00537109375,-0.03955078125,0.0478515625,0.01025390625,-0.0283203125,0.04833984375,5,102,64,38,102,0.010498046875,99,-0.00048828125,-0.0263671875,0.02490234375,1.0,0.006022135416666666,-0.020670572916666668,0.032552083333333336,-0.006510416666666669,-0.047619047619047616,-6.5,7.5031249999999545
9,-0.009765625,0.00146484375,-0.03173828125,0.033203125,0.015625,-0.0185546875,0.05079345703124982,3,95,64,111,95,0.010986328125,76,-0.01025390625,-0.032727050781249996,0.0107421875,0.3943,-0.015625,-0.041670735677083334,0.009602864583333332,0.005371093749999998,-0.65625,-9.337499999999999,6.666666666666667
