layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.0072021484375,0.014404296875,-0.011962890625,0.0400390625,0.02978515625,0.00439453125,0.05444946289062491,7,169,128,93,159,0.00830078125,161,0.00537109375,-0.0048828125,0.015869140625,0.3399,-0.005126953124999999,-0.018229166666666664,0.00789591471354164,0.010498046875,0.18032786885245902,-0.26794642857142853,1.0
1,0.0008544921875,0.0009765625,-0.034423828125,0.037841796875,0.0191650390625,-0.018679809570312497,0.0579833984375,2,164,128,86,143,0.007080078125,145,0.00244140625,-0.0146484375,0.020263671875,0.8124,-0.002522786458333334,-0.02099812825520833,0.015624999999999997,0.004964192708333333,0.12738853503184713,-3.466764705882353,3.4169642857142812
2,-0.012939453125,0.005126953125,-0.035400390625,0.04273071289062491,-0.00048828125,-0.0416290283203125,0.039553833007812456,4,215,128,116,174,0.006591796875,193,0.00146484375,-0.0126953125,0.015386962890624911,0.8629,-0.005533854166666666,-0.019124348958333332,0.007649739583333334,0.006998697916666665,-3.0,-3.804999999999998,5.092207792207773
3,-0.01019287109375,0.0034027099609375,-0.06061363220214844,0.0552978515625,0.0048065185546875,-0.054364013671874996,0.0580902099609375,3,165,128,34,138,0.005615234375,132,0.024658203125,0.00439453125,0.04736328125,0.0264,0.021484375,0.0012207031250000004,0.043214925130208304,0.0031738281249999974,5.130158730158731,-11.948,13.692857142857134
4,0.01171875,0.0150146484375,-0.0133056640625,0.042849731445312456,0.017578125,-0.009771728515624998,0.04541625976562491,4,170,128,111,158,0.007080078125,164,-0.00830078125,-0.019287109375,0.002685546875,0.1396,-0.017740885416666664,-0.03173828125,-0.003499348958333337,0.009440104166666668,-0.4722222222222222,,
5,0.0166015625,0.005126953125,-0.01953125,0.03076171875,0.0068359375,-0.0205078125,0.033935546875,2,169,128,80,169,0.011474609375,179,0.00439453125,-0.01025390625,0.019287109375,0.5759,0.010416666666666666,-0.005126953125,0.02587890625,-0.006022135416666665,0.6428571428571429,,
6,0.0142822265625,0.009521484375,-0.0205078125,0.037841796875,0.000732421875,-0.029541015625,0.03173828125,2,150,128,89,150,0.01171875,155,0.00341796875,-0.0107421875,0.017578125,0.6486,0.007893880208333334,-0.005289713541666667,0.021240234375,-0.004475911458333334,4.666666666666667,,
7,-0.00634765625,0.0230712890625,-0.009524536132812499,0.0560302734375,0.021728515625,-0.011236572265624998,0.0556640625,4,161,128,5,161,0.009765625,171,-0.0009765625,-0.017584228515624998,0.01708984375,0.9378,-0.0027669270833333304,-0.019938151041666668,0.016031901041666668,0.0017903645833333335,-0.0449438202247191,-3.600625,2.6196428571428485
8,-0.0032958984375,0.005615234375,-0.02099609375,0.03247680664062491,0.01416015625,-0.011968994140624998,0.041748046875,6,212,128,38,212,0.0079345703125,206,0.009765625,-0.00927734375,0.029052734375,0.3458,0.010904947916666668,-0.006429036458333333,0.029217529296874975,-0.0011393229166666667,0.6896551724137931,-4.106203007518797,6.667187499999993
9,-0.00048828125,0.0166015625,-0.0087890625,0.04248657226562491,0.0107421875,-0.014892578125,0.037109375,4,168,128,71,144,0.0128173828125,131,0.005859375,-0.00537109375,0.017578125,0.3453,-0.0008138020833333341,-0.014078776041666666,0.012776692708333334,0.006673177083333333,0.5454545454545454,-4.25,6.0
10,-0.002685546875,-0.0147705078125,-0.0413848876953125,0.009033203125,-0.011474609375,-0.037109375,0.014404296875,3,210,128,14,210,0.0050048828125,221,0.00146484375,-0.013427734375,0.015380859375,0.8721,0.002766927083333334,-0.012695312499999997,0.018473307291666668,-0.0013020833333333343,-0.1276595744680851,,
11,-0.002197265625,0.0242919921875,-0.001345825195312499,0.0506591796875,0.035400390625,0.010498046875,0.061279296875,5,247,128,115,193,0.0093994140625,207,0.007568359375,-0.004150390625,0.019287109375,0.2213,-0.000244140625,-0.01171875,0.01171875,0.007812500000000002,0.21379310344827587,-0.16666666666666666,0.7671262399622106
12,-0.0111083984375,0.0111083984375,-0.0108642578125,0.033447265625,0.00244140625,-0.018072509765624998,0.0234375,5,213,128,2,213,0.0009765625,209,-0.00537109375,-0.017822265625,0.007080078125,0.4246,-0.0098876953125,-0.02099609375,0.0009765624999999996,0.0045166015625,-2.2,,
13,0.0142822265625,0.0164794921875,-0.007571411132812499,0.04052734375,0.000732421875,-0.024658203125,0.02588500976562491,6,193,128,24,131,0.003173828125,129,0.004150390625,-0.004156494140624998,0.01318359375,0.3847,0.0047607421875,-0.005574544270833333,0.015096028645833332,-0.0006103515625000002,5.666666666666667,-5.5,7.0
14,0.0020751953125,0.0186767578125,-0.002932739257812499,0.042236328125,0.01806640625,-0.004638671875,0.042236328125,5,207,128,55,156,0.00390625,155,-0.000244140625,-0.0107421875,0.01025390625,1.0,-0.0064290364583333304,-0.018961588541666664,0.00553588867187497,0.006184895833333332,-0.013513513513513514,-2.2869047619047613,1.8466666666666594
15,-0.0067138671875,0.019775390625,-0.005126953125,0.044677734375,0.02685546875,0.001708984375,0.05224609375,3,248,128,121,129,0.0133056640625,119,0.004150390625,-0.0048828125,0.013671875,0.4109,0.002604166666666667,-0.009358723958333332,0.014322916666666666,0.0015462239583333326,0.15454545454545454,-0.3542410714285714,1.0454545454545454
16,0.0152587890625,0.0595703125,0.0322265625,0.088134765625,0.068115234375,0.039794921875,0.097412109375,6,180,128,127,153,0.00927734375,165,0.018310546875,0.001953125,0.035888671875,0.0291,0.016845703125,0.0008931477864583329,0.034181722005208304,0.001464843749999999,0.26881720430107525,0.03886243878246854,0.5030007144558222
17,-0.0098876953125,0.013671875,-0.010009765625,0.037353515625,0.0224609375,-0.002197265625,0.04663696289062491,4,186,128,14,161,0.002685546875,144,-0.001953125,-0.0107421875,0.006591796875,0.7077,-0.002115885416666668,-0.013020833333333332,0.008626302083333332,0.0001627604166666661,-0.08695652173913043,,
18,0.03515625,0.046630859375,0.009765625,0.084716796875,0.053466796875,0.016107177734375002,0.09546508789062491,2,167,128,89,167,0.00537109375,161,0.008056640625,-0.00830078125,0.0244140625,0.3396,0.002522786458333334,-0.014243570963541669,0.018961588541666664,0.005533854166666666,0.1506849315068493,-0.23366580728327424,0.5979896907216488
19,-0.0250244140625,0.024169921875,-0.008795166015624998,0.05640258789062491,0.010986328125,-0.01611328125,0.038330078125,4,151,128,33,151,0.0048828125,164,0.00048828125,-0.01025390625,0.01123046875,0.9622,0.008097330729166664,-0.0025227864583333335,0.018798828125,-0.007609049479166666,0.044444444444444446,-3.5,3.4458333333333133
20,-0.0321044921875,-0.00146484375,-0.030517578125,0.027587890625,-0.004638671875,-0.031005859375,0.02295532226562491,4,234,128,72,130,0.0006103515625,140,-0.008544921875,-0.02099609375,0.00341796875,0.1961,0.0003255208333333337,-0.0126953125,0.013509114583333329,-0.008870442708333332,1.8421052631578947,-9.0,8.75
21,-0.007568359375,0.0244140625,-0.000732421875,0.048583984375,0.009521484375,-0.0126953125,0.03125,5,200,128,76,173,0.005859375,185,-0.001220703125,-0.012939453125,0.01123046875,0.8741,-0.0038655598958333317,-0.016236368815104162,0.009481811523437488,0.002644856770833333,-0.1282051282051282,,
22,-0.00244140625,0.012939453125,-0.009033203125,0.03515625,-0.0009765625,-0.022711181640624998,0.022216796875,4,240,128,69,240,0.0123291015625,240,0.005126953125,-0.009033203125,0.019287109375,0.4911,0.007853190104166664,-0.005696614583333332,0.021280924479166664,-0.002726236979166666,-5.25,,
23,-0.0152587890625,-0.0076904296875,-0.029788208007812497,0.01513671875,-0.008544921875,-0.029296875,0.0126953125,6,251,128,58,136,0.004150390625,146,0.001708984375,-0.006591796875,0.010015869140624911,0.7334,0.013997395833333332,0.00390625,0.024088541666666664,-0.012288411458333336,-0.2,-3.875625,4.252083333333303
24,-0.017333984375,0.013671875,-0.008056640625,0.0361328125,0.0040283203125,-0.017333984375,0.027099609375,7,239,128,27,145,0.006103515625,149,-0.003173828125,-0.01318359375,0.007080078125,0.5796,-0.003824869791666668,-0.01513671875,0.007242838541666666,0.0006510416666666661,-0.7878787878787878,-7.142857142857143,6.334999999999975
25,-0.0230712890625,0.0205078125,-0.005615234375,0.04638671875,0.0196533203125,-0.007080078125,0.0460205078125,4,241,128,44,175,0.006103515625,177,0.0054931640625,-0.0057373046875,0.01708984375,0.3657,0.006225585937500001,-0.005493164062500001,0.018107096354166664,-0.0007324218750000002,0.2795031055900621,-1.778333333333333,2.6009090909090777
26,0.014404296875,0.037109375,0.015625,0.058349609375,0.0338134765625,0.011471557617187501,0.057861328125,4,223,128,38,223,0.010986328125,226,0.0120849609375,-0.002197265625,0.026611328125,0.1082,0.009562174479166666,-0.004801432291666665,0.0240478515625,0.0025227864583333335,0.3574007220216607,-0.1040470588235294,0.9625446428571423
27,0.01904296875,0.0472412109375,0.020870971679687503,0.07398071289062491,0.0372314453125,0.012326049804687501,0.0638427734375,5,252,128,40,252,0.0145263671875,256,0.0079345703125,-0.00830078125,0.024169921875,0.3573,0.008544921874999998,-0.006266276041666668,0.02376505533854164,-0.0006103515625,0.21311475409836064,-0.4090565509518476,0.6631896856234542
28,0.132568359375,0.172119140625,0.1357421875,0.2109436035156249,0.1654052734375,0.1259765625,0.2059326171875,8,228,128,30,228,0.052001953125,225,0.0655517578125,0.04541015625,0.0867919921875,0.0,0.05684407552083333,0.03633524576822917,0.07829182942708326,0.008707682291666668,0.396309963099631,0.2847466644839159,0.5229574551988228
