layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.00634765625,-0.01507568359375,-0.04651031494140625,0.013798522949218683,-0.00238037109375,-0.02960205078125,0.023744201660156228,7,113,64,93,87,0.0020751953125,83,-0.00189208984375,-0.01654052734375,0.012939453125,0.8162,-0.0009155273437500009,-0.021240743001302076,0.019307963053385408,-0.0009765625000000009,0.7948717948717948,-6.933611111111111,8.210526315789474
1,-0.0010986328125,0.013916015625,-0.01861724853515625,0.04480438232421868,-0.01806640625,-0.0473663330078125,0.0118408203125,3,104,64,83,104,0.0123291015625,102,-0.00714111328125,-0.027587890625,0.014222717285156228,0.5065,-0.001546223958333336,-0.022380065917968747,0.018127950032552072,-0.005594889322916664,0.3952702702702703,-3.4694152661064424,4.635572094691514
2,0.02880859375,0.0238037109375,-0.00946044921875,0.0595703125,0.0072021484375,-0.02984771728515625,0.04498291015625,4,117,64,51,117,0.00927734375,114,0.0018310546875,-0.02246246337890625,0.025395202636718683,0.8841,-0.0009765625000000009,-0.02555440266927083,0.022421264648437488,0.0028076171874999987,0.2542372881355932,-6.778333333333333,8.123902439024361
3,0.003662109375,0.0233154296875,-0.010986328125,0.056640625,0.00341796875,-0.03607177734375,0.045413208007812456,4,102,64,76,72,0.0196533203125,77,0.0064697265625,-0.0101318359375,0.02301025390625,0.442,0.002827962239583335,-0.017538452148437494,0.02358042399088541,0.003641764322916668,1.8928571428571428,-6.0,5.907029598308667
4,0.0150146484375,0.0389404296875,0.0055526733398437505,0.07568359375,0.008544921875,-0.0302734375,0.04993286132812491,7,105,64,77,64,0.0126953125,66,-0.0023193359375,-0.0203857421875,0.0152587890625,0.812,0.008544921875000002,-0.014832051595052085,0.03328501383463541,-0.0108642578125,-0.2714285714285714,-5.076971153846153,6.187812499999995
5,-0.012939453125,-0.0018310546875,-0.0499267578125,0.04028472900390623,0.01153564453125,-0.0374786376953125,0.057559204101562456,5,103,64,78,79,0.005859375,78,-0.020263671875,-0.0440673828125,-5.9509277343772204e-05,0.0642,-0.02726236979166667,-0.051758829752604166,-0.004147338867187544,0.006998697916666664,-1.7566137566137565,-13.479399585921325,12.211323763955331
6,0.003662109375,0.02777099609375,-0.01568756103515625,0.07422180175781246,0.02252197265625,-0.02343902587890625,0.07000732421875,5,114,64,89,65,0.008056640625,71,0.008056640625,-0.012454223632812499,0.02880859375,0.4555,0.0034179687499999983,-0.018351745605468747,0.025473531087239563,0.004638671875,0.35772357723577236,-3.035957792207792,4.7023708849290085
7,0.0352783203125,0.0281982421875,-0.0159912109375,0.07470703125,0.02880859375,-0.019656372070312497,0.08350219726562491,6,109,64,5,88,0.0213623046875,88,-0.00146484375,-0.026736450195312497,0.0216064453125,0.9118,0.003926595052083329,-0.021402994791666668,0.029135640462239563,-0.005391438802083335,-0.05084745762711865,-3.6666666666666665,3.452245657568229
8,0.0120849609375,0.04095458984375,0.00018157958984375052,0.08093566894531246,-0.00775146484375,-0.04736480712890625,0.03198394775390623,5,116,64,127,105,0.010498046875,90,-0.0169677734375,-0.0372314453125,0.0032958984375,0.1034,-0.012512207031249997,-0.034424845377604166,0.008728535970052078,-0.004455566406250002,2.188976377952756,-11.31622807017544,10.669512195121909
9,0.0433349609375,-0.0152587890625,-0.053350830078124994,0.02099609375,-0.02972412109375,-0.0655548095703125,0.00543212890625,4,119,64,48,86,0.00244140625,86,0.0018310546875,-0.0164794921875,0.020877075195312456,0.8582,0.00115966796875,-0.02183074951171875,0.024211629231770816,0.0006713867187500009,-0.061601642710472276,-2.1430357142857144,1.754343742172488
