layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.011627197265625,-0.0198974609375,-0.04333648681640625,0.002320861816406228,0.014495849609375,-0.00482177734375,0.033936309814453114,7,214,128,69,159,0.016510009765625,170,-0.0069580078125,-0.0198974609375,0.00567626953125,0.2819,-0.015848795572916664,-0.029195658365885415,-0.002278645833333333,0.008890787760416664,-0.48,-6.62843137254902,4.378561776061773
1,0.005401611328125,-0.007720947265625,-0.03134231567382813,0.015106201171875,0.017578125,-0.00555419921875,0.041995239257812456,3,210,128,74,210,0.015380859375,200,0.01458740234375,0.0012191772460937505,0.02899169921875,0.0367,0.005096435546875,-0.009724934895833332,0.020997873942057262,0.009490966796875,0.8298611111111112,-4.243049682875264,7.019420077972682
2,0.026641845703125,0.015045166015625,-0.009034729003906249,0.03842315673828123,0.023895263671875,-0.0014045715332031247,0.04944229125976557,4,229,128,117,163,0.00811767578125,170,-0.005615234375,-0.02264404296875,0.01025390625,0.5224,-0.010518391927083332,-0.026572672526041667,0.00553436279296874,0.004903157552083334,-0.23499361430395913,-3.945112188521817,1.4076994006454546
3,0.009735107421875,0.01275634765625,-0.019287109375,0.0462646484375,-0.000885009765625,-0.036470794677734376,0.034455108642578114,3,187,128,25,187,0.00543212890625,200,0.0028076171875,-0.014039611816406249,0.01947021484375,0.7446,-0.008605957031250003,-0.025738016764322916,0.00830078125,0.01141357421875,-3.1724137931034484,-6.402096774193548,7.06620511259888
4,0.009033203125,0.031158447265625,0.0013343811035156279,0.060089111328125,0.023681640625,-0.0045791625976562495,0.05157623291015623,6,197,128,111,129,0.00921630859375,143,-0.00848388671875,-0.02392730712890625,0.005555725097656228,0.2671,-0.01153564453125,-0.02655029296875,0.005290222167968742,0.0030517578124999996,-0.3582474226804124,-4.636525974025974,3.0339285714285626
5,-0.004119873046875,0.008270263671875,-0.025395965576171874,0.041290283203125,0.015228271484375,-0.019806671142578124,0.050662231445312456,5,199,128,78,153,0.017913818359375,155,-0.004974365234375,-0.019287872314453124,0.008515167236328114,0.502,-0.011962890625,-0.029317728678385415,0.004579162597656228,0.006988525390624999,-0.32665330661322645,-4.727511961722488,4.714924506387912
6,0.028564453125,0.011505126953125,-0.021484375,0.04412994384765623,0.014801025390625,-0.021484375,0.05002059936523434,4,217,128,89,146,0.004058837890625,131,0.00238037109375,-0.01483154296875,0.018800354003906228,0.7926,-0.006968180338541666,-0.024516042073567706,0.010386403401692708,0.00934855143229167,0.16082474226804125,-4.699426249103514,3.8681707317072953
7,0.04248046875,0.01202392578125,-0.02459716796875,0.047607421875,0.01953125,-0.014834594726562499,0.05218505859375,6,212,128,33,176,0.013427734375,181,0.009185791015625,-0.008850860595703124,0.027772521972656228,0.335,0.011088053385416664,-0.00852559407552083,0.031799825032552076,-0.0019022623697916683,0.4703125,-3.472712418300653,4.4643452380952375
8,0.026580810546875,0.01300048828125,-0.01611328125,0.0404052734375,0.006744384765625,-0.02179107666015625,0.03408966064453123,5,239,128,95,207,0.004974365234375,192,0.003448486328125,-0.01275634765625,0.020111083984375,0.6871,-0.0107421875,-0.027832539876302083,0.006266784667968744,0.014190673828125,0.5113122171945701,-6.6206635412910195,6.353364222401283
9,0.0167236328125,0.0262451171875,-0.004519653320312499,0.05749664306640623,0.022613525390625,-0.006900024414062499,0.05218734741210934,5,237,128,71,140,0.00958251953125,136,0.00567626953125,-0.0137939453125,0.025390625,0.581,0.0021057128906249974,-0.01643244425455729,0.02120005289713541,0.0035705566406249987,0.25101214574898784,-2.2028160112359547,2.696936645444102
10,0.018890380859375,0.015045166015625,-0.0123291015625,0.04111099243164057,0.0069580078125,-0.01800689697265625,0.03235015869140623,5,225,128,64,194,0.009429931640625,191,-0.012542724609375,-0.02853546142578125,0.002991485595703114,0.1186,-0.024261474609375,-0.039409637451171875,-0.009338124593098962,0.011718750000000002,-1.8026315789473684,-15.064903846153845,15.283392857142855
11,0.011749267578125,0.0401611328125,0.0056137084960937505,0.07733154296875,0.030059814453125,-0.004120635986328124,0.06854324340820311,6,244,128,60,192,0.010894775390625,199,0.021697998046875,0.00299072265625,0.040802764892578114,0.0227,0.019337972005208332,0.0002848307291666678,0.03954137166341145,0.0023600260416666657,0.7218274111675127,-2.0342138473010953,4.53665792146241
12,0.0205078125,0.025726318359375,-0.003936767578125,0.05523681640625,0.0213623046875,-0.0061050415039062495,0.05023193359375,6,246,128,53,203,0.0137939453125,222,0.00555419921875,-0.01733551025390625,0.028565979003906228,0.6388,-0.007263183593750003,-0.0273040771484375,0.01230926513671874,0.0128173828125,0.26,-3.1176671732522796,3.2065864833906015
13,0.021881103515625,0.007598876953125,-0.02337799072265625,0.037537384033203114,0.0213623046875,-0.006228637695312499,0.04907684326171868,8,209,128,44,209,0.00848388671875,215,-0.004638671875,-0.02569732666015625,0.01702880859375,0.6725,-0.002085367838541667,-0.023417409261067706,0.018943532307942677,-0.002553304036458333,-0.21714285714285714,-5.200882352941177,3.704354354354345
14,0.014892578125,0.011383056640625,-0.020296478271484373,0.043212890625,0.013336181640625,-0.016848754882812497,0.046173095703125,7,230,128,57,187,0.004425048828125,178,0.001007080078125,-0.016114044189453124,0.017578887939453114,0.9172,-0.006022135416666667,-0.02577768961588542,0.01320444742838541,0.007029215494791667,0.07551487414187644,-4.837944523470839,5.3449568965517225
15,0.015350341796875,0.0189208984375,-0.017578125,0.054690551757812456,0.019561767578125,-0.01703033447265625,0.05520858764648434,4,244,128,40,244,0.02117919921875,243,0.014495849609375,-0.014434814453125,0.04159698486328123,0.3231,0.006947835286458336,-0.021586100260416664,0.03336970011393224,0.007548014322916667,0.7410296411856474,-3.3529718137254902,5.265966386554589
16,0.047760009765625,0.016448974609375,-0.021851348876953124,0.05317077636718737,0.020660400390625,-0.01687774658203125,0.05694808959960934,6,236,128,127,129,0.01824951171875,135,0.0045166015625,-0.00787353515625,0.0177001953125,0.504,0.0042724609375,-0.01352996826171875,0.022745768229166664,0.00024414062499999913,0.21861152141802068,-2.222744014732965,2.7215479192938172
17,0.03106689453125,-0.00408935546875,-0.03802642822265625,0.02923583984375,0.018707275390625,-0.0125732421875,0.04993515014648425,5,210,128,106,208,0.022369384765625,202,0.00958251953125,-0.0077529907226562495,0.026368713378906228,0.2867,0.005157470703125,-0.012349446614583334,0.022503153483072892,0.004425048828125,0.5122349102773246,-4.189109322974473,4.795047752621385
18,0.032867431640625,0.03521728515625,-0.0011032104492187484,0.07086486816406246,0.030670166015625,-0.006806182861328124,0.06802444458007811,6,152,128,34,139,0.0146484375,135,0.00408935546875,-0.011354064941406249,0.019776916503906228,0.6199,-0.002736409505208334,-0.02072168986002604,0.014963785807291664,0.006825764973958334,0.13333333333333333,-1.3966196160161677,1.749173728813559
19,0.021453857421875,0.00042724609375,-0.0349151611328125,0.03460693359375,0.025787353515625,-0.008544921875,0.05963287353515623,5,192,128,5,140,0.003143310546875,152,0.007232666015625,-0.0071426391601562495,0.022064971923828114,0.3438,0.007151285807291667,-0.01175994873046875,0.02640864054361978,8.138020833333391e-05,0.2804733727810651,-1.497711267605634,2.558746142601895
20,0.010406494140625,0.03680419921875,0.0070175170898437505,0.06720275878906246,0.030487060546875,0.0020431518554687505,0.060547637939453114,4,228,128,90,228,0.006561279296875,231,-0.003082275390625,-0.018829345703125,0.01220703125,0.7117,-0.004404703776041666,-0.0206097920735677,0.010843912760416668,0.0013224283854166652,-0.1011011011011011,-1.7221359787945556,0.6135592575688401
21,0.002716064453125,0.01129150390625,-0.018496704101562497,0.04120025634765623,0.0018310546875,-0.02673492431640625,0.03033447265625,7,228,128,48,142,0.007415771484375,155,-0.0025634765625,-0.01458740234375,0.00885009765625,0.6838,0.001332600911458334,-0.012370045979817706,0.014996083577473932,-0.003896077473958332,-1.4,-6.001315789473684,5.412834224598916
22,0.009063720703125,0.010986328125,-0.018618774414062497,0.039981079101562456,0.021484375,-0.0057388305664062495,0.048342895507812456,4,221,128,18,188,0.004791259765625,185,-0.012908935546875,-0.02618408203125,0.0007026672363281139,0.0656,-0.013437906901041664,-0.027863820393880207,0.0008758544921874849,0.0005289713541666674,-0.6008522727272727,-6.14794014084507,3.905724921630086
23,0.012725830078125,0.002349853515625,-0.026580810546875,0.031678009033203114,-0.001617431640625,-0.03350906372070313,0.029603576660156228,7,225,128,13,129,0.009674072265625,147,0.0010986328125,-0.0111083984375,0.01263427734375,0.8659,0.0016886393229166678,-0.013773600260416664,0.017293294270833336,-0.0005900065104166657,-0.6792452830188679,-4.488109756097561,4.90121293800539
24,0.008514404296875,-0.00634765625,-0.037841796875,0.025270080566406228,0.005645751953125,-0.02862548828125,0.038027954101562456,6,252,128,34,252,0.009735107421875,250,0.0069580078125,-0.01153564453125,0.025146484375,0.4581,0.013081868489583332,-0.005087280273437499,0.03090565999348956,-0.006123860677083334,1.2324324324324325,-7.078801169590642,8.42193418560606
25,0.040130615234375,0.034423828125,0.00079345703125,0.06829833984375,0.012908935546875,-0.018708038330078124,0.04534912109375,9,248,128,44,207,0.014312744140625,219,0.018310546875,-0.00091552734375,0.03704833984375,0.0594,0.020517985026041664,0.0029774983723958367,0.038514963785807266,-0.002207438151041667,1.4184397163120568,-9.745230496453901,11.933717948717943
26,0.07281494140625,0.02801513671875,-0.008729553222656249,0.06396636962890623,0.02813720703125,-0.00750732421875,0.06237945556640623,7,254,128,57,252,0.03076171875,254,0.007904052734375,-0.014619445800781249,0.029083251953125,0.4839,0.00012207031249999827,-0.02061055501302083,0.020264689127604152,0.007781982421875,0.2809110629067245,-2.1756249999999997,2.6534505208333234
27,0.02740478515625,0.0205078125,-0.02154541015625,0.06183319091796868,0.03851318359375,-0.0009780883789062495,0.079345703125,4,254,128,16,249,0.01708984375,252,0.01947021484375,0.0025634765625,0.03686676025390623,0.0333,0.010884602864583332,-0.005819193522135415,0.027486165364583336,0.008585611979166666,0.5055467511885895,-0.4578529411764706,3.1105106179909288
28,0.154022216796875,0.241851806640625,0.18609237670898438,0.30099868774414057,0.229400634765625,0.17674789428710938,0.28390884399414057,7,237,128,30,237,0.053131103515625,248,0.103790283203125,0.07208175659179687,0.1385498046875,0.0,0.08360799153645833,0.049943542480468756,0.11818593343098957,0.020182291666666664,0.45244113343089,0.33216858575582703,0.5927503546641554
29,0.059112548828125,0.05426025390625,0.01592864990234375,0.09185791015625,0.05047607421875,0.013426208496093751,0.08850402832031246,5,233,128,1,171,0.02960205078125,187,0.017822265625,-0.0040298461914062495,0.039981079101562456,0.1181,0.010050455729166664,-0.012064615885416668,0.031759134928385405,0.007771809895833333,0.35308343409915355,-0.13754729713730968,1.0750397667020126
30,0.10406494140625,0.10150146484375,0.0481536865234375,0.15673828125,0.098480224609375,0.045954132080078126,0.1536865234375,4,176,128,89,170,0.0635986328125,150,0.02972412109375,0.00860595703125,0.052734375,0.0058,0.016072591145833336,-0.006409708658854167,0.040283711751302076,0.013651529947916663,0.3018283235202975,0.10668569120769654,0.6295464766866995
31,0.035888671875,0.059478759765625,0.009396362304687501,0.11013946533203123,0.061676025390625,0.011106872558593751,0.11282653808593746,2,182,128,33,182,0.017974853515625,184,0.0133056640625,-0.0069595336914062495,0.03491363525390623,0.2215,0.002451578776041668,-0.01806971232096354,0.024007670084635408,0.010854085286458336,0.21573478476001978,-0.22489546460000448,0.8231915898031802
32,0.032623291015625,0.06781005859375,0.01605072021484375,0.12018127441406246,0.0654296875,0.014006805419921876,0.11865692138671868,7,202,128,38,197,0.0235595703125,204,0.006988525390625,-0.011139678955078124,0.024689483642578114,0.4534,0.0013427734375000004,-0.019053141276041668,0.021618906656901006,0.005645751953124999,0.10680970149253731,-0.3042304725712995,0.5072985507246369
33,0.124969482421875,0.1693115234375,0.1212738037109375,0.2200927734375,0.175140380859375,0.1297882080078125,0.22189407348632811,4,225,128,76,225,0.109649658203125,229,0.1207275390625,0.0858154296875,0.15783996582031246,0.0,0.11865234375,0.08355458577473958,0.1560287475585937,0.0020751953124999996,0.6893186966370448,0.5476186863747167,0.8495205462842745
34,0.06658935546875,0.06329345703125,0.02252044677734375,0.10364532470703114,0.063873291015625,0.022216033935546876,0.10562210083007811,5,216,128,94,158,0.03582763671875,171,0.049072265625,0.02770843505859375,0.07330627441406246,0.0,0.05170694986979167,0.029581197102864585,0.07613220214843748,-0.002634684244791668,0.7682752030578117,0.45800601027649956,1.7581057409288603
35,0.029754638671875,0.02105712890625,-0.012208557128906249,0.0550537109375,0.018218994140625,-0.0152587890625,0.05362091064453123,5,254,128,60,218,0.008636474609375,228,0.008514404296875,-0.008789825439453124,0.027589416503906228,0.3587,0.01171875,-0.006307983398437499,0.031575520833333336,-0.003204345703125,0.46733668341708545,-2.8829503676470587,4.493620600414056
36,0.036834716796875,0.074432373046875,0.04043502807617187,0.11035461425781246,0.0634765625,0.03002777099609375,0.09735260009765623,6,244,128,2,244,0.023590087890625,246,0.02398681640625,0.0062850952148437505,0.04254150390625,0.0088,0.018971761067708332,0.0007321675618489602,0.03757858276367186,0.005015055338541667,0.3778846153846154,0.12456984291585052,0.7014559619331964
37,0.058380126953125,0.051971435546875,0.013457489013671876,0.08877716064453123,0.05859375,0.02136077880859375,0.09649658203125,7,255,128,10,255,0.015899658203125,251,-0.00347900390625,-0.01806793212890625,0.01092529296875,0.6599,-0.008463541666666666,-0.023948160807291667,0.007141113281249998,0.004984537760416667,-0.059375,-0.5905833199421501,0.16490321013284448
38,0.149627685546875,0.168487548828125,0.12255630493164063,0.21371841430664057,0.163909912109375,0.1160888671875,0.20919876098632811,5,256,128,57,217,0.07452392578125,207,0.042236328125,0.0174560546875,0.06628570556640623,0.0009,0.026102701822916668,0.0015452067057291656,0.05023193359375,0.016133626302083332,0.2576801340532489,0.12044640669062198,0.3946736656511303
39,0.112152099609375,0.135223388671875,0.0835540771484375,0.18600616455078123,0.128173828125,0.07684173583984374,0.17999572753906246,5,246,128,40,246,0.059295654296875,249,0.084625244140625,0.04980392456054687,0.11895828247070311,0.0,0.07594807942708333,0.04201100667317708,0.11019134521484372,0.008677164713541666,0.6602380952380953,0.4583743992375205,0.9659896511968995
40,0.367706298828125,0.50518798828125,0.410400390625,0.60552978515625,0.493499755859375,0.3980598449707031,0.5928955078125,5,249,128,30,176,0.111114501953125,201,0.154510498046875,0.10394210815429687,0.21066665649414057,0.0,0.12456258138020834,0.07123794555664063,0.18309555053710935,0.029947916666666664,0.3130913363428359,0.2239917084460674,0.40870101630069877
41,0.294921875,0.344390869140625,0.27801055908203126,0.4120796203613281,0.34613037109375,0.28020782470703126,0.410888671875,4,203,128,1,190,0.158355712890625,195,0.179718017578125,0.13784561157226563,0.22342376708984368,0.0,0.15665690104166669,0.11415506998697918,0.20012512207031247,0.023061116536458336,0.5192205960148122,0.41819003034710867,0.6233577779594239
42,0.775390625,0.828277587890625,0.70782470703125,0.9501091003417967,0.83843994140625,0.7195419311523438,0.9563003540039062,6,244,128,115,244,0.611053466796875,238,0.680511474609375,0.576959228515625,0.7884834289550782,0.0,0.6559855143229166,0.5495712280273437,0.7671106974283853,0.024525960286458336,0.8116400960908495,0.7537163506167616,0.8679504825164587
