layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.0966644287109375,-0.051971435546875,-0.14453201293945311,0.03491668701171868,-0.0026702880859375,-0.09267921447753906,0.08819885253906246,8,114,64,120,114,0.07952117919921875,107,-0.01470947265625,-0.06549530029296875,0.04309234619140623,0.6069,-0.006695747375488281,-0.03820851643880209,0.03130462169647211,-0.008013725280761719,5.508571428571429,-6.985331482124262,7.710050280981954
1,0.012725830078125,-0.0416412353515625,-0.186285400390625,0.09793243408203123,-0.06737518310546875,-0.20139541625976562,0.04949665069580071,2,104,64,83,104,0.04094696044921875,102,-0.083770751953125,-0.22529945373535157,0.042999267578125,0.2352,-0.07012939453124999,-0.1983025868733724,0.041088867187499975,-0.013641357421875003,1.243347299286604,-2.402203111130978,5.117648841489064
2,0.0670928955078125,-0.08203125,-0.21881561279296874,0.0400390625,-0.03759002685546875,-0.17434158325195312,0.08669013977050774,5,116,64,117,88,0.01819610595703125,83,0.00396728515625,-0.0345489501953125,0.03515625,0.8596,0.018910725911458336,-0.010734303792317709,0.055553690592447885,-0.014943440755208332,-0.10554089709762533,-2.985758883049651,2.85077701149425
3,0.0534210205078125,-0.13922119140625,-0.27691802978515623,-0.020628356933593772,-0.1003265380859375,-0.23756256103515624,0.016884613037109253,3,107,64,1,67,0.021209716796875,55,-0.0206298828125,-0.05340576171875,0.002197265625,0.1556,-0.018695831298828125,-0.047747325897216794,0.007325998942057286,-0.0019340515136718767,0.20562737642585552,-0.5516203857114453,1.1677603289159344
4,0.0496673583984375,-0.0074462890625,-0.0895416259765625,0.06439208984375,-0.010669708251953125,-0.09463214874267578,0.0619636535644531,5,105,64,39,71,0.042624473571777344,67,-0.01678466796875,-0.05261383056640625,0.01287841796875,0.3638,-0.009264628092447914,-0.036502774556477866,0.016627120971679683,-0.007520039876302086,1.5731140507686807,-5.17941668192801,7.366854052792306
5,-0.0006866455078125,0.0315704345703125,-0.033935546875,0.09755516052246085,0.03889274597167969,-0.02246246337890625,0.09820771217346186,2,102,64,111,94,-0.003239154815673828,94,0.01068115234375,-0.031864929199218746,0.052432250976562456,0.6267,0.003753662109375005,-0.031524912516276045,0.03823928833007812,0.006927490234374999,0.2746309646412633,-2.954398693544752,3.394542598499413
6,0.0251922607421875,-0.0146484375,-0.0960723876953125,0.06298828125,-0.00689697265625,-0.08600006103515626,0.07043609619140623,4,111,64,23,72,0.03163719177246094,74,-0.002197265625,-0.036865234375,0.02392578125,0.9306,-0.00176239013671875,-0.031982739766438804,0.024831263224283858,-0.0004348754882812526,0.3185840707964602,-3.636576040781648,4.379310344827586
7,0.0289459228515625,-0.012939453125,-0.091552734375,0.06433410644531246,-0.00653076171875,-0.085394287109375,0.06927490234375,5,87,64,5,73,0.0211181640625,85,0.00018310546875,-0.03228759765625,0.03326568603515623,0.9937,0.010243733723958332,-0.01986745198567708,0.041829935709635405,-0.010060628255208332,-0.028037383177570093,-4.011547619047619,4.990151515151511
8,0.0026702880859375,0.00238037109375,-0.07208404541015626,0.07025451660156246,0.015533447265625,-0.06561965942382812,0.08786392211914057,6,104,64,44,104,0.014801025390625,111,0.002349853515625,-0.03701858520507813,0.03497772216796868,0.9126,0.00601959228515625,-0.019239044189453127,0.029900741577148424,-0.00366973876953125,0.1512770137524558,-4.042403168163817,4.044766454352437
9,-0.0118560791015625,0.01788330078125,-0.0520050048828125,0.07983703613281246,0.0151519775390625,-0.05327033996582031,0.07598915100097656,4,93,64,48,93,0.014019012451171875,86,0.00048828125,-0.02453765869140625,0.025819396972656228,0.9741,-0.0023295084635416713,-0.027843221028645834,0.023245239257812488,0.0028177897135416696,0.032225579053373615,-3.954117647058823,3.871874999999999
