layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.02616119384765625,0.0018157958984375,-0.060333251953125,0.07422027587890623,0.026336669921875,-0.02677440643310547,0.09162845611572255,8,227,128,120,227,0.036922454833984375,228,0.02027130126953125,-0.016708946228027342,0.060944175720214835,0.3072,0.030906677246093747,-0.0012417475382486966,0.06567783355712888,-0.0106353759765625,0.7696987253765932,-6.892782764504389,6.405362675414585
1,0.06354522705078125,0.0044405460357666016,-0.08063754439353943,0.0927820324897766,0.00799560546875,-0.0672760009765625,0.08122291564941406,2,213,128,83,213,0.041500091552734375,207,0.0072021484375,-0.0667724609375,0.07617263793945311,0.8528,0.0033416748046875017,-0.058980305989583336,0.06271044413248697,0.003860473632812501,0.9007633587786259,-4.546958199356913,6.143300248138939
2,0.10834503173828125,-0.0121307373046875,-0.09690170288085938,0.07195243835449208,0.020811080932617188,-0.06115984916687012,0.09994964599609368,5,225,128,116,225,0.030260086059570312,226,-0.015777587890625,-0.04211502075195313,0.007696533203124911,0.2161,-0.011217753092447918,-0.02997379302978516,0.00706049601236978,-0.004559834798177081,-0.7581339932178536,-5.863122029633772,6.230172851532138
3,0.08771514892578125,-0.0014190673828125,-0.07833213806152343,0.07232780456542967,0.002414703369140625,-0.07638387680053711,0.07818126678466793,2,204,128,26,156,0.022480010986328125,172,-0.0013427734375,-0.0177001953125,0.015503692626953114,0.8783,0.001220703125,-0.017629241943359377,0.02008412679036453,-0.0025634765624999987,-0.5560821484992101,-2.682315676235631,2.6318930844158395
4,0.04669952392578125,-0.01513671875,-0.06566009521484376,0.03224792480468741,0.01209259033203125,-0.04303932189941406,0.06359939575195311,5,193,128,113,172,0.0218505859375,161,0.000885009765625,-0.01834259033203125,0.01974716186523434,0.9327,0.00015767415364583304,-0.019704564412434896,0.019973754882812497,0.0007273356119791687,0.07318611987381704,-3.2449961674810766,3.637121212121201
5,0.0574798583984375,0.0063323974609375,-0.03920059204101563,0.05353164672851557,0.011260986328125,-0.03323440551757813,0.05685653686523434,2,197,128,80,197,0.014295578002929688,211,-0.01727294921875,-0.043735504150390625,0.009003448486328114,0.2063,-0.017567952473958336,-0.047322972615559906,0.01076939900716143,0.0002950032552083322,-1.5338753387533874,-14.100588235294117,12.791527277406066
6,0.0574951171875,-0.00804901123046875,-0.05545387268066406,0.037392234802246085,-0.000701904296875,-0.04736328125,0.045899200439453114,4,224,128,89,135,0.02899169921875,138,-0.007080078125,-0.02508544921875,0.00927734375,0.4275,-0.006516774495442709,-0.026609007517496747,0.01401192347208658,-0.0005633036295572937,10.08695652173913,-5.591136363636363,5.73590484386524
7,0.026397705078125,-0.0084686279296875,-0.059402847290039064,0.038330078125,0.00762939453125,-0.0459625244140625,0.05988922119140605,5,176,128,5,158,0.011859893798828125,172,-0.00146484375,-0.02478179931640625,0.02099609375,0.9042,0.0007705688476562496,-0.02296555836995443,0.02373860677083332,-0.0022354125976562517,-0.192,-4.954336283185841,5.355583126550857
8,0.03372955322265625,-0.0010833740234375,-0.047150039672851564,0.043473052978515614,0.02318572998046875,-0.025971221923828124,0.06851310729980467,6,221,128,90,175,0.017608642578125,178,0.0164947509765625,-0.005905532836914062,0.03688087463378906,0.1335,0.01998392740885416,6.599426269531138e-05,0.041739654541015594,-0.0034891764322916674,0.711418229680816,-3.9393462158529866,5.588548656228914
9,0.03316307067871094,0.014739990234375,-0.027467727661132812,0.054351806640625,0.03832054138183594,-0.0030677795410156226,0.07536516189575196,5,176,128,76,142,0.0012359619140625,153,0.006195068359375,-0.00799560546875,0.020478057861328114,0.3948,0.001495361328125002,-0.018010584513346355,0.023393376668294247,0.00469970703125,0.16166442685779703,-0.6119015856564339,1.108981167170424
10,0.0059814453125,-0.0319366455078125,-0.07603492736816406,0.005279541015625,-0.021269798278808594,-0.05738775730133057,0.010835838317871077,4,226,128,14,219,0.002422332763671875,218,0.0128021240234375,-0.012558364868164062,0.035387039184570285,0.3261,0.009470621744791666,-0.020619964599609384,0.03493830362955728,0.0033315022786458348,-0.6018921221360355,-8.835941407214857,8.310733053041819
11,-0.018768310546875,0.010748863220214844,-0.027306723594665527,0.047146868705749495,0.0325469970703125,-0.003956985473632811,0.07306022644042967,5,250,128,105,170,0.00251007080078125,175,0.005290985107421875,-0.013214874267578124,0.023766040802001946,0.5709,-0.006041208902994793,-0.02642847696940105,0.016123485565185544,0.011332194010416666,0.16256446319737458,-1.4439052854938266,1.4656758034318476
12,0.010717391967773438,-0.0122222900390625,-0.0486480712890625,0.02172966003417967,-0.00653076171875,-0.03886566162109375,0.024567031860351557,7,202,128,2,197,-0.0056304931640625,192,0.0021820068359375,-0.016434860229492188,0.02056884765625,0.8213,-0.011372884114583332,-0.0313165028889974,0.008296712239583316,0.013554890950520832,-0.3341121495327103,-6.806461352657004,6.434033613445299
