layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,-0.06146240234375,0.0651702880859375,-0.03961181640625,0.18997383117675778,0.09105682373046875,-0.005278968811035154,0.20838222503662107,8,117,64,81,88,0.02471923828125,68,0.013591766357421875,-0.04105587005615234,0.08191223144531246,0.6954,0.005029042561848956,-0.026453049977620446,0.03305956522623698,0.00856272379557292,0.14926686217008797,-1.5241175557254045,1.5365370572032508
1,-0.04058837890625,0.0427556037902832,-0.08026182651519775,0.1902344703674316,0.00652313232421875,-0.09843196868896484,0.12059612274169913,2,111,64,86,71,0.0251922607421875,81,0.008392333984375,-0.021148681640625,0.04492568969726557,0.6983,0.006163914998372388,-0.04579784075419108,0.06739985148111975,0.002228418986002607,1.286549707602339,-3.646079793135379,4.1465588634254065
2,-0.00518798828125,0.0241241455078125,-0.10135040283203126,0.16067962646484368,0.032154083251953125,-0.09144010543823242,0.16118774414062498,5,115,64,117,95,0.02044677734375,80,0.00786590576171875,-0.03269195556640625,0.051453399658203114,0.7095,0.024131774902343757,-0.0021746317545572906,0.05290063222249348,-0.016265869140625003,0.2446316289002254,-2.8180727150802154,3.1457768176299212
3,0.0023193359375,0.0087127685546875,-0.11021842956542968,0.1379852294921875,0.02538299560546875,-0.09057865142822266,0.14674758911132796,3,98,64,26,85,0.008941650390625,74,0.01209259033203125,-0.0238800048828125,0.0676681518554687,0.8422,0.02596632639567057,-0.008701539039611817,0.0746622721354166,-0.013873736063639322,0.47640516982266307,-3.755536548312575,4.478314150943391
4,0.007568359375,0.0186614990234375,-0.08005256652832031,0.1195526123046875,0.00907135009765625,-0.09173164367675782,0.10259666442871088,5,104,64,0,96,0.018341064453125,97,-0.010135650634765625,-0.03676633834838867,0.014156436920166014,0.4305,-0.002993265787760416,-0.049870300292968746,0.038038190205891914,-0.007142384847005207,-1.1173254835996635,-4.144771929824561,3.8926273474749387
5,-0.00335693359375,0.0021514892578125,-0.07185516357421876,0.07432518005371072,-0.02698516845703125,-0.096270751953125,0.038325500488281206,3,101,64,111,101,0.0079345703125,86,-0.016849994659423828,-0.058232593536376956,0.02105778455734252,0.4269,-0.011820952097574867,-0.05186286767323811,0.02442525227864582,-0.005029042561848958,0.6244168787107719,-5.022626167442036,5.958683782527876
6,0.0343017578125,-0.035675048828125,-0.12096214294433594,0.04269638061523434,-0.05377960205078125,-0.13332481384277345,0.018678283691406228,4,112,64,89,71,0.019287109375,65,0.0001220703125,-0.020877075195312497,0.0220947265625,1.0,0.002079645792643232,-0.024240763982137044,0.029327122370401984,-0.0019575754801432277,-0.0022698255071641367,-1.4054664652762157,1.3014579892650693
7,0.0345458984375,-0.0349273681640625,-0.12233619689941407,0.0432640075683593,-0.00382232666015625,-0.10212650299072265,0.0983194351196288,5,92,64,5,82,0.03338623046875,71,-0.0032958984375,-0.028811645507812497,0.021609497070312456,0.8063,0.012247085571289066,-0.018311071395874016,0.04137067794799796,-0.015542984008789066,0.8622754491017964,-2.56470504889822,3.3477644805008713
8,0.00433349609375,-0.0001068115234375,-0.08229713439941407,0.0821380615234375,-0.00875091552734375,-0.09505481719970703,0.06921672821044918,7,106,64,44,106,0.019439697265625,111,-0.0075225830078125,-0.045929336547851564,0.022354507446289057,0.7312,0.003964742024739584,-0.020025825500488283,0.027171579996744785,-0.011487325032552082,0.8596338273757629,-4.111761904761904,4.57995327102803
9,0.051513671875,-0.0007476806640625,-0.09068756103515625,0.07602844238281237,0.023471832275390625,-0.03700933456420898,0.07729463577270507,6,93,64,71,67,0.022705078125,70,-0.022064208984375,-0.06055374145507812,0.008670043945312456,0.2433,-0.026386260986328125,-0.05467402140299479,-0.00042018890380865747,0.004322052001953125,-0.9400292540224281,-12.187090222576618,10.49009890481654
10,0.0045166015625,-0.04779052734375,-0.13153915405273436,0.019198608398437456,-0.05235862731933594,-0.11800251007080079,0.00457763671875,5,115,64,14,111,0.018768310546875,108,0.00482177734375,-0.03988800048828125,0.03985824584960934,0.8551,0.004656473795572921,-0.05003611246744793,0.04603856404622396,0.0001653035481770839,-0.09209136279188372,-3.7376004216311216,1.8498329285159294
11,-0.00067138671875,0.025739669799804688,-0.04225382804870605,0.09975700378417951,0.0303802490234375,-0.0329925537109375,0.10576248168945307,5,125,64,60,113,0.017669677734375,112,0.012359619140625,-0.02740631103515625,0.059600830078125,0.5875,0.001017252604166666,-0.041504923502604166,0.05093466440836585,0.011342366536458336,0.40683073832245104,-3.1886360368133446,3.925817167153853
12,0.00067138671875,0.0121612548828125,-0.04915657043457031,0.07228202819824217,0.0090179443359375,-0.03821372985839844,0.05401649475097656,7,109,64,69,72,0.0086669921875,68,-0.013986587524414062,-0.0355255126953125,0.00604248046875,0.1983,-0.005729039510091146,-0.030039723714192706,0.019327910741170243,-0.008257548014322914,-1.5509729272419628,-7.938291139240506,8.643140031369807
13,0.0487060546875,0.0659637451171875,-0.01255722045898437,0.16310691833496085,0.0703887939453125,-0.0017711639404296871,0.1594417572021484,6,105,64,10,105,0.02471923828125,110,0.006072998046875,-0.0218505859375,0.03415069580078123,0.6778,0.0033111572265625035,-0.026195017496744792,0.03459269205729165,0.002761840820312502,0.08627791025363105,-0.9191742416092943,1.1515815867301007
14,0.014404296875,0.020172119140625,-0.04697799682617187,0.10065155029296868,-0.0053558349609375,-0.05060081481933593,0.04295387268066406,5,110,64,57,101,0.0159912109375,98,0.0084228515625,-0.01318359375,0.0296630859375,0.4509,0.003163655598958333,-0.025553894042968747,0.029563649495442674,0.005259195963541666,-1.5726495726495726,-7.3673634030069675,7.210281385281328
15,0.03485107421875,0.03961181640625,-0.014206314086914062,0.09355888366699208,0.05022430419921875,-0.0008666992187499984,0.10131072998046875,5,118,64,40,118,0.020904541015625,123,0.05477142333984375,0.013058662414550783,0.09648723602294913,0.0097,0.038804372151692704,-0.0016484578450520866,0.07691297531127926,0.015967051188151043,1.0905362296825156,-1.5802773374948225,6.02896471952864
16,0.0535888671875,0.03155231475830078,-0.016696357727050783,0.0797744035720825,0.003875732421875,-0.060518646240234376,0.06158905029296868,5,95,64,26,65,0.009613037109375,49,0.00626373291015625,-0.004807472229003906,0.01834869384765625,0.2979,0.005405426025390625,-0.015570322672526036,0.02833445866902669,0.000858306884765625,1.6161417322834646,-3.014022147990119,3.6010991655969162
17,0.01531982421875,0.0435028076171875,-0.011950683593749999,0.09576454162597656,0.0573883056640625,0.010390853881835938,0.10546875,5,104,64,9,71,0.012115478515625,78,0.011962890625,-0.00885009765625,0.03277587890625,0.2724,0.010977427164713543,-0.008402506510416664,0.029683462778727215,0.0009854634602864598,0.20845519808561552,-0.2672160251351424,0.8868801499056862
18,0.03936767578125,0.11040115356445312,0.021628379821777344,0.21315441131591795,0.1204071044921875,0.04455270767211914,0.20467758178710938,3,81,64,89,81,0.029388427734375,75,0.0130615234375,-0.0128173828125,0.046878051757812456,0.4651,0.0016832351684570278,-0.0308101733525594,0.03962852160135903,0.011378288269042965,0.10847801292611836,-0.14834582609776778,0.4148184781142104
19,0.02410888671875,0.03493499755859375,-0.043579483032226564,0.1094682693481445,0.05718994140625,-0.02685546875,0.13867645263671868,5,96,64,5,73,0.00775146484375,70,-0.0048675537109375,-0.0222015380859375,0.011719131469726557,0.5898,-0.02191162109375,-0.046600341796875,0.0020042419433593736,0.0170440673828125,-0.08511205976520811,-1.3538963356917104,1.1195690973992831
20,-0.008056640625,0.0111846923828125,-0.040087890625,0.06311187744140623,-0.0060882568359375,-0.05279808044433593,0.040057373046874956,5,118,64,38,110,0.04351806640625,111,0.02831268310546875,-0.0035177230834960937,0.06301364898681637,0.1061,0.031857808430989586,-1.1825561523438042e-05,0.06721185048421217,-0.003545125325520834,-4.650375939849624,-18.198222360829565,18.545808580858065
21,0.02044677734375,0.00724029541015625,-0.056764411926269534,0.066636848449707,0.004241943359375,-0.0529205322265625,0.05723609924316406,5,99,64,48,87,0.01129150390625,74,-0.01116943359375,-0.0272216796875,0.003968811035156228,0.1637,-0.01200103759765625,-0.030658022562662757,0.005249532063802076,0.0008316040039062509,-2.633093525179856,-7.719303338171262,6.676649048625761
