layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.0037841796875,0.0003662109375,-0.0126953125,0.013427734375,0.012451171875,-0.00244140625,0.02734375,7,171,128,93,162,0.005859375,153,-0.00341796875,-0.01171875,0.005126953125,0.4568,-0.011067708333333332,-0.020914713541666664,-0.0017069498697916945,0.007649739583333331,-0.27450980392156865,-3.375625,2.0556372549019595
1,0.00537109375,0.002685546875,-0.012701416015624998,0.01806640625,0.0048828125,-0.009039306640624998,0.019287109375,2,168,128,83,168,0.0015869140625,163,0.002197265625,-0.007080078125,0.01171875,0.6877,-0.004313151041666666,-0.014729817708333334,0.005698649088541638,0.006510416666666668,0.45,,
2,-0.0009765625,-0.00341796875,-0.018310546875,0.01220703125,0.00830078125,-0.006591796875,0.023193359375,4,230,128,125,230,0.0076904296875,227,0.004638671875,-0.007568359375,0.017578125,0.5079,-0.0039062499999999974,-0.015462239583333332,0.008789062499999998,0.008544921875,0.5588235294117647,,
3,0.0040283203125,-0.0009765625,-0.015869140625,0.013916015625,0.001220703125,-0.015625,0.01806640625,2,186,128,25,186,0.00830078125,178,0.0078125,-0.001220703125,0.017578125,0.1045,0.0015462239583333348,-0.007486979166666666,0.0107421875,0.006266276041666668,6.4,,
4,0.015380859375,0.0087890625,-0.00732421875,0.025146484375,0.02099609375,0.004144287109375002,0.038818359375,4,177,128,91,177,0.00244140625,174,0.0,-0.010009765625,0.010009765625,1.0,-0.005777994791666666,-0.01570638020833333,0.004638671875,0.005777994791666666,0.0,-1.0227404862579281,0.5573961113229123
5,0.01318359375,0.01806640625,-0.000244140625,0.038330078125,0.0238037109375,0.0057373046875,0.041748046875,2,177,128,80,177,0.0087890625,178,0.002685546875,-0.0087890625,0.013916015625,0.6712,-0.007324218750000002,-0.019449869791666668,0.004882812499999998,0.010009765625,0.11282051282051282,,
6,0.0220947265625,0.022705078125,0.00244140625,0.044677734375,0.030517578125,0.009033203125,0.05419921875,4,187,128,89,172,0.0068359375,157,0.00341796875,-0.004638671875,0.01171875,0.4511,-0.010416666666666666,-0.021240234375,0.0002441406250000011,0.013834635416666666,0.112,-0.25806451612903225,0.4767821031344787
7,0.010986328125,0.02294921875,0.00146484375,0.047119140625,0.032958984375,0.007080078125,0.065185546875,5,170,128,5,170,0.0152587890625,173,0.00634765625,-0.005126953125,0.018310546875,0.3124,-0.005126953125,-0.01806844075520833,0.007893880208333332,0.011474609375,0.1925925925925926,-0.28131334459459456,0.7727639296187677
8,0.006591796875,0.0087890625,-0.0107421875,0.030517578125,0.022705078125,0.001220703125,0.046630859375,5,183,128,44,176,0.0054931640625,174,0.006591796875,-0.00341796875,0.0166015625,0.2237,-0.0013020833333333326,-0.011962890624999998,0.008951822916666668,0.007893880208333332,0.2903225806451613,-0.4666666666666667,1.396548027444249
9,0.0140380859375,0.01416015625,-0.005615234375,0.034423828125,0.01513671875,-0.003662109375,0.03516235351562491,4,243,128,71,135,0.005859375,142,0.006591796875,-0.00634765625,0.02001953125,0.3609,-0.0008138020833333313,-0.014162190755208333,0.012776692708333336,0.007405598958333333,0.43548387096774194,-2.235661764705882,3.201249999999982
