layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.013916015625,0.001220703125,-0.017333984375,0.01953125,-0.0009765625,-0.0224609375,0.02099609375,6,82,64,93,78,0.00830078125,79,-0.0185546875,-0.03125,-0.005859375,0.0067,-0.013020833333333332,-0.028645833333333332,0.002929687499999999,-0.005533854166666667,19.0,-40.0,19.0
1,0.01806640625,-0.01318359375,-0.03759765625,0.0107421875,-0.0087890625,-0.02783203125,0.01025390625,2,83,64,86,75,0.0048828125,64,-0.001953125,-0.01513671875,0.010754394531249822,0.8293,0.0008138020833333335,-0.015136718750000002,0.01611328125,-0.002766927083333333,0.2222222222222222,,
2,0.01318359375,-0.00439453125,-0.02880859375,0.0205078125,0.00146484375,-0.02294921875,0.02587890625,4,113,64,117,85,0.017578125,82,-0.0166015625,-0.02978515625,-0.00390625,0.0155,-0.006347656250000002,-0.022623697916666668,0.009769694010416607,-0.01025390625,-11.333333333333334,-30.0,18.0
3,0.012939453125,-0.01513671875,-0.037109375,0.0068359375,-0.01708984375,-0.0380859375,0.0048828125,2,98,64,25,98,0.00439453125,85,0.00537109375,-0.00634765625,0.017578125,0.4203,0.014811197916666668,0.0029296875,0.02685546875,-0.009440104166666668,-0.3142857142857143,-3.75,3.4
4,0.009765625,0.0048828125,-0.0205078125,0.033203125,-0.001953125,-0.0263671875,0.02490234375,4,88,64,111,83,0.011962890625,82,-0.0146484375,-0.02587890625,-0.00390625,0.0107,-0.006184895833333332,-0.020345052083333332,0.008300781249999997,-0.008463541666666666,7.5,-22.512499999999996,14.0
5,0.04248046875,-0.01904296875,-0.044921875,0.0048828125,-0.016357421875,-0.03759765625,0.004638671875,2,93,64,80,93,0.0126953125,85,-0.0048828125,-0.01953125,0.009765625,0.5613,0.006510416666666666,-0.008789062499999998,0.022786458333333336,-0.011393229166666666,0.29850746268656714,-2.4011111111111108,2.9166666666666665
6,0.026611328125,0.00341796875,-0.02490234375,0.033203125,0.00048828125,-0.02490234375,0.02587890625,4,99,64,23,85,0.014404296875,88,-0.01318359375,-0.02880859375,0.001953125,0.1044,-0.007161458333333334,-0.023274739583333336,0.008626302083333334,-0.006022135416666666,-27.0,,
7,0.03173828125,-0.021484375,-0.0478515625,0.00439453125,-0.01220703125,-0.039562988281249996,0.015625,5,83,64,45,80,0.01025390625,71,0.0029296875,-0.009765625,0.01513671875,0.7019,0.010253906249999998,-0.004231770833333334,0.0244140625,-0.00732421875,-0.24,,
8,0.009765625,-0.0068359375,-0.03662109375,0.0244140625,0.0087890625,-0.016613769531249996,0.037109375,5,92,64,44,92,0.012939453125,84,-0.005859375,-0.01904296875,0.0068359375,0.4175,-8.673617379884035e-19,-0.012858072916666668,0.012858072916666664,-0.005859374999999998,-0.6666666666666666,,
9,0.023681640625,-0.01220703125,-0.0400390625,0.015625,0.01220703125,-0.012707519531249996,0.03956298828124982,5,116,64,0,116,0.01708984375,121,-0.00341796875,-0.02001953125,0.01318359375,0.722,0.00016276041666666565,-0.014811197916666668,0.015629069010416607,-0.0035807291666666652,-0.28,,
10,0.00439453125,-0.0205078125,-0.04052734375,-0.0009765625,-0.02587890625,-0.047375488281249996,-0.0029296875,4,113,64,18,88,0.013916015625,87,-0.00830078125,-0.02392578125,0.005859375,0.3167,-0.012044270833333337,-0.026692708333333336,0.001627604166666667,0.003743489583333335,0.32075471698113206,-0.5556666666666666,1.4001851851851823
11,0.000732421875,-0.0283203125,-0.05419921875,-0.0029296875,-0.01904296875,-0.04443359375,0.00537109375,6,121,64,86,83,0.00830078125,75,-0.00439453125,-0.0166015625,0.00732421875,0.5269,-0.0003255208333333339,-0.016438802083333332,0.015462239583333334,-0.004069010416666666,0.23076923076923078,,
12,0.01318359375,-0.01318359375,-0.04052734375,0.013671875,-0.02587890625,-0.0517578125,0.0,7,102,64,2,102,0.01416015625,102,-0.013671875,-0.0302734375,0.00146484375,0.097,-0.01611328125,-0.029459635416666668,-0.0027669270833333356,0.0024414062500000017,0.5283018867924528,-0.5457070707070706,2.5714285714285716
13,0.005615234375,-0.02294921875,-0.04931640625,0.00341796875,-0.0205078125,-0.046875,0.00537109375,6,114,64,44,103,0.01123046875,99,0.0068359375,-0.01220703125,0.0244140625,0.4959,0.007486979166666669,-0.010579427083333332,0.024251302083333336,-0.0006510416666666659,-0.3333333333333333,-5.626041666666667,4.002272727272694
14,0.027587890625,-0.0126953125,-0.0400390625,0.016125488281249822,0.001953125,-0.02392578125,0.02734375,6,103,64,28,80,0.007080078125,82,-0.00244140625,-0.01513671875,0.010266113281249822,0.7623,-0.006022135416666666,-0.01806640625,0.006347656249999999,0.003580729166666668,-1.25,,
15,0.025390625,0.01806640625,-0.0107421875,0.046875,0.00732421875,-0.02099609375,0.03662109375,6,126,64,40,126,0.013427734375,125,-0.001953125,-0.02587890625,0.0224609375,0.9031,0.0042317708333333304,-0.018558756510416673,0.02897542317708328,-0.006184895833333333,-0.26666666666666666,,
16,0.0341796875,0.02685546875,-0.00732421875,0.06103515625,0.03271484375,-0.00146484375,0.0673828125,5,97,64,30,77,0.0087890625,82,0.01611328125,0.00244140625,0.03076171875,0.0301,0.012451171875,-0.00227864583333333,0.028483072916666664,0.0036621093749999996,0.4925373134328358,-0.5602857142857143,2.4767857142857057
17,0.04443359375,-0.01953125,-0.046875,0.00927734375,-0.0146484375,-0.04150390625,0.01318359375,6,88,64,103,74,0.0146484375,65,-0.00439453125,-0.01611328125,0.00634765625,0.4999,0.005533854166666665,-0.008467610677083333,0.019205729166666668,-0.009928385416666668,0.3,,
18,0.020751953125,-0.01513671875,-0.05615234375,0.02490234375,-0.0068359375,-0.04296875,0.0283203125,4,82,64,22,64,0.01318359375,59,0.00244140625,-0.013684082031249996,0.0185546875,0.8109,-0.002604166666666667,-0.020674641927083334,0.014973958333333334,0.005045572916666666,-0.35714285714285715,,
19,0.01171875,-0.03662109375,-0.06787109375,-0.006823730468750178,-0.03466796875,-0.0654296875,-0.00390625,5,83,64,82,65,0.016845703125,71,0.0,-0.012219238281249996,0.01220703125,1.0,0.01806640625,0.0029296875000000017,0.03255208333333333,-0.01806640625,-0.0,-0.9285714285714286,0.44843260188087547
