layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.0394287109375,0.0015869140625,-0.036865234375,0.0382080078125,0.0147705078125,-0.021487426757812497,0.0506591796875,8,88,64,120,82,0.022979736328125,76,0.0087890625,-0.009777832031249996,0.0283203125,0.4104,0.007609049479166669,-0.010499064127604167,0.02612406412760415,0.0011800130208333326,0.5950413223140496,-5.1450549450549445,5.875493421052624
1,0.0169677734375,0.0111083984375,-0.029296875,0.052734375,0.0198974609375,-0.0211181640625,0.062014770507812456,3,90,64,83,90,0.024810791015625,83,-0.001953125,-0.034924316406249996,0.028076171875,0.9139,-0.0177001953125,-0.052490234374999986,0.01432393391927082,0.0157470703125,-0.09815950920245399,-6.520555555555554,5.968032786885234
2,0.017333984375,0.0491943359375,0.0028076171875,0.092041015625,0.047607421875,0.00244140625,0.09229125976562491,4,106,64,125,106,0.0043182373046875,109,-0.001708984375,-0.017584228515624998,0.0146484375,0.8616,-0.0034179687499999983,-0.019449869791666664,0.012451171874999997,0.0017089843749999978,-0.035897435897435895,-1.028818681318681,0.4318474695407681
3,0.0081787109375,-0.008636474609375,-0.06015090942382813,0.042758178710937456,-0.00921630859375,-0.0546905517578125,0.03809051513671868,3,98,64,1,68,0.015625,56,0.000244140625,-0.013671875,0.01513671875,1.0,-0.006144205729166668,-0.022989908854166668,0.009930419921874972,0.006388346354166668,-0.026490066225165563,-3.052982456140351,3.4298941798941605
4,0.0245361328125,-0.0045166015625,-0.04150390625,0.033203125,0.017333984375,-0.014404296875,0.05029296875,4,92,64,113,76,0.0064697265625,88,0.0,-0.015872192382812497,0.017333984375,1.0,-0.0008951822916666661,-0.017254638671874996,0.015869140625000003,0.0008951822916666674,0.0,-4.0008333333333335,3.5
5,0.02752685546875,0.0115966796875,-0.024172973632812497,0.04736328125,0.005615234375,-0.025146484375,0.037841796875,2,90,64,80,90,0.005218505859375,87,0.014892578125,0.0,0.030517578125,0.0627,0.009521484375000002,-0.0087890625,0.02742716471354164,0.005371093749999998,2.652173913043478,-12.0,14.674999999999878
6,0.04773712158203125,0.0032958984375,-0.0338134765625,0.04004516601562491,0.033447265625,0.000732421875,0.06640625,3,78,64,89,73,0.012451171875,81,0.006103515625,-0.010992431640624998,0.02392578125,0.5181,0.00040690104166666696,-0.0193695068359375,0.020833333333333336,0.005696614583333332,0.18248175182481752,-0.7333333333333333,1.1819023569023557
7,0.03094482421875,-0.0045166015625,-0.048828125,0.035281372070312456,0.0020751953125,-0.034429931640624994,0.038699340820312456,4,83,64,5,82,0.007598876953125,91,0.00634765625,-0.0146484375,0.02685546875,0.562,-0.006022135416666663,-0.026696777343750002,0.013264973958333336,0.012369791666666664,3.0588235294117645,-6.4,7.333333333333333
8,0.05029296875,0.0135498046875,-0.021487426757812497,0.048709106445312456,0.014404296875,-0.0166015625,0.04639282226562491,5,116,64,127,92,0.0146484375,82,0.007080078125,-0.00732421875,0.0224609375,0.3829,0.002075195312500001,-0.013917032877604166,0.01823018391927082,0.005004882812500002,0.4915254237288136,-4.333333333333333,6.143452380952373
9,0.01385498046875,-0.0052490234375,-0.0421173095703125,0.030886840820312456,-0.001708984375,-0.038330078125,0.035400390625,4,94,64,111,94,-0.002685546875,82,0.00244140625,-0.01318359375,0.01708984375,0.8124,-0.0081787109375,-0.026368204752604166,0.009237670898437486,0.0106201171875,-1.4285714285714286,,
