layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.035675048828125,0.0065765380859375,-0.022462081909179688,0.03501930236816406,0.011081337928771973,-0.0179470419883728,0.04028490185737607,8,170,128,61,139,0.0162811279296875,125,0.004123330116271973,-0.006252646446228027,0.014106711745262136,0.4486,0.006258646647135418,-0.006490580240885417,0.018913777669270826,-0.0021353165308634426,0.3720967759286552,-3.702480601267009,3.818393714054519
1,0.01837158203125,0.0125579833984375,-0.019044113159179688,0.04395408630371081,0.0026584863662719727,-0.025661826133728027,0.03149651587009426,3,172,128,83,172,0.0153045654296875,162,-0.011806845664978027,-0.030877724289894104,0.004855751991271973,0.217,-0.011979341506958008,-0.03008336623509725,0.004785490036010734,0.00017249584197998025,-4.44119097798305,-11.975189442891043,15.167334347532107
2,0.03265380859375,0.00811767578125,-0.022471237182617183,0.038834381103515614,0.0034824609756469727,-0.027096152305603027,0.032596907019615165,5,220,128,125,220,0.00984954833984375,228,-0.0026477575302124023,-0.0159912109375,0.0107421875,0.7143,-0.0007336934407552076,-0.012331358591715497,0.010945638020833332,-0.0019140640894571939,-0.7603121897785232,-5.586590713082111,5.649965888019393
3,0.0186309814453125,0.019561767578125,-0.018999862670898437,0.05827445983886717,0.016177773475646973,-0.01900949776172638,0.05179322659969328,2,180,128,76,139,-0.0025634765625,141,-0.0042724609375,-0.0146484375,0.006591796875,0.4407,-0.0016266107559204119,-0.01538187662760417,0.012044270833333332,-0.0026458501815795903,-0.26409449631196164,-3.8364772902232485,4.0376601770165665
4,0.012939453125,0.0105743408203125,-0.012574386596679686,0.033447265625,0.013591408729553223,-0.0101318359375,0.037030920386314364,5,170,128,102,130,0.0105133056640625,107,0.0014911890029907227,-0.007176461815834046,0.010280251502990723,0.7504,0.0039043426513671884,-0.007853237787882484,0.01570725440979003,-0.002413153648376465,0.10971555875207213,-2.328015848449204,2.640710037306433
5,0.027923583984375,0.0102691650390625,-0.012421035766601562,0.0317562103271484,0.010945916175842285,-0.011270880699157715,0.033448296785354596,2,182,128,111,175,-6.103515625e-05,171,-0.006172537803649902,-0.018867850303649902,0.005669209361076341,0.3287,-0.005133310953776041,-0.019050184885660806,0.007596333821614582,-0.0010392268498738604,-0.5639123947680814,-8.075282385257823,8.547565913829194
6,0.030673980712890625,0.02956390380859375,0.002461242675781251,0.055420494079589835,0.03309977054595947,0.009782692790031433,0.05714762210845947,3,174,128,23,174,0.0113677978515625,154,-0.0021785497665405273,-0.01373826563358307,0.008544921875,0.7189,-0.004974285761515299,-0.01735417048136393,0.007040152947107939,0.002795735994974771,-0.06581766974836221,-0.7385848644561234,0.2843433373714974
7,0.008819580078125,0.0169525146484375,-0.0126953125,0.04466285705566406,0.0013920068740844727,-0.023144125938415527,0.025025054812431325,4,187,128,5,187,0.0029449462890625,172,-0.00037610530853271484,-0.015046641230583191,0.014394402503967285,0.9622,0.0046799977620442705,-0.010579427083333332,0.019817717870076485,-0.005056103070576988,-0.27018926094031004,-5.787152434930289,7.753847327135331
8,0.00445556640625,0.0262908935546875,0.0005298614501953139,0.05144348144531241,0.009341835975646973,-0.015322297811508177,0.034423828125,5,228,128,38,228,0.00390625,227,0.0008796453475952148,-0.014379772543907165,0.016138434410095215,0.9105,0.0019125143686930315,-0.013713500897089639,0.017742290099461856,-0.001032869021097819,0.09416193453710202,-4.650416666666667,6.1140468157925945
9,0.042205810546875,-0.015716552734375,-0.04269485473632813,0.007568359375,-0.017242789268493652,-0.04278863966464996,0.007386082410812355,5,172,128,71,148,0.0067138671875,137,-0.007549643516540527,-0.02034877836704254,0.0044324308633804255,0.2395,-0.007129669189453126,-0.0212092399597168,0.006095409393310538,-0.00041997432708740234,0.43784351817924133,-2.8227200505416667,4.654166666666662
