layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,-0.004150390625,0.040863037109375,-0.008607482910156249,0.10141067504882811,0.056952714920043945,0.006218475103378298,0.118408203125,8,85,64,120,76,0.021484375,81,-0.004936933517456055,-0.027587890625,0.017064040899276725,0.6782,-0.0237884521484375,-0.07553545633951823,0.012466812133789057,0.018851518630981445,-0.0866847791959879,-0.8760888308543797,0.5157773504718897
1,0.020263671875,0.018402099609375,-0.031620025634765625,0.07193450927734368,0.009589433670043945,-0.03952381610870361,0.06605657339096066,3,89,64,122,75,0.02294921875,87,0.0031807422637939453,-0.01780843734741211,0.027099609375,0.7885,0.005770524342854819,-0.014243570963541667,0.028196044762929202,-0.002589782079060873,0.33169239949280227,-5.232692307692307,5.880406737612586
2,0.031524658203125,0.029754638671875,-0.028201293945312497,0.08786087036132811,0.019232988357543945,-0.03521512150764465,0.07934774756431577,6,111,64,117,88,0.011962890625,81,0.005645036697387695,-0.016727983951568604,0.03442457318305968,0.789,-0.007680257161458336,-0.02867711385091146,0.01198476155598956,0.013325293858846027,0.2935080390236646,-3.7322475026135438,3.445231338858341
3,0.040313720703125,0.007415771484375,-0.07706604003906249,0.07946929931640623,0.014472246170043945,-0.06683133244514465,0.08856892585754395,2,96,64,25,96,0.003662109375,90,-0.01450037956237793,-0.030517578125,0.0011270225048064836,0.084,-0.024943033854166664,-0.0435394287109375,-0.0074442545572917,0.010442654291788736,-1.001943954794814,-6.633841780886756,5.8590661400137565
4,0.0009765625,-0.002899169921875,-0.05169754028320313,0.04474105834960934,0.030966997146606445,-0.01582590341567993,0.07877969741821289,4,92,64,111,89,0.002685546875,82,0.0017464160919189453,-0.01904296875,0.02294921875,0.8901,-0.00026321411132812587,-0.02188835144042969,0.019982337951660142,0.0020096302032470677,0.05639604265311622,-2.5269122541498836,2.4002624068495284
5,0.01025390625,0.019683837890625,-0.020233917236328124,0.061187744140625,0.03385472297668457,-0.005859375,0.0756917595863341,2,90,64,80,89,-0.00146484375,89,0.0022509098052978516,-0.01953125,0.02490234375,0.846,-0.005047162373860674,-0.028323896725972495,0.018634517987569172,0.007298072179158531,0.06648732015465116,-1.9397334836145017,1.9389441233494724
6,0.01513671875,0.0022430419921875,-0.049198150634765625,0.0543670654296875,0.037757158279418945,-0.0074570000171661375,0.08552526235580443,3,88,64,23,88,0.006591796875,81,-0.0010612010955810547,-0.014366865158081055,0.012000322341918945,0.8891,-0.01662174860636393,-0.03495236635208129,0.0006525715192158813,0.015560547510782875,-0.028105957755817257,-1.5114262811106514,0.9297716662283396
7,-0.005126953125,0.008148193359375,-0.040898895263671874,0.054443359375,-0.006615400314331055,-0.0546875,0.039750766754150346,4,90,64,33,90,0.011474609375,87,-0.0035941600799560547,-0.024101972579956055,0.015448808670043945,0.75,-0.003747304280598959,-0.024739678700764975,0.016187222798665364,0.00015314420064290596,0.5433019785922802,-4.957338298285609,5.668329558580584
8,-0.001953125,0.018768310546875,-0.018250274658203124,0.057131958007812456,0.030402421951293945,-0.00901937484741211,0.06982421875,6,111,64,38,111,0.01611328125,118,0.00481104850769043,-0.016969567537307738,0.02683454751968383,0.6733,0.0060222943623860666,-0.015220129489898681,0.027592432498931826,-0.0012112458546956364,0.15824556725769898,-2.087796615043613,1.8786113184760582
9,-0.008056640625,0.02337646484375,-0.03527984619140625,0.09570465087890623,0.030455827713012695,-0.023015528917312622,0.09515463709831236,5,86,64,43,64,0.006591796875,61,-0.005881071090698242,-0.020817041397094727,0.008257389068603516,0.4354,-0.018626530965169273,-0.03661179542541504,-0.0009670257568359382,0.012745459874471027,-0.19310166665361944,-4.0,3.2151785714285586
