model,label,protocol,intended,base,case_set,L_star,layer_rescue,layer_lo,layer_hi,selected_expert,n_candidates,disc_active,val_active,expert_rescue,expert_lo,expert_hi,spec,spec_lo,spec_hi,coalition_clean,coalition_union,joint_winner,joint_rescue,joint_spec,joint_differs,val_delta_clean,val_drop,layer_rescue_over_drop,expert_rescue_over_drop,sink_final_frac,sink_final_self_attn,sink_layer,funnel_pass,pattern,stability_ref
qwen3,Qwen3-30B-A3B-Base,default,True,True,paper,44,0.94122314453125,0.77764892578125,1.1243331909179686,L44E069,5,114,116,0.49853515625,0.35692138671875,0.6592041015624996,0.4431966145833333,0.30192057291666663,0.60286865234375,0.91644287109375,0.94085693359375,L44E069,0.49853515625,0.4431966145833333,False,5.8896484375,5.62255859375,0.16740121580547113,0.08866695614415979,0.0,0.0,3,234/256,A,25/25
qwen3,Qwen3-30B-A3B-Base,default,True,True,strict,44,0.921142578125,0.734613037109375,1.119390869140625,L44E069,5,117,116,0.47998046875,0.33154296875,0.6489379882812498,0.4207356770833333,0.2675699869791667,0.594746907552083,0.898193359375,0.93017578125,L42E115,0.43359375,0.4091796875,True,6.54638671875,5.619140625,0.1639294403892944,0.08541883906847411,0.0,0.0,3,253/256,A,25/25
qwen3,Qwen3-30B-A3B-Base,default,True,True,relaxed,44,0.7906494140625,0.66771240234375,0.9090576171875,L44E069,5,228,235,0.429443359375,0.330810546875,0.536865234375,0.3636881510416667,0.2633402506510416,0.47306925455729154,0.8026123046875,0.8121337890625,L42E115,0.426025390625,0.3926188151041667,True,6.32958984375,5.56298828125,0.14212674449223206,0.07719652418151497,0.0,0.0,3,486/512,A,25/25
qwen3_instruct,Qwen3-30B-A3B-Instruct-2507,default (= nobos),False,False,paper,44,1.0645751953125,0.9044097900390625,1.2398803710937498,L44E069,5,110,115,0.5491943359375,0.421746826171875,0.6899444580078125,0.46443684895833337,0.3333333333333333,0.6086547851562498,1.064697265625,1.0819091796875,L44E069,0.5491943359375,0.46443684895833337,False,7.133056640625,6.9849853515625,0.1524090805823037,0.07862498033938589,0.0,0.0,3,234/256,A,25/25
qwen3_instruct,Qwen3-30B-A3B-Instruct-2507,default (= nobos),False,False,strict,44,0.964447021484375,0.7882492065429687,1.1478294372558593,L44E069,6,108,108,0.4603271484375,0.3193359375,0.6042510986328125,0.4017588297526042,0.25901590983072914,0.5509972890218099,0.9503173828125,0.972412109375,L44E069,0.4603271484375,0.4017588297526042,False,7.76708984375,6.904388427734375,0.13968608973537303,0.06667167602975561,0.0,0.0,3,254/256,A,25/25
qwen3_instruct,Qwen3-30B-A3B-Instruct-2507,default (= nobos),False,False,relaxed,44,0.8793792724609375,0.758416748046875,1.0025695800781247,L44E069,5,220,214,0.4049072265625,0.3231170654296875,0.49035949707031246,0.34134165445963544,0.25498727162679036,0.43245474497477193,0.86273193359375,0.8746337890625,L44E069,0.4049072265625,0.34134165445963544,False,7.3638916015625,6.6000823974609375,0.133237620305958,0.0613488138751523,0.0,0.0,3,486/512,A,25/25
qwen3_instruct,Qwen3-30B-A3B-Instruct-2507,chat,True,False,paper,44,1.34130859375,1.13377685546875,1.5576293945312498,L44E069,5,112,112,0.7158203125,0.55078125,0.9008911132812498,0.6166178385416666,0.44025675455729163,0.8091166178385412,1.357666015625,1.356689453125,L42E115,0.641845703125,0.6051432291666667,True,8.464599609375,7.97265625,0.16823860852523273,0.0897844194022538,0.0,0.0,3,236/256,A,25/25
qwen3_instruct,Qwen3-30B-A3B-Instruct-2507,chat,True,False,strict,44,1.2568359375,1.04881591796875,1.4721801757812498,L44E069,6,109,111,0.609375,0.45166015625,0.7778442382812498,0.5322265625,0.36588134765625,0.7060831705729163,1.267578125,1.26318359375,L42E115,0.57421875,0.5489908854166667,True,9.160400390625,7.798095703125,0.16117216117216118,0.07814407814407814,0.0,0.0,3,254/256,A,25/25
qwen3_instruct,Qwen3-30B-A3B-Instruct-2507,chat,True,False,relaxed,44,1.144775390625,1.006817626953125,1.284674072265625,L44E069,6,222,222,0.571044921875,0.467034912109375,0.6804260253906249,0.49039713541666663,0.3834574381510416,0.6062886555989582,1.13818359375,1.138916015625,L44E069,0.571044921875,0.49039713541666663,False,8.8814697265625,7.7347412109375,0.14800435585436295,0.07382857503590423,0.0,0.0,3,499/512,A,25/25
qwen3_coder,Qwen3-Coder-30B-A3B-Instruct,default (= nobos),False,False,paper,44,0.96197509765625,0.7789894104003906,1.1524765014648435,L44E069,4,111,110,0.61492919921875,0.47869186401367186,0.763014221191406,0.5508015950520834,0.4126739501953125,0.6991811116536457,0.9890289306640625,0.98828125,L44E069,0.61492919921875,0.5508015950520834,False,5.70404052734375,5.8094482421875,0.16558803135046543,0.10584984555903428,0.0,0.0,2,218/256,A,25/25
