variant,position 0,RoPE pos of 1st content token,strict pass,mean Δ_clean,L* (disc),val rescue @L19,agree@L19 w/ bos (set/top1),agree@L19 w/ nobos (set/top1),E002 active disc/val,E006 active disc/val,selected e* (cands),e* val rescue,e* spec,E006 val rescue / spec,coalition top-k / union
bos,<s> at position 0 (tokenizer default),1,233/256,+6.63,L19,+0.580,1.00/1.00,0.58/0.64,77/84,71/67,E002 (2),"+0.355 [+0.258, +0.463]","+0.201 [+0.103, +0.304]",+0.065 / -0.260,+0.565 / +0.581
nobos,no token (paper protocol),0,249/256,+5.49,L19,+0.431,0.58/0.64,1.00/1.00,59/70,91/84,E006 (1),"+0.061 [-0.010, +0.136]","-0.175 [-0.269, -0.078]",+0.061 / -0.175,+0.429 / +0.431
shift1,"no token, RoPE positions start at 1",1,249/256,+5.49,L19,+0.470,0.58/0.64,0.98/0.99,59/70,90/83,E006 (1),"+0.094 [+0.023, +0.167]","-0.134 [-0.232, -0.034]",+0.094 / -0.134,+0.454 / +0.470
eos,</s> at position 0,1,154/256,+2.57,L21,+0.114,0.39/0.54,0.55/0.78,39/53,95/86,E006 (1),"+0.060 [-0.003, +0.126]","+0.020 [-0.050, +0.096]",+0.060 / +0.020,+0.145 / +0.114
bosbos,<s><s> at positions 0-1,2,232/256,+6.18,L19,+0.583,0.90/0.94,0.57/0.65,78/86,67/66,E002 (2),"+0.367 [+0.266, +0.479]","+0.202 [+0.099, +0.310]",+0.079 / -0.229,+0.561 / +0.582
nl,'\n' at position 0,1,237/256,+6.46,L19,+0.505,0.80/0.88,0.60/0.69,73/80,68/73,E002 (2),"+0.278 [+0.197, +0.364]","+0.103 [+0.017, +0.192]",+0.091 / -0.205,+0.497 / +0.505
dot,'.' at position 0,1,241/256,+5.78,L21,+0.409,0.53/0.63,0.77/0.91,53/61,90/84,E006 (1),"+0.042 [-0.020, +0.100]","-0.210 [-0.306, -0.122]",+0.042 / -0.210,+0.412 / +0.409
comma,"',' at position 0",1,239/256,+6.24,L19,+0.517,0.79/0.87,0.63/0.70,74/78,77/74,E002 (2),"+0.295 [+0.214, +0.386]","+0.125 [+0.034, +0.219]",+0.083 / -0.210,+0.526 / +0.516
the,'the' at position 0,1,235/256,+5.28,L19,+0.367,0.54/0.67,0.78/0.85,60/71,88/88,E006 (1),"+0.073 [+0.017, +0.128]","-0.145 [-0.224, -0.071]",+0.073 / -0.145,+0.369 / +0.367
rare,'workspace' at position 0,1,233/256,+4.72,L21,+0.413,0.52/0.66,0.75/0.88,58/67,92/91,E006 (1),"+0.066 [-0.008, +0.137]","-0.148 [-0.241, -0.060]",+0.066 / -0.148,+0.401 / +0.413
dot2,"'.' (attached form, id 28723) at position 0",1,243/256,+6.41,L19,+0.482,0.77/0.84,0.62/0.71,73/79,70/71,E002 (2),"+0.285 [+0.201, +0.378]","+0.146 [+0.053, +0.248]",+0.067 / -0.225,+0.484 / +0.482
colon,':' at position 0,1,243/256,+6.21,L19,+0.582,0.76/0.86,0.64/0.71,72/83,72/72,E002 (2),"+0.318 [+0.230, +0.414]","+0.118 [+0.024, +0.212]",+0.111 / -0.217,+0.593 / +0.582
of,'of' at position 0,1,241/256,+5.79,L19,+0.561,0.67/0.76,0.59/0.64,67/82,76/78,E002 (2),"+0.313 [+0.231, +0.403]","+0.134 [+0.040, +0.227]",+0.086 / -0.221,+0.541 / +0.561
space,'▁' (lone space) at position 0,1,243/256,+6.31,L19,+0.535,0.79/0.86,0.60/0.70,73/80,73/75,E002 (2),"+0.283 [+0.204, +0.373]","+0.091 [+0.001, +0.184]",+0.101 / -0.202,+0.531 / +0.535
unk,<unk> at position 0,1,141/256,+2.35,L21,+0.100,0.37/0.52,0.48/0.76,39/49,99/88,E006 (1),"+0.005 [-0.054, +0.059]","-0.056 [-0.117, +0.002]",+0.005 / -0.056,+0.094 / +0.100
sinkfull,no token; <s> key+value transplanted as an extra slot,1,234/256,+6.61,L19,+0.583,0.99/1.00,0.57/0.64,77/84,71/68,E002 (2),"+0.360 [+0.262, +0.469]","+0.189 [+0.092, +0.293]",+0.081 / -0.251,+0.553 / +0.583
sinkkey,"no token; <s> KEY transplanted, value = 0 (pure absorber)",1,172/256,+2.90,L19,+0.209,0.37/0.53,0.29/0.50,42/49,84/82,E006 (1),"+0.002 [-0.107, +0.116]","-0.134 [-0.315, +0.047]",+0.002 / -0.134,+0.239 / +0.208
