Category,n,quantity,5 %,25 %,median,75 %,95 %,mean
S1,964,Δ_clean,+8.77,+11.75,+13.56,+15.31,+17.50,+13.45
S1,964,drop,+0.12,+1.75,+4.38,+7.56,+12.38,+5.04
S1,964,drop / Δ_clean (Δ_clean ≥ 1),+0.01,+0.14,+0.32,+0.55,+0.92,+0.38
S2,1200,Δ_clean,-1.00,+1.25,+3.25,+6.12,+9.62,+3.75
S2,1200,drop,-1.00,-0.25,+0.25,+0.75,+2.50,+0.37
S2,940,drop / Δ_clean (Δ_clean ≥ 1),-0.33,-0.05,+0.07,+0.20,+0.43,+0.06
S3,1195,Δ_clean,+0.00,+2.00,+3.75,+6.50,+10.75,+4.46
S3,1195,drop,-1.12,-0.50,+0.12,+1.12,+4.25,+0.62
S3,1050,drop / Δ_clean (Δ_clean ≥ 1),-0.46,-0.12,+0.05,+0.24,+0.56,+0.06
R1,1132,Δ_clean,+1.38,+5.38,+8.12,+10.62,+14.43,+8.05
R1,1132,drop,-0.38,+0.75,+1.88,+4.03,+7.93,+2.69
R1,1083,drop / Δ_clean (Δ_clean ≥ 1),-0.05,+0.11,+0.26,+0.50,+1.15,+0.37
R2,794,Δ_clean,+0.75,+5.25,+7.38,+10.12,+14.81,+7.65
R2,794,drop,-0.75,+0.00,+0.75,+1.81,+5.38,+1.27
R2,750,drop / Δ_clean (Δ_clean ≥ 1),-0.14,+0.02,+0.11,+0.25,+0.57,+0.15
R3,1163,Δ_clean,+0.76,+5.00,+7.62,+10.38,+16.37,+7.84
R3,1163,drop,-0.88,+0.12,+0.88,+2.50,+6.12,+1.60
R3,1099,drop / Δ_clean (Δ_clean ≥ 1),-0.13,+0.02,+0.12,+0.33,+0.82,+0.22
