Category,sub-category,n,median Δ_clean,median drop,paper filter pass,relative-25 % pass,top-1 = true,top-1 starts with true,mean prefix tokens,mean subject tokens
R1,param,505,+13.00,+2.88,79 %,44 %,87 %,87 %,36,1.0
R1,store,623,+12.38,+2.50,80 %,45 %,90 %,90 %,61,1.0
R2,local_dict,94,+14.25,+1.94,79 %,30 %,67 %,67 %,76,9.1
R2,local_list,503,+10.00,+1.25,68 %,24 %,92 %,92 %,75,2.1
R2,local_set,49,+17.69,+4.56,94 %,51 %,88 %,88 %,65,3.2
R2,local_str,30,+15.94,+3.77,87 %,53 %,80 %,80 %,86,13.7
R2,module_math,40,+16.47,+2.09,75 %,22 %,90 %,90 %,29,1.0
R2,module_re,73,+11.25,+2.25,75 %,45 %,99 %,99 %,24,1.0
R3,int,302,+11.06,+0.38,46 %,11 %,86 %,86 %,92,1.0
R3,str,861,+12.75,+1.31,65 %,30 %,87 %,92 %,87,1.0
S1,),798,+13.88,+2.81,84 %,43 %,14 %,88 %,43,1.0
S1,],149,+13.88,+4.12,85 %,60 %,24 %,95 %,58,1.0
S1,},17,+12.12,+3.50,94 %,71 %,6 %,88 %,62,1.0
S2,elif_after_if,228,+2.50,+0.25,27 %,12 %,59 %,59 %,74,1.0
S2,else_after_if,631,+4.25,+0.00,26 %,8 %,80 %,80 %,70,1.0
S2,else_after_try,20,+7.06,+0.19,45 %,15 %,45 %,45 %,75,1.0
S2,except_after_try,291,+12.62,+0.62,52 %,13 %,98 %,98 %,63,1.0
S2,finally_after_try,27,+3.50,+0.25,15 %,7 %,70 %,70 %,70,1.0
S3,elif_colon,35,+3.50,-0.12,29 %,14 %,3 %,100 %,74,1.0
S3,for_in,459,+11.75,+2.19,73 %,41 %,97 %,97 %,51,1.0
S3,if_colon,685,+2.00,-0.25,19 %,10 %,0 %,95 %,50,1.0
S3,while_colon,16,+2.44,+0.12,25 %,12 %,0 %,94 %,58,1.0
