Category,sub-category,n,median Δ_clean,median drop,paper filter pass,relative-25 % pass,top-1 = true,top-1 starts with true,mean prefix tokens,mean subject tokens
R1,param,356,+7.12,+0.38,45 %,18 %,85 %,85 %,47,1.0
R1,store,442,+7.12,+0.50,49 %,24 %,91 %,91 %,73,1.0
R2,local_dict,69,+10.25,+1.00,70 %,20 %,88 %,88 %,89,9.9
R2,local_list,433,+5.38,+0.38,46 %,12 %,92 %,92 %,88,2.4
R2,local_set,40,+10.12,+1.75,90 %,22 %,95 %,95 %,69,2.7
R2,local_str,26,+12.00,+1.66,81 %,31 %,85 %,85 %,103,15.2
R2,module_math,41,+5.50,-0.12,12 %,7 %,85 %,85 %,35,1.0
R2,module_re,58,+2.38,+0.00,16 %,5 %,84 %,84 %,31,1.0
R3,int,235,+6.00,+0.12,33 %,11 %,81 %,81 %,95,1.0
R3,str,565,+7.12,+0.31,42 %,17 %,88 %,89 %,96,1.0
S1,),668,+13.25,+3.00,88 %,47 %,50 %,85 %,51,1.0
S1,],123,+12.56,+2.25,78 %,41 %,63 %,94 %,67,1.0
S2,elif_after_if,152,+0.38,-0.12,6 %,4 %,50 %,50 %,82,1.0
S2,else_after_if,417,+2.50,+0.12,28 %,19 %,82 %,82 %,82,1.0
S2,else_after_try,15,+5.75,+1.38,87 %,33 %,60 %,60 %,92,1.0
S2,except_after_try,198,+7.31,+2.06,86 %,59 %,97 %,97 %,75,1.0
S2,finally_after_try,18,+0.88,+0.44,39 %,39 %,56 %,56 %,91,1.0
S3,elif_colon,26,+5.38,+0.25,31 %,15 %,96 %,96 %,90,1.0
S3,for_in,324,+5.62,+0.38,48 %,19 %,98 %,98 %,59,1.0
S3,if_colon,440,+4.00,-0.12,17 %,6 %,92 %,92 %,57,1.0
S3,while_colon,10,+4.69,+0.00,40 %,20 %,100 %,100 %,61,1.0
