Set,factual expert,disc active,recurrent (≥ threshold),joint rank,val active,val rescue,val Spec
S1,L19E006,13/128,no,-,13/128,"+0.003 [-0.006, +0.012]","-0.032 [-0.071, +0.005]"
S1,L19E002,7/128,no,-,9/128,"+0.004 [-0.016, +0.026]","-0.022 [-0.060, +0.016]"
S1,L18E001,4/128,no,-,5/128,"-0.000 [-0.003, +0.001]","-0.113 [-0.160, -0.066]"
S2,L19E006,73/128,yes,42,67/128,"+0.005 [-0.008, +0.019]","-0.268 [-0.348, -0.194]"
S2,L19E002,128/128,yes,3,128/128,"+0.322 [+0.247, +0.403]","+0.313 [+0.238, +0.395]"
S2,L18E001,0/128,no,-,0/128,0 (never active),n/a
S3,L19E006,9/120,no,-,10/121,"+0.013 [+0.002, +0.030]","-0.137 [-0.203, -0.071]"
S3,L19E002,2/120,no,-,3/121,"+0.002 [+0.000, +0.005]","-0.148 [-0.213, -0.084]"
S3,L18E001,2/120,no,-,0/121,0 (never active),n/a
R1,L19E006,0/128,no,-,0/128,0 (never active),n/a
R1,L19E002,9/128,no,-,5/128,"+0.009 [-0.001, +0.025]","-0.050 [-0.084, -0.016]"
R1,L18E001,120/128,yes,5,123/128,"+0.141 [+0.082, +0.207]","+0.118 [+0.060, +0.185]"
R2,L19E006,26/128,no,-,18/128,"-0.001 [-0.008, +0.005]","-0.067 [-0.104, -0.031]"
R2,L19E002,11/128,no,-,3/128,"+0.002 [-0.001, +0.008]","-0.053 [-0.090, -0.017]"
R2,L18E001,0/128,no,-,0/128,0 (never active),n/a
R3,L19E006,32/128,no,-,33/128,"+0.021 [-0.001, +0.045]","-0.038 [-0.073, -0.001]"
R3,L19E002,15/128,no,-,21/128,"+0.008 [-0.004, +0.020]","-0.047 [-0.083, -0.011]"
R3,L18E001,67/128,yes,7,56/128,"+0.021 [-0.004, +0.049]","-0.011 [-0.043, +0.021]"
all,L19E006,20/128,no,-,33/128,"+0.008 [-0.002, +0.020]","-0.088 [-0.137, -0.041]"
all,L19E002,25/128,no,-,32/128,"+0.044 [+0.011, +0.081]","-0.002 [-0.051, +0.049]"
all,L18E001,37/128,no,-,31/128,"+0.034 [+0.001, +0.072]","-0.049 [-0.100, +0.005]"
