Set,rank,pair,disc active,disc all-case mean,val active,val rescue,val Spec,two-stage
S1,1,L47E025,126/128,+1.182,121/128,"+1.028 [+0.827, +1.246]","+0.869 [+0.678, +1.079]",yes
S1,2,L46E009,125/128,+0.778,125/128,"+0.601 [+0.455, +0.750]","+0.550 [+0.411, +0.697]",
S1,3,L41E108,122/128,+0.771,124/128,"+0.716 [+0.548, +0.909]","+0.711 [+0.541, +0.907]",
S1,4,L45E023,128/128,+0.639,128/128,"+0.594 [+0.433, +0.758]","+0.586 [+0.424, +0.748]",
S1,5,L43E084,117/128,+0.558,112/128,"+0.419 [+0.299, +0.549]","+0.396 [+0.276, +0.530]",
S1,6,L42E048,123/128,+0.417,120/128,"+0.396 [+0.307, +0.489]","+0.369 [+0.281, +0.463]",
S1,7,L44E059,126/128,+0.267,125/128,"+0.169 [+0.085, +0.268]","+0.154 [+0.071, +0.252]",
S1,8,L47E122,111/128,+0.204,103/128,"+0.111 [+0.050, +0.176]","-0.188 [-0.265, -0.114]",
S1,9,L46E085,114/128,+0.195,114/128,"+0.230 [+0.161, +0.304]","+0.169 [+0.090, +0.249]",
S1,10,L47E014,101/128,+0.112,94/128,"+0.140 [+0.103, +0.177]","-0.170 [-0.254, -0.090]",
S2,1,L41E041,128/128,+0.560,126/128,"+0.513 [+0.370, +0.664]","+0.514 [+0.373, +0.663]",
S2,2,L39E092,128/128,+0.297,126/128,"+0.236 [+0.144, +0.333]","+0.232 [+0.146, +0.323]",
S2,3,L43E107,120/128,+0.287,116/128,"+0.136 [+0.054, +0.216]","+0.119 [+0.041, +0.196]",
S2,4,L37E100,125/128,+0.223,127/128,"+0.190 [+0.128, +0.251]","+0.206 [+0.142, +0.272]",
S2,5,L40E099,128/128,+0.220,126/128,"+0.184 [+0.108, +0.263]","+0.169 [+0.097, +0.244]",
S2,6,L42E006,128/128,+0.195,126/128,"+0.203 [+0.134, +0.274]","+0.136 [+0.072, +0.205]",
S2,7,L45E014,108/128,+0.189,104/128,"+0.206 [+0.135, +0.285]","+0.174 [+0.108, +0.248]",
S2,8,L42E020,128/128,+0.163,128/128,"+0.326 [+0.201, +0.455]","+0.286 [+0.170, +0.405]",
