Set,rank,pair,disc active,disc all-case mean,val active,val rescue,val Spec,two-stage
S1,1,L47E025,125/128,+1.008,124/128,"+1.208 [+0.973, +1.473]","+1.113 [+0.884, +1.370]",yes
S1,2,L41E108,125/128,+0.581,121/128,"+0.670 [+0.484, +0.911]","+0.664 [+0.479, +0.903]",
S1,3,L46E009,125/128,+0.579,123/128,"+0.681 [+0.496, +0.895]","+0.660 [+0.476, +0.871]",
S1,4,L45E023,128/128,+0.521,128/128,"+0.550 [+0.399, +0.718]","+0.534 [+0.386, +0.700]",
S1,5,L42E048,126/128,+0.401,124/128,"+0.412 [+0.287, +0.572]","+0.390 [+0.272, +0.538]",
S1,6,L43E084,116/128,+0.387,120/128,"+0.579 [+0.364, +0.866]","+0.565 [+0.351, +0.853]",
S1,7,L46E085,112/128,+0.149,110/128,"+0.133 [+0.071, +0.203]","+0.052 [-0.024, +0.133]",
S1,8,L44E059,124/128,+0.140,124/128,"+0.167 [+0.097, +0.242]","+0.132 [+0.062, +0.203]",
S1,9,L42E085,80/128,+0.065,85/128,"+0.050 [+0.025, +0.077]","-0.011 [-0.045, +0.023]",
S1,10,L45E014,127/128,+0.055,126/128,"+0.083 [+0.052, +0.114]","+0.002 [-0.042, +0.046]",
S2,1,L41E041,127/128,+0.356,128/128,"+0.362 [+0.274, +0.459]","+0.343 [+0.255, +0.441]",
S2,2,L39E092,127/128,+0.305,128/128,"+0.224 [+0.152, +0.301]","+0.202 [+0.132, +0.277]",
S2,3,L37E100,127/128,+0.170,127/128,"+0.113 [+0.067, +0.161]","+0.102 [+0.054, +0.151]",
S2,4,L40E099,127/128,+0.160,128/128,"+0.134 [+0.081, +0.191]","+0.111 [+0.057, +0.168]",
S2,5,L38E034,127/128,+0.146,123/128,"+0.139 [+0.094, +0.187]","+0.129 [+0.085, +0.176]",
S2,6,L42E006,127/128,+0.135,128/128,"+0.122 [+0.063, +0.180]","+0.108 [+0.051, +0.166]",
S2,7,L45E014,98/128,+0.094,92/128,"+0.045 [+0.017, +0.074]","+0.029 [-0.003, +0.061]",
S2,8,L47E077,68/128,+0.093,64/128,"+0.055 [+0.019, +0.091]","+0.057 [+0.016, +0.098]",yes
S2,9,L43E107,113/128,+0.078,116/128,"+0.156 [+0.074, +0.245]","+0.151 [+0.071, +0.237]",
S2,10,L42E002,79/128,+0.070,72/128,"+0.083 [+0.052, +0.115]","+0.059 [+0.024, +0.093]",
S3,1,L47E014,111/128,+0.784,120/128,"+0.773 [+0.585, +0.981]","+0.703 [+0.519, +0.908]",yes
S3,2,L3E057,88/128,+0.147,83/128,"+0.146 [+0.044, +0.266]","+0.111 [+0.025, +0.209]",
