layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_spec,val_spec_lo,val_spec_hi,val_control,val_rescue_p,concentration,concentration_lo,concentration_hi
0,-0.00146484375,0.02294921875,-0.02734375,0.07716064453124982,-0.015625,-0.065191650390625,0.03369750976562491,0,39,64,,,,,,,,,,,,,,,
1,0.008544921875,-0.0048828125,-0.057379150390624994,0.051513671875,-0.062255859375,-0.132086181640625,-0.001708984375,0,54,64,,,,,,,,,,,,,,,
2,-0.012939453125,-0.04736328125,-0.126226806640625,0.01904907226562491,-0.00390625,-0.053717041015624994,0.04956665039062491,1,118,64,26.0,118.0,-0.012451171875,123.0,-0.03662109375,-0.0810546875,0.005615234375,-0.025960286458333332,-0.06380615234374999,0.009847005208333332,-0.01066080729166667,0.0957,9.375,-22.756249999999998,19.172499999999918
3,0.021728515625,-0.003173828125,-0.051763916015624994,0.050048828125,0.015869140625,-0.0361328125,0.0830078125,0,51,64,,,,,,,,,,,,,,,
4,0.002197265625,-0.010009765625,-0.068609619140625,0.05176391601562491,0.0126953125,-0.05029296875,0.0908203125,1,72,64,84.0,72.0,-0.0078125,82.0,0.020263671875,-0.03369140625,0.08984375,0.014973958333333336,-0.027183024088541667,0.05745442708333333,0.005289713541666661,0.6179,1.5961538461538463,-7.942647058823529,10.668749999999969
5,0.007080078125,0.0146484375,-0.044927978515624994,0.073486328125,0.002197265625,-0.060314941406249996,0.07105102539062491,0,51,64,,,,,,,,,,,,,,,
6,-0.004150390625,0.008056640625,-0.052252197265624994,0.0634765625,-0.034423828125,-0.09326171875,0.02197265625,1,84,64,27.0,84.0,-0.039794921875,77.0,-0.001708984375,-0.03662109375,0.031005859375,0.010579427083333332,-0.027427164713541667,0.04866943359374995,-0.012288411458333334,0.9345,0.04964539007092199,-3.279166666666666,3.6062316715542497
7,0.04150390625,-0.077392578125,-0.156256103515625,-0.01318359375,-0.01611328125,-0.073486328125,0.04590454101562491,0,57,64,,,,,,,,,,,,,,,
8,0.01171875,0.00439453125,-0.039074707031249996,0.048828125,0.031494140625,-0.0244140625,0.09985961914062491,2,87,64,7.0,79.0,0.005615234375,88.0,-0.02099609375,-0.055426025390624994,0.011962890625,-0.0030110677083333348,-0.055346679687500004,0.047037760416666664,-0.01798502604166667,0.2368,-0.6666666666666666,-8.889583333333334,7.700357142857138
9,0.0185546875,-0.006591796875,-0.077154541015625,0.061767578125,-0.047607421875,-0.096441650390625,0.006109619140624911,0,56,64,,,,,,,,,,,,,,,
10,-0.023193359375,-0.03857421875,-0.116455078125,0.02661743164062491,-0.01611328125,-0.067388916015625,0.03515625,0,62,64,,,,,,,,,,,,,,,
11,-0.007568359375,0.004638671875,-0.050537109375,0.05469360351562491,0.01416015625,-0.055908203125,0.09375,1,69,64,10.0,69.0,0.03125,77.0,0.006591796875,-0.052008056640624994,0.081787109375,0.020345052083333332,-0.031089274088541664,0.07413940429687498,-0.013753255208333334,0.8868,0.46551724137931033,-7.001999999999999,7.930357142857117
12,0.017822265625,-0.010986328125,-0.065435791015625,0.04443359375,-0.01806640625,-0.062255859375,0.02783203125,1,73,64,82.0,73.0,0.01806640625,70.0,0.019287109375,-0.026611328125,0.0771484375,0.029703776041666668,-0.025390625,0.09358723958333334,-0.01041666666666667,0.5361,-1.0675675675675675,-14.666666666666666,16.911363636363603
13,0.028564453125,0.0380859375,-0.0166015625,0.098388671875,0.050537109375,-0.017578125,0.13551025390624982,1,67,64,30.0,67.0,0.0322265625,57.0,0.00244140625,-0.026867675781249996,0.03125,-0.0046386718750000035,-0.047039794921874996,0.03760172526041661,0.007080078125000001,0.9002,0.04830917874396135,-2.4216374269005847,2.297584541062783
14,0.025390625,-0.023681640625,-0.0732421875,0.0283203125,0.00537109375,-0.0634765625,0.08692626953124982,2,90,64,65.0,75.0,0.036865234375,74.0,0.031982421875,-0.000982666015624998,0.06836547851562491,0.03556315104166667,-0.008304850260416665,0.0788594563802083,-0.003580729166666666,0.0752,5.954545454545454,-11.564508928571428,16.504166666666606
15,0.009033203125,0.0244140625,-0.0302734375,0.08350219726562491,0.034423828125,-0.028076171875,0.103515625,3,106,64,74.0,79.0,0.054931640625,97.0,-0.00439453125,-0.04345703125,0.03759765625,-0.02986653645833333,-0.06942138671874999,0.009279378255208304,0.025472005208333336,0.8537,-0.1276595744680851,,
16,0.00537109375,0.01123046875,-0.041265869140624994,0.0693359375,0.03564453125,-0.034918212890624994,0.11377563476562491,3,91,64,125.0,82.0,0.02392578125,90.0,-0.00048828125,-0.03857421875,0.0361328125,-0.023193359374999997,-0.06656901041666667,0.015789794921874968,0.022705078124999993,1.0,-0.0136986301369863,-4.8753472222222225,4.0
17,0.03515625,0.036865234375,-0.01708984375,0.09521484375,0.021240234375,-0.047125244140624994,0.09815063476562491,2,118,64,23.0,118.0,0.01220703125,121.0,0.009521484375,-0.041259765625,0.057861328125,-0.01765950520833333,-0.08374226888020833,0.035970052083333336,0.02718098958333333,0.7233,0.4482758620689655,-8.250892857142857,9.546103896103887
18,-0.025390625,-0.03515625,-0.10205078125,0.02490234375,0.019287109375,-0.039306640625,0.078857421875,1,64,64,8.0,64.0,0.001953125,50.0,0.0224609375,-0.005859375,0.05615234375,-0.013020833333333325,-0.061281331380208325,0.037516276041666664,0.03548177083333333,0.1799,1.1645569620253164,-10.857142857142858,11.572142857142847
19,0.0283203125,0.01025390625,-0.07618408203124999,0.0869140625,0.01318359375,-0.03759765625,0.05908203125,0,57,64,,,,,,,,,,,,,,,
