layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_spec,val_spec_lo,val_spec_hi,val_control,val_rescue_p,concentration,concentration_lo,concentration_hi
0,0.50341796875,0.419677734375,0.16209716796875,0.743896484375,0.488525390625,0.20750732421875,0.8383850097656249,0,35,64,,,,,,,,,,,,,,,
1,0.4664306640625,0.291259765625,0.107659912109375,0.5595703125,0.314697265625,0.1064453125,0.6167236328124996,0,37,64,,,,,,,,,,,,,,,
2,0.225830078125,0.164306640625,0.012939453125,0.3757385253906249,0.192626953125,0.023669433593750004,0.4292114257812498,2,101,64,96.0,88.0,0.069091796875,88.0,0.01708984375,-0.016845703125,0.05029296875,-0.009358723958333334,-0.04939982096354167,0.02897338867187497,0.026448567708333336,0.3207,0.08871989860583017,-0.17278798384170815,0.5537193973634644
3,0.4288330078125,0.28857421875,0.084454345703125,0.5603210449218747,0.30029296875,0.092041015625,0.5850097656249993,0,57,64,,,,,,,,,,,,,,,
4,0.260009765625,0.096923828125,-0.020513916015624998,0.26416015625,0.13818359375,0.02001953125,0.3056701660156249,2,98,64,36.0,82.0,0.07177734375,93.0,0.016845703125,-0.022705078125,0.065673828125,-0.009928385416666666,-0.05533854166666667,0.03996378580729158,0.026774088541666668,0.5505,0.12190812720848057,-0.491742620124973,0.3709116371253424
5,0.2305908203125,0.1474609375,0.021234130859375002,0.32107543945312456,0.1796875,0.048095703125,0.374267578125,0,63,64,,,,,,,,,,,,,,,
6,0.030517578125,0.071533203125,0.01025390625,0.141845703125,0.050048828125,-0.005621337890624998,0.10693359375,0,45,64,,,,,,,,,,,,,,,
7,0.0694580078125,0.008056640625,-0.04443359375,0.060546875,0.06005859375,0.009271240234375002,0.10864868164062491,0,49,64,,,,,,,,,,,,,,,
8,0.09375,0.010498046875,-0.031988525390624994,0.05200805664062491,0.056884765625,0.004876708984375002,0.11376953125,1,81,64,7.0,81.0,0.000244140625,89.0,-0.010009765625,-0.0341796875,0.013427734375,-0.03222656249999999,-0.06152547200520833,-0.002195231119791698,0.022216796875,0.4212,-0.1759656652360515,-1.7021881044487428,0.30871969091393436
9,0.0960693359375,-0.021728515625,-0.072998046875,0.030029296875,0.032470703125,-0.011474609375,0.080078125,2,81,64,3.0,76.0,0.0164794921875,68.0,0.00439453125,-0.01708984375,0.02734375,0.0050455729166666696,-0.017578125,0.02766927083333333,-0.0006510416666666661,0.7277,0.13533834586466165,-2.0,2.834722222222202
10,0.145263671875,0.013671875,-0.048583984375,0.081298828125,0.027587890625,-0.01513671875,0.077392578125,2,76,64,49.0,76.0,-0.011962890625,72.0,-0.004638671875,-0.0224609375,0.013671875,-0.0029296875,-0.026206461588541664,0.01904296875,-0.0017089843750000009,0.6283,-0.168141592920354,-3.2860714285714283,2.4707282913165245
