layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.0869140625,0.00732421875,-0.08154296875,0.0947265625,0.001953125,-0.08106689453124999,0.08251953125,1,77,64,101.0,77.0,0.00732421875,82.0,0.0205078125,-0.029296875,0.07569580078124982,0.4726,0.0244140625,-0.02018229166666666,0.06950276692708328,-0.00390625,10.5,-9.752083333333333,12.002083333333303
1,0.14697265625,0.0849609375,-0.0224609375,0.18701171875,0.126953125,0.025378417968750004,0.2333984375,4,99,64,59.0,99.0,0.04345703125,107.0,0.0341796875,-0.027844238281249996,0.10157470703124982,0.3121,0.030924479166666664,-0.03858235677083333,0.09749348958333331,0.0032552083333333348,0.2692307692307692,-0.43906851732991015,0.9904796511627894
2,0.07763671875,0.017578125,-0.06494140625,0.10352783203124982,0.04248046875,-0.056640625,0.14210205078124982,2,119,64,26.0,119.0,0.08447265625,120.0,-0.01708984375,-0.09716796875,0.06446533203124982,0.6962,-0.01725260416666667,-0.0934326171875,0.05924886067708327,0.00016276041666666522,-0.40229885057471265,-8.668999999999999,7.654619565217356
3,0.298828125,0.09130859375,-0.034680175781249996,0.21632080078124982,0.068359375,-0.038098144531249996,0.17677001953124982,2,92,64,57.0,91.0,0.08544921875,96.0,0.0458984375,-0.03466796875,0.12939453125,0.2744,0.036295572916666664,-0.02587890625,0.10140380859374994,0.009602864583333332,0.6714285714285714,-3.333823529411765,5.001315789473665
4,0.16748046875,0.076171875,-0.039074707031249996,0.19287109375,0.0732421875,-0.039074707031249996,0.18603515625,5,119,64,84.0,86.0,0.0078125,75.0,-0.01171875,-0.05224609375,0.02880859375,0.5885,-0.02425130208333334,-0.07047526041666667,0.024580891927083272,0.012532552083333334,-0.16,-3.0013157894736837,2.692857142857135
5,0.1552734375,0.0341796875,-0.058605957031249996,0.1298828125,-0.0078125,-0.10450439453124999,0.09130859375,3,104,64,14.0,77.0,0.0185546875,93.0,0.06494140625,0.002429199218750004,0.13134765625,0.0567,0.07210286458333333,0.005037434895833341,0.13850911458333331,-0.007161458333333332,-8.3125,-19.564393939393938,20.376339285714266
6,0.0830078125,0.0712890625,-0.0078125,0.14844970703124982,0.06298828125,-0.013684082031249996,0.14208984375,1,68,64,40.0,68.0,0.060546875,81.0,0.02880859375,-0.0263671875,0.08839111328124982,0.3374,0.014648437499999998,-0.03450520833333333,0.06380208333333333,0.01416015625,0.4573643410852713,-1.5,2.454668304668303
7,0.02001953125,0.02783203125,-0.04248046875,0.09473876953124982,0.0634765625,0.00244140625,0.12501220703124982,0,43,64,,,,,,,,,,,,,,,
8,0.07275390625,0.01416015625,-0.07081298828124999,0.099609375,0.037109375,-0.0458984375,0.1240234375,1,79,64,7.0,79.0,-0.0146484375,81.0,-0.0205078125,-0.0966796875,0.0390625,0.6469,-0.0302734375,-0.09815266927083331,0.028161621093749943,0.009765625,-0.5526315789473685,-8.202499999999999,7.001249999999982
9,0.072265625,0.060546875,-0.03271484375,0.15673828125,0.056640625,-0.033203125,0.14600830078124982,2,97,64,75.0,97.0,0.03955078125,103.0,0.02197265625,-0.040051269531249996,0.08251953125,0.493,-0.007975260416666671,-0.06396484375,0.04834798177083322,0.029947916666666668,0.3879310344827586,-2.9447463768115942,3.829107142857135
10,0.11669921875,0.0146484375,-0.12061767578124999,0.11572265625,0.01611328125,-0.11817626953124999,0.12158203125,2,92,64,93.0,92.0,-0.01611328125,92.0,0.0068359375,-0.059582519531249996,0.06739501953124982,0.8591,-0.020833333333333332,-0.08724365234375,0.03597005208333334,0.027669270833333332,0.42424242424242425,-3.875347222222222,4.076923076923077
11,-0.0205078125,-0.0537109375,-0.15040283203125,0.04248046875,-0.0185546875,-0.10400390625,0.06983642578124982,4,101,64,42.0,73.0,0.00927734375,79.0,0.03564453125,-0.001953125,0.07373046875,0.0842,0.012207031250000003,-0.03304036458333333,0.05647786458333333,0.023437500000000003,-1.9210526315789473,-12.837499999999999,13.0
12,0.044921875,0.05810546875,-0.03466796875,0.14846191406249964,0.04296875,-0.038098144531249996,0.1240234375,1,89,64,101.0,89.0,-0.0126953125,96.0,-0.01513671875,-0.0595703125,0.029296875,0.5214,-0.021321614583333336,-0.06331787109375,0.020507812500000003,0.006184895833333332,-0.3522727272727273,-6.4675,5.0
13,0.16064453125,0.05419921875,-0.037109375,0.14794921875,0.02490234375,-0.0693359375,0.12305908203124982,3,114,64,22.0,114.0,0.0458984375,113.0,0.00537109375,-0.0625,0.0771484375,0.89,0.030924479166666664,-0.027022298177083338,0.09342854817708328,-0.025553385416666664,0.21568627450980393,,
14,0.02490234375,0.0078125,-0.08399658203124999,0.095703125,-0.04443359375,-0.12255859375,0.03466796875,0,61,64,,,,,,,,,,,,,,,
15,0.13623046875,0.07958984375,-0.01806640625,0.1845703125,0.08984375,-0.003430175781249996,0.1904296875,5,96,64,13.0,96.0,0.07763671875,97.0,0.0244140625,-0.04443359375,0.0986328125,0.5167,0.014322916666666663,-0.04134521484374999,0.07422281901041661,0.010091145833333336,0.2717391304347826,-1.5602857142857143,1.5245490933641814
16,0.15234375,0.0537109375,-0.037121582031249996,0.14307861328124982,0.0341796875,-0.047375488281249996,0.11669921875,1,69,64,110.0,69.0,-0.0009765625,69.0,0.00244140625,-0.02978515625,0.0341796875,0.9053,-0.013020833333333332,-0.05078531901041667,0.02360432942708328,0.015462239583333336,0.07142857142857142,-3.0,3.1500961538461523
17,0.12109375,0.11474609375,0.0078125,0.22218017578124982,0.07763671875,-0.0263671875,0.1806640625,3,107,64,23.0,107.0,0.0478515625,102.0,0.02685546875,-0.044445800781249996,0.09716796875,0.4744,0.02587890625,-0.040852864583333336,0.09440511067708328,0.0009765624999999996,0.34591194968553457,-2.235077519379844,2.9050936768149835
18,0.048828125,-0.01123046875,-0.111328125,0.08350830078124982,0.0009765625,-0.1005859375,0.1083984375,0,61,64,,,,,,,,,,,,,,,
19,-0.009765625,-0.02490234375,-0.09620361328124999,0.04345703125,-0.02783203125,-0.0947265625,0.04102783203124982,0,51,64,,,,,,,,,,,,,,,
20,0.04248046875,-0.0205078125,-0.10302734375,0.0625,0.01318359375,-0.07374267578124999,0.10743408203124982,0,62,64,,,,,,,,,,,,,,,
21,0.02783203125,0.02734375,-0.05419921875,0.1103515625,0.00732421875,-0.07373046875,0.09522705078124982,2,81,64,75.0,69.0,-0.0009765625,84.0,-0.04638671875,-0.08544921875,-0.0078125,0.0216,-0.0732421875,-0.12613932291666669,-0.021484375,0.026855468749999997,-6.333333333333333,-22.640624999999993,14.87585227272726
22,0.12158203125,-0.01220703125,-0.103515625,0.080078125,0.01123046875,-0.06982421875,0.09376220703124982,4,83,64,93.0,83.0,0.0546875,88.0,0.02294921875,-0.023937988281249996,0.07470703125,0.3886,-0.0019531249999999983,-0.055501302083333336,0.047367350260416614,0.02490234375,2.0434782608695654,-8.626041666666666,10.127644230769192
23,0.0771484375,0.02880859375,-0.072265625,0.1279296875,0.02001953125,-0.07080078125,0.11767578125,3,76,64,64.0,76.0,0.0361328125,68.0,0.005859375,-0.05322265625,0.05762939453124982,0.8522,-0.012532552083333332,-0.07763671875,0.04768880208333333,0.018391927083333336,0.2926829268292683,-6.445833333333333,6.2869047619047445
24,0.06884765625,0.08349609375,-0.0146484375,0.18359375,0.0634765625,-0.025390625,0.15625,2,73,64,36.0,66.0,-0.0009765625,65.0,0.0234375,-0.01220703125,0.0634765625,0.2417,0.001302083333333333,-0.03483479817708333,0.04004313151041661,0.02213541666666667,0.36923076923076925,-2.1937096774193545,3.555729166666664
25,0.17041015625,0.087890625,-0.00537109375,0.1845703125,0.07763671875,-0.01171875,0.16796875,1,68,64,48.0,68.0,0.0029296875,61.0,0.01708984375,-0.01318359375,0.04736328125,0.287,0.014648437500000003,-0.032067871093750006,0.05713297526041661,0.0024414062500000026,0.22012578616352202,-0.7440217391304347,1.9362953692115126
26,0.06494140625,0.009765625,-0.07666015625,0.09669189453124982,0.0302734375,-0.046875,0.10987548828124982,1,65,64,25.0,65.0,-0.00732421875,51.0,-0.009765625,-0.03759765625,0.018566894531249822,0.5254,-0.023600260416666668,-0.05908203125,0.011393229166666664,0.013834635416666661,-0.3225806451612903,-4.75125,4.875
27,0.154296875,0.06103515625,-0.0390625,0.16019287109374947,0.0849609375,-0.02443847656249999,0.201171875,2,92,64,13.0,92.0,0.0849609375,94.0,0.06103515625,-0.017578125,0.1484375,0.1661,0.022949218750000007,-0.05305989583333333,0.11393636067708326,0.03808593750000001,0.7183908045977011,-1.7195010488462685,3.603902609506051
28,-0.01123046875,-0.06201171875,-0.16845703125,0.01806640625,-0.0947265625,-0.2470703125,0.01123046875,1,67,64,110.0,67.0,0.0009765625,63.0,0.01123046875,-0.0234375,0.044921875,0.5457,-0.014322916666666663,-0.05403645833333332,0.022790527343749943,0.025553385416666664,-0.11855670103092783,-2.2144163763066205,1.2371710526315742
29,0.068359375,0.01220703125,-0.09130859375,0.11329345703124982,0.0703125,-0.02587890625,0.166015625,2,94,64,43.0,67.0,-0.00390625,62.0,0.0234375,-0.008312988281249996,0.05615234375,0.1634,-0.0006510416666666609,-0.04606526692708333,0.04443359375,0.024088541666666668,0.3333333333333333,-1.7272727272727273,2.788181818181814
30,0.01611328125,-0.1650390625,-0.27197265625,-0.068359375,-0.140625,-0.232421875,-0.05125732421875018,0,51,64,,,,,,,,,,,,,,,
31,-0.015625,-0.01416015625,-0.1025390625,0.07178955078124982,-0.00341796875,-0.10107421875,0.09376220703124982,1,78,64,55.0,78.0,-0.0126953125,69.0,-0.05029296875,-0.0947265625,-0.00732421875,0.0257,-0.052571614583333336,-0.09619140625,-0.009602864583333339,0.002278645833333334,14.714285714285714,-16.506944444444443,16.619999999999933
32,0.0634765625,0.0068359375,-0.09326171875,0.10986328125,-0.04345703125,-0.1357421875,0.04932861328124982,0,63,64,,,,,,,,,,,,,,,
33,0.0859375,0.00439453125,-0.12891845703125,0.13038330078124982,-0.03955078125,-0.18409423828125,0.08790283203124982,3,75,64,30.0,75.0,0.0244140625,73.0,0.00048828125,-0.05224609375,0.0556640625,1.0,-0.0022786458333333304,-0.054361979166666664,0.05224609375,0.002766927083333332,-0.012345679012345678,-3.8,4.375107758620688
34,0.33544921875,0.23779296875,0.1201171875,0.3603637695312498,0.22021484375,0.10545654296875001,0.34375,4,80,64,106.0,80.0,0.078125,77.0,0.06884765625,0.0283203125,0.1103515625,0.0007,0.06070963541666668,0.009277343750000002,0.11214599609374992,0.00813802083333333,0.31263858093126384,0.13028963996544313,0.6679308620660176
35,0.04150390625,0.103515625,-0.032238769531249996,0.24267578125,0.05908203125,-0.0595703125,0.18798828125,4,120,64,35.0,120.0,0.1103515625,112.0,0.04248046875,-0.025390625,0.11376953125,0.2419,0.06363932291666667,-0.005533854166666661,0.13639322916666669,-0.021158854166666668,0.71900826446281,-5.7274242424242425,6.907142857142823
36,0.1318359375,0.099609375,-0.0166015625,0.22120361328124982,0.0986328125,-0.01953125,0.22509765625,2,74,64,86.0,66.0,0.04150390625,56.0,0.00537109375,-0.02392578125,0.0361328125,0.7587,-0.0035807291666666644,-0.04752604166666666,0.03987630208333333,0.008951822916666661,0.054455445544554455,-0.914345238095238,0.875076219512194
37,0.3046875,0.15771484375,0.031726074218750004,0.2900390625,0.212890625,0.0908203125,0.3388671875,4,110,64,48.0,73.0,0.0810546875,67.0,0.0009765625,-0.04248046875,0.04345703125,0.9827,-0.0400390625,-0.08658854166666666,0.005533854166666668,0.041015625,0.0045871559633027525,-0.3073264540337711,0.19479011664186613
38,0.03125,0.10986328125,0.00927734375,0.2119140625,0.1240234375,0.017578125,0.23634033203124982,4,110,64,106.0,110.0,0.02392578125,106.0,0.0439453125,-0.0224609375,0.11085205078124982,0.2046,0.029622395833333332,-0.03222656249999999,0.09261067708333333,0.014322916666666666,0.3543307086614173,-0.4166666666666667,1.1819023569023557
39,0.134765625,0.05322265625,-0.10302734375,0.20802001953124982,0.068359375,-0.07032470703124999,0.2099609375,3,103,64,65.0,97.0,0.0380859375,99.0,0.00732421875,-0.0615234375,0.07177734375,0.8353,0.017252604166666664,-0.04427490234374999,0.07666015625,-0.00992838541666667,0.10714285714285714,-3.4390624999999995,3.643749999999987
40,0.23583984375,0.2119140625,0.12109375,0.302734375,0.197265625,0.09912109375,0.2958984375,1,71,64,14.0,71.0,0.02392578125,75.0,0.02734375,-0.03125,0.08740234375,0.3828,0.027018229166666657,-0.026208496093750002,0.08317464192708328,0.0003255208333333322,0.13861386138613863,-0.22272331222967465,0.41004412419043834
41,0.19873046875,0.2177734375,0.07957763671875001,0.35452880859374947,0.1796875,0.046875,0.3110473632812498,2,113,64,43.0,69.0,0.076171875,74.0,0.0078125,-0.0517578125,0.0615234375,0.8165,-0.02864583333333333,-0.09310302734375,0.02799886067708328,0.03645833333333333,0.043478260869565216,-0.6143928171044202,0.3432983304819772
42,0.4697265625,0.3681640625,0.22900390625,0.5141723632812498,0.357421875,0.2138671875,0.5068481445312498,3,115,64,48.0,75.0,0.169921875,65.0,0.2041015625,0.1435546875,0.27294921875,0.0,0.21598307291666669,0.14957275390625,0.2893961588541666,-0.011881510416666666,0.5710382513661202,0.3923357570719264,0.8941562430198792
43,0.18896484375,0.205078125,0.1015625,0.31103515625,0.2109375,0.0888671875,0.3354614257812498,1,80,64,94.0,80.0,0.12890625,83.0,0.10986328125,0.03857421875,0.18115234375,0.0026,0.09798177083333333,0.027661132812499992,0.16959635416666669,0.011881510416666668,0.5208333333333334,0.22444785852297125,1.0329855537720705
44,0.1396484375,0.16015625,0.07908935546875001,0.24560546875,0.175537109375,0.090087890625,0.2614807128906249,3,76,64,9.0,69.0,0.00634765625,61.0,0.00341796875,-0.0107421875,0.017578125,0.6863,-0.028157552083333332,-0.05126953125,-0.00537109375,0.03157552083333333,0.019471488178025034,-0.08032474726492175,0.10015143051047773
45,0.39599609375,0.47314453125,0.33837890625,0.6103515625,0.50146484375,0.3759765625,0.62939453125,4,128,64,5.0,74.0,0.12060546875,78.0,0.130859375,0.07958984375,0.1845703125,0.0,0.080078125,0.028637695312500006,0.13314208984374995,0.05078125,0.2609542356377799,0.17244247631018556,0.3563224225450726
46,0.12353515625,0.345703125,0.2041015625,0.49462890625,0.3173828125,0.17333984375,0.4643676757812498,1,96,64,122.0,96.0,-0.001953125,104.0,0.09765625,0.006823730468750004,0.1904296875,0.0375,0.10595703125,0.012691243489583325,0.2011759440104166,-0.00830078125,0.3076923076923077,0.02800924839209427,0.5313825683660225
47,2.27490234375,2.70947265625,2.2895263671875,3.1352783203124996,2.65625,2.2402099609375,3.08203125,4,116,64,14.0,116.0,0.77880859375,115.0,0.98486328125,0.75830078125,1.2138793945312498,0.0,0.7779947916666666,0.5662353515625,0.99755859375,0.20686848958333331,0.3707720588235294,0.32021073405807166,0.4173814505301487
