layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_spec,val_spec_lo,val_spec_hi,val_control,val_rescue_p,concentration,concentration_lo,concentration_hi
0,0.234619140625,0.12060546875,0.020263671875,0.24830322265624982,0.086181640625,-0.01611328125,0.21484375,0,23,64,,,,,,,,,,,,,,,
1,0.2060546875,0.141845703125,0.036364746093750004,0.27197265625,0.123046875,0.014636230468750004,0.2544067382812498,0,35,64,,,,,,,,,,,,,,,
2,0.14111328125,0.05517578125,0.00146484375,0.11181640625,-0.013916015625,-0.0810546875,0.050048828125,1,115,64,26.0,115.0,-0.004638671875,119.0,-0.017822265625,-0.064208984375,0.026123046875,0.007242838541666666,-0.02734375,0.0400390625,-0.025065104166666664,0.4627,1.280701754385965,-6.092207792207792,7.572142857142847
3,0.261962890625,0.109619140625,0.015869140625,0.22681884765624982,0.09375,0.001953125,0.21241455078124982,0,46,64,,,,,,,,,,,,,,,
4,0.14697265625,0.0830078125,0.01171875,0.16236572265624982,0.070068359375,-0.002691650390624998,0.15040893554687473,2,90,64,36.0,70.0,0.08935546875,64.0,0.0341796875,0.001214599609375002,0.07056274414062491,-0.006591796874999998,-0.04402669270833333,0.03198649088541661,0.040771484375,0.0647,0.4878048780487805,-0.45208728652751407,2.217638339920945
5,0.169921875,0.044677734375,-0.005615234375,0.0947265625,0.031982421875,-0.029052734375,0.094970703125,0,49,64,,,,,,,,,,,,,,,
6,0.0341796875,0.075439453125,0.025628662109375002,0.12646484375,0.08740234375,0.03662109375,0.13819580078124982,0,53,64,,,,,,,,,,,,,,,
7,0.018798828125,0.044189453125,-0.009033203125,0.0947265625,0.063720703125,0.017083740234375002,0.110595703125,0,43,64,,,,,,,,,,,,,,,
8,0.075439453125,0.038330078125,-0.009521484375,0.0859375,0.0185546875,-0.05859375,0.08251953125,1,71,64,7.0,71.0,0.00341796875,70.0,-0.0087890625,-0.03759765625,0.01806640625,-0.026123046875000003,-0.06380411783854167,0.013755289713541636,0.017333984375,0.5519,-0.47368421052631576,-5.8030769230769215,4.539999999999978
9,0.049560546875,0.012939453125,-0.029058837890624998,0.05689086914062491,0.02490234375,-0.055419921875,0.0888671875,0,57,64,,,,,,,,,,,,,,,
10,0.079345703125,0.014404296875,-0.033203125,0.0625,0.036376953125,-0.00732421875,0.0810546875,0,38,64,,,,,,,,,,,,,,,
11,0.0537109375,0.0322265625,-0.028820800781249996,0.09765625,0.056884765625,-0.000244140625,0.12158203125,0,36,64,,,,,,,,,,,,,,,
12,0.057861328125,-0.006591796875,-0.0595703125,0.04566040039062491,-0.040283203125,-0.108160400390625,0.01660766601562491,0,58,64,,,,,,,,,,,,,,,
13,0.102783203125,0.106201171875,0.039788818359375006,0.177490234375,0.05029296875,-0.024664306640624998,0.1240234375,0,49,64,,,,,,,,,,,,,,,
14,-0.0185546875,-0.01806640625,-0.06300048828124999,0.02734375,-0.0205078125,-0.07080078125,0.03101196289062491,1,75,64,5.0,75.0,0.0087890625,69.0,-0.02587890625,-0.06005859375,0.00830078125,-0.031494140625,-0.06876627604166666,0.008630371093749941,0.0056152343749999965,0.1454,1.2619047619047619,-11.08625,11.333333333333334
15,0.094482421875,0.029296875,-0.028076171875,0.08692016601562491,0.104248046875,0.05029296875,0.1628479003906249,1,89,64,31.0,89.0,0.05078125,96.0,0.0107421875,-0.027593994140624998,0.05322875976562491,-0.0018717447916666591,-0.03857421874999999,0.033284505208333336,0.012613932291666663,0.6155,0.10304449648711944,-0.3944643503906452,0.453589669738863
16,0.054931640625,0.043701171875,-0.016851806640624998,0.1015625,0.021240234375,-0.034423828125,0.078125,1,69,64,115.0,69.0,-0.014892578125,72.0,-0.010009765625,-0.03662109375,0.01611328125,-0.025146484374999993,-0.06323649088541666,0.013185628255208304,0.015136718750000002,0.4758,-0.47126436781609193,-6.0,6.80142857142855
17,0.095703125,0.0712890625,0.0029296875,0.13673095703124982,0.042724609375,-0.022711181640624998,0.10986938476562491,2,109,64,23.0,109.0,0.00048828125,106.0,0.021728515625,-0.027587890625,0.0732421875,0.017008463541666668,-0.027180989583333336,0.06063232421874994,0.004720052083333336,0.3944,0.5085714285714286,-3.7201818181818185,5.283876811594184
18,0.062744140625,-0.000732421875,-0.05810546875,0.05420532226562491,-0.001708984375,-0.06005859375,0.05712890625,0,53,64,,,,,,,,,,,,,,,
19,-0.02197265625,0.019287109375,-0.031005859375,0.068115234375,0.005126953125,-0.047857666015624994,0.05884399414062491,0,40,64,,,,,,,,,,,,,,,
20,-0.003662109375,0.057373046875,0.009515380859375002,0.10400390625,0.027099609375,-0.02685546875,0.07910766601562491,1,68,64,38.0,68.0,0.002685546875,67.0,-0.010009765625,-0.032958984375,0.0126953125,0.01700846354166667,-0.01570638020833333,0.050946044921874975,-0.027018229166666664,0.4078,-0.36936936936936937,-6.0,3.8575892857142793
21,0.028076171875,0.036865234375,-0.00732421875,0.082275390625,-0.01611328125,-0.069580078125,0.034912109375,1,74,64,0.0,74.0,0.0,75.0,-0.007080078125,-0.031982421875,0.017822265625,0.00048828125,-0.029705810546874996,0.031496175130208304,-0.007568359374999999,0.586,0.4393939393939394,-4.333333333333333,4.8756249999999905
22,0.044677734375,0.011474609375,-0.04443359375,0.065673828125,0.00341796875,-0.060302734375,0.06543579101562491,0,47,64,,,,,,,,,,,,,,,
23,0.0751953125,0.0361328125,-0.011474609375,0.081787109375,0.04541015625,-0.01025390625,0.102294921875,0,48,64,,,,,,,,,,,,,,,
24,0.05615234375,0.042236328125,-0.015380859375,0.09814453125,0.020263671875,-0.03173828125,0.0732421875,0,50,64,,,,,,,,,,,,,,,
25,0.08642578125,0.062744140625,-1.2207031249995837e-05,0.126220703125,0.048583984375,-0.017333984375,0.11474609375,0,49,64,,,,,,,,,,,,,,,
26,0.016357421875,0.02392578125,-0.038092041015624994,0.08301391601562491,0.025390625,-0.036376953125,0.085205078125,1,69,64,107.0,69.0,0.00537109375,69.0,0.009033203125,-0.025152587890624998,0.04541625976562491,0.019694010416666668,-0.020672607421875,0.0637227376302083,-0.010660807291666664,0.6411,0.3557692307692308,-4.685424901185769,5.252083333333303
27,0.042236328125,0.01416015625,-0.04345703125,0.07177734375,0.04931640625,-0.01513671875,0.11572875976562491,0,54,64,,,,,,,,,,,,,,,
28,0.00634765625,-0.020751953125,-0.07958984375,0.0380859375,-0.01220703125,-0.065191650390625,0.041015625,0,50,64,,,,,,,,,,,,,,,
29,0.036376953125,0.04736328125,-0.01025390625,0.10400390625,0.048828125,-0.01904296875,0.11572265625,2,92,64,23.0,92.0,0.011474609375,99.0,0.01806640625,-0.017578125,0.05517578125,0.003580729166666666,-0.03466796875,0.043296305338541646,0.014485677083333325,0.365,0.37,-1.9445175438596491,3.0626041666666652
30,0.029541015625,-0.0029296875,-0.071533203125,0.060302734375,-0.038818359375,-0.09326171875,0.014654541015624911,0,57,64,,,,,,,,,,,,,,,
31,0.0537109375,0.0234375,-0.042236328125,0.08544921875,0.0087890625,-0.051519775390624994,0.06884765625,0,56,64,,,,,,,,,,,,,,,
32,0.066162109375,0.006103515625,-0.057867431640624994,0.06934204101562491,-0.01123046875,-0.0849609375,0.06201171875,0,62,64,,,,,,,,,,,,,,,
33,0.084228515625,0.02880859375,-0.038580322265624994,0.096435546875,0.056640625,-0.01025390625,0.12452392578124982,0,53,64,,,,,,,,,,,,,,,
34,0.166259765625,0.06787109375,-0.011236572265624998,0.14697265625,0.086669921875,0.001953125,0.17626953125,0,52,64,,,,,,,,,,,,,,,
35,0.024658203125,0.027099609375,-0.051513671875,0.102294921875,-0.0009765625,-0.07716064453124999,0.07568359375,0,54,64,,,,,,,,,,,,,,,
36,0.148681640625,0.037109375,-0.024658203125,0.097900390625,0.0703125,-0.00927734375,0.1508850097656249,0,51,64,,,,,,,,,,,,,,,
37,0.191650390625,0.244873046875,0.141107177734375,0.3535217285156249,0.23095703125,0.12548828125,0.3410766601562498,2,67,64,46.0,66.0,0.019287109375,69.0,-0.01611328125,-0.04150390625,0.007336425781249822,-0.05737304687499999,-0.09879760742187499,-0.018554687500000003,0.041259765625,0.2147,-0.06976744186046512,-0.2428580657069029,0.029794802962801487
38,0.1064453125,0.104248046875,0.018798828125,0.195068359375,0.074462890625,-0.014898681640624998,0.1645568847656249,0,51,64,,,,,,,,,,,,,,,
39,0.310791015625,0.193603515625,0.08447265625,0.3056640625,0.219482421875,0.111566162109375,0.3264282226562498,0,60,64,,,,,,,,,,,,,,,
40,0.2353515625,0.229248046875,0.1298828125,0.3332580566406249,0.17626953125,0.074945068359375,0.2785705566406249,0,58,64,,,,,,,,,,,,,,,
41,0.4013671875,0.263427734375,0.11693115234375001,0.4126098632812498,0.229736328125,0.07347412109375001,0.39208984375,2,109,64,23.0,109.0,0.073486328125,114.0,0.02734375,-0.01611328125,0.072998046875,0.0013020833333333304,-0.046386718749999986,0.04956258138020831,0.026041666666666664,0.234,0.11902231668437832,-0.08880439365056088,0.46693772653418314
42,0.353271484375,0.349365234375,0.2138671875,0.4870666503906249,0.323486328125,0.184814453125,0.4658325195312498,0,60,64,,,,,,,,,,,,,,,
43,0.283203125,0.260986328125,0.155023193359375,0.3693969726562498,0.201904296875,0.086663818359375,0.31911010742187473,1,84,64,86.0,84.0,0.0107421875,96.0,0.00048828125,-0.02587890625,0.02587890625,-0.0011393229166666678,-0.037841796875,0.036539713541666664,0.0016276041666666644,1.0,0.0024183796856106408,-0.18826808854822977,0.12952160112156105
44,0.1416015625,0.1025390625,-0.006109619140624998,0.2270568847656249,0.099853515625,-0.01025390625,0.22705078125,1,99,64,91.0,99.0,0.04248046875,100.0,0.00146484375,-0.02587890625,0.02734375,-0.005045572916666673,-0.044921875,0.031901041666666664,0.006510416666666667,0.9423,0.014669926650366748,-0.7692622950819672,0.7561053783614758
45,0.19189453125,0.099365234375,-0.081549072265625,0.2749084472656249,0.102783203125,-0.06884765625,0.2673400878906249,2,106,64,14.0,106.0,0.014892578125,108.0,0.08447265625,0.030261230468750004,0.14404296875,0.07210286458333334,0.014648437499999998,0.13330078125,0.012369791666666668,0.0025,0.8218527315914489,-5.5627675460428065,7.680222222222219
46,0.169189453125,0.30517578125,0.16649169921875,0.44580078125,0.26953125,0.13232421875,0.41115722656249964,0,41,64,,,,,,,,,,,,,,,
47,1.69091796875,1.739501953125,1.3041748046875,2.201171875,1.568603515625,1.144964599609375,2.01343994140625,0,45,64,,,,,,,,,,,,,,,
