layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_spec,val_spec_lo,val_spec_hi,val_control,val_rescue_p,concentration,concentration_lo,concentration_hi
0,-0.00390625,0.01171875,-0.026867675781249996,0.04833984375,-0.00439453125,-0.040283203125,0.030029296875,0,40,64,,,,,,,,,,,,,,,
1,0.03076171875,-0.02001953125,-0.06005859375,0.01904296875,0.0078125,-0.029296875,0.04345703125,0,59,64,,,,,,,,,,,,,,,
2,-0.0126953125,-0.01611328125,-0.0537109375,0.020031738281249822,-0.010498046875,-0.047125244140624994,0.025146484375,1,116,64,26.0,116.0,0.00439453125,116.0,-0.011962890625,-0.043701171875,0.02099609375,-0.024251302083333336,-0.05338541666666667,0.004561360677083277,0.012288411458333329,0.4874,1.1395348837209303,,
3,-0.01513671875,-0.007568359375,-0.04443359375,0.02880859375,0.015380859375,-0.01904296875,0.05078125,0,50,64,,,,,,,,,,,,,,,
4,-0.000732421875,-0.0185546875,-0.0634765625,0.0244140625,-0.029541015625,-0.06982421875,0.01171875,1,95,64,84.0,95.0,0.015869140625,96.0,-0.019287109375,-0.051519775390624994,0.01171875,-0.010579427083333332,-0.04150797526041667,0.019694010416666668,-0.008707682291666663,0.2479,0.6528925619834711,-4.210818713450292,4.400119047619047
5,0.009765625,0.02099609375,-0.015625,0.05714111328124982,-0.015625,-0.05517578125,0.0224609375,0,57,64,,,,,,,,,,,,,,,
6,0.01806640625,-0.01318359375,-0.060070800781249996,0.0322265625,-0.009765625,-0.0498046875,0.029296875,1,68,64,27.0,68.0,-0.010009765625,67.0,-0.0009765625,-0.025390625,0.0244140625,0.013590494791666663,-0.012858072916666666,0.04150594075520831,-0.014567057291666664,0.9505,0.1,-6.5,7.300833333333321
7,-0.03369140625,0.026611328125,-0.01708984375,0.07715454101562491,-0.0048828125,-0.0380859375,0.02880859375,0,54,64,,,,,,,,,,,,,,,
8,-0.006591796875,-0.0048828125,-0.0478515625,0.03759765625,0.000244140625,-0.040045166015624994,0.04004516601562491,2,98,64,38.0,98.0,0.001708984375,95.0,-0.028076171875,-0.056640625,-0.001708984375,-0.013916015625,-0.04549560546874999,0.015706380208333332,-0.014160156249999997,0.0475,-115.0,-24.16875,22.700357142857136
9,0.04345703125,-0.01904296875,-0.06103515625,0.02197265625,-0.0302734375,-0.0703125,0.00927734375,0,53,64,,,,,,,,,,,,,,,
10,0.01513671875,-0.01025390625,-0.05126953125,0.03076171875,-0.028076171875,-0.0654296875,0.009765625,0,52,64,,,,,,,,,,,,,,,
11,-0.011962890625,0.00146484375,-0.03662109375,0.03759765625,-0.0302734375,-0.07958984375,0.02099609375,0,54,64,,,,,,,,,,,,,,,
12,-0.0068359375,0.02197265625,-0.0224609375,0.06787109375,0.02001953125,-0.018310546875,0.06006469726562491,0,57,64,,,,,,,,,,,,,,,
13,0.013671875,0.02734375,-0.01416015625,0.06884765625,-0.0078125,-0.05029296875,0.03369140625,1,65,64,30.0,65.0,0.015625,59.0,0.00634765625,-0.013671875,0.02685546875,0.010986328125000003,-0.015545654296874998,0.038087972005208304,-0.004638671875,0.5801,-0.8125,,
14,0.015625,0.01123046875,-0.02392578125,0.04736328125,0.003173828125,-0.029052734375,0.037353515625,1,82,64,65.0,82.0,0.01513671875,86.0,-0.001953125,-0.0283203125,0.02392578125,-0.005940755208333336,-0.030436197916666664,0.01871744791666667,0.003987630208333332,0.9121,-0.6153846153846154,-12.0,8.66999999999995
15,0.009521484375,-0.00341796875,-0.04150390625,0.03173828125,-0.00537109375,-0.041516113281249996,0.0302734375,2,91,64,66.0,77.0,0.00048828125,75.0,-0.0244140625,-0.048828125,-0.00146484375,-0.0166015625,-0.04297281901041666,0.009277343749999997,-0.007812499999999999,0.054,4.545454545454546,-23.006249999999998,17.0
16,0.0166015625,-0.03662109375,-0.07763671875,0.0009765625,-0.024169921875,-0.06298828125,0.0146484375,2,84,64,38.0,73.0,0.001953125,65.0,-0.007568359375,-0.029296875,0.013433837890624911,-0.020914713541666668,-0.05037638346354166,0.0065124511718749716,0.013346354166666668,0.4977,0.31313131313131315,-2.6471867007672634,3.8899999999999837
17,0.0009765625,-0.00244140625,-0.0380859375,0.03125,0.005859375,-0.02978515625,0.04296875,2,123,64,23.0,123.0,0.0048828125,121.0,-0.0126953125,-0.03955078125,0.013671875,-0.01814778645833333,-0.0439453125,0.00814005533854164,0.005452473958333334,0.3787,-2.1666666666666665,-17.0,10.5
18,-0.025390625,0.008544921875,-0.036865234375,0.05762329101562491,-0.00732421875,-0.056640625,0.0419921875,0,46,64,,,,,,,,,,,,,,,
19,0.0224609375,0.01318359375,-0.02490234375,0.0517578125,-0.005615234375,-0.046142578125,0.03809204101562491,0,58,64,,,,,,,,,,,,,,,
