layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,-0.009033203125,-0.00146484375,-0.043463134765624994,0.042724609375,-0.03857421875,-0.074957275390625,-0.00390625,1,64,64,42.0,64.0,-0.009765625,61.0,0.015869140625,-0.00830078125,0.041748046875,0.2328,0.039143880208333336,0.011718749999999997,0.06901245117187496,-0.023274739583333332,-0.41139240506329117,-3.2566326530612244,0.30513619854721474
1,-0.0205078125,0.0537109375,0.012451171875,0.09814453125,-0.028564453125,-0.068115234375,0.0087890625,2,83,64,59.0,83.0,0.012451171875,84.0,-0.0107421875,-0.03759765625,0.01708984375,0.4706,0.006184895833333331,-0.020428466796874996,0.03499552408854164,-0.016927083333333332,0.37606837606837606,-3.0,3.917321428571419
2,-0.01025390625,-0.000732421875,-0.03564453125,0.03809204101562491,-0.028076171875,-0.070074462890625,0.01416015625,4,119,64,92.0,70.0,-0.007080078125,66.0,-0.00048828125,-0.0224609375,0.02001953125,1.0,0.029622395833333336,0.0018717447916666678,0.0595703125,-0.030110677083333332,0.017391304347826087,,
3,-0.013916015625,0.013916015625,-0.025634765625,0.055908203125,-0.029541015625,-0.072021484375,0.014166259765624911,3,82,64,57.0,73.0,-0.002197265625,69.0,-0.0205078125,-0.04443359375,0.00244140625,0.087,-0.013183593749999998,-0.043701171875,0.015136718749999995,-0.00732421875,0.6942148760330579,-3.8470588235294114,5.333333333333333
4,-0.055908203125,-0.001953125,-0.0498046875,0.04737548828124982,-0.001708984375,-0.046875,0.043701171875,4,126,64,36.0,125.0,0.003173828125,124.0,-0.000244140625,-0.043218994140624994,0.04785766601562491,1.0,0.021891276041666664,-0.011230468749999997,0.05574747721354163,-0.022135416666666664,0.14285714285714285,-12.004999999999999,10.878124999999955
5,0.00390625,-0.016845703125,-0.05615234375,0.02294921875,-0.0234375,-0.076904296875,0.032470703125,2,91,64,10.0,91.0,-0.00927734375,91.0,-0.019287109375,-0.043701171875,0.004150390625,0.1397,-0.011393229166666668,-0.04695638020833333,0.01985880533854164,-0.007893880208333332,0.8229166666666666,-7.232692307692307,8.667857142857125
6,-0.008056640625,-0.031982421875,-0.07177734375,0.0078125,-0.00537109375,-0.04345703125,0.0322265625,1,82,64,40.0,82.0,-0.012451171875,84.0,-0.021728515625,-0.054931640625,0.01318359375,0.2201,-0.0033365885416666704,-0.03336588541666666,0.02653401692708328,-0.018391927083333332,4.045454545454546,-17.003124999999997,17.512499999999818
7,-0.00732421875,-0.013671875,-0.05517578125,0.02490234375,-0.03857421875,-0.072027587890625,-0.003173828125,0,63,64,,,,,,,,,,,,,,,
8,0.004150390625,-0.030029296875,-0.065191650390625,0.004400634765624911,-0.0166015625,-0.050787353515624994,0.017578125,1,90,64,7.0,90.0,-0.013671875,94.0,-0.002685546875,-0.0341796875,0.03076171875,0.8853,0.009114583333333336,-0.024576822916666664,0.04687703450520831,-0.011800130208333332,0.16176470588235295,-6.667857142857143,8.5342857142857
9,0.029052734375,-0.010498046875,-0.052734375,0.03174438476562491,-0.0458984375,-0.0908203125,-0.0029296875,2,91,64,75.0,91.0,0.0029296875,94.0,-0.027587890625,-0.057861328125,0.00146484375,0.0734,0.0008138020833333304,-0.029622395833333336,0.030114746093749936,-0.028401692708333336,0.601063829787234,-0.2738136007827789,2.789608636977056
