layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_spec,val_spec_lo,val_spec_hi,val_control,val_rescue_p,concentration,concentration_lo,concentration_hi
0,0.3009033203125,0.365142822265625,0.13939208984375,0.6322364807128906,0.4530029296875,0.1757659912109375,0.8149490356445311,0,37,64,,,,,,,,,,,,,,,
1,0.2003173828125,0.408447265625,0.186273193359375,0.6731201171874996,0.38897705078125,0.16020355224609376,0.6646163940429687,0,46,64,,,,,,,,,,,,,,,
2,0.124755859375,0.1190948486328125,-0.029296875,0.27344512939453114,0.098907470703125,-0.0656494140625,0.25021591186523434,2,109,64,96.0,86.0,-0.004150390625,74.0,-0.0052490234375,-0.056640625,0.0350341796875,-0.0255126953125,-0.0891326904296875,0.02339680989583333,0.020263671874999997,0.8872,-0.05307004011107683,-2.0566057001128737,2.2510915765069393
3,0.1534423828125,0.300811767578125,0.13534393310546874,0.5012214660644532,0.277740478515625,0.1094024658203125,0.47681579589843737,0,46,64,,,,,,,,,,,,,,,
4,0.0849609375,0.178924560546875,0.06395797729492188,0.3205612182617187,0.134033203125,0.03606109619140625,0.25056762695312473,2,109,64,36.0,83.0,0.0218505859375,86.0,0.01422119140625,-0.023806762695312497,0.05615386962890623,-0.001078287760416663,-0.02925618489583333,0.028809611002604155,0.015299479166666663,0.5194,0.10610200364298725,-0.26463120411014296,0.4432887857486618
5,0.06005859375,0.1409912109375,0.0361236572265625,0.27197265625,0.12353515625,0.02569580078125,0.23822326660156246,1,70,64,28.0,70.0,0.016845703125,52.0,-0.00946044921875,-0.08270416259765626,0.04022369384765623,-0.019002278645833332,-0.075439453125,0.021934000651041632,0.00954182942708333,0.964,-0.07658102766798419,-0.553363539445629,0.6460450764464201
6,0.0341796875,0.034088134765625,-0.040714263916015625,0.10791015625,0.053314208984375,0.00604248046875,0.09979629516601557,0,51,64,,,,,,,,,,,,,,,
7,0.0631103515625,0.01470947265625,-0.031982421875,0.065673828125,0.019561767578125,-0.01904449462890625,0.06269073486328114,0,52,64,,,,,,,,,,,,,,,
8,0.0626220703125,0.045928955078125,-0.0065963745117187484,0.10552978515625,0.0526123046875,-0.00732421875,0.118408203125,2,90,64,38.0,68.0,0.0177001953125,60.0,-0.00970458984375,-0.024658203125,0.005496215820312456,-0.012908935546875003,-0.044407145182291656,0.01220982869466142,0.0032043457031249965,0.2048,-0.18445475638051045,-2.242523056653491,1.1955910852713012
9,0.0360107421875,0.050537109375,0.0068359375,0.09912109375,0.027862548828125,-0.025485992431640625,0.08322372436523434,2,71,64,3.0,66.0,0.0166015625,63.0,0.0242919921875,-0.007571411132812499,0.06201171875,0.01690673828125,-0.00549367268880209,0.04060872395833333,0.007385253906250002,0.1897,0.8718510405257394,-4.913003095975232,5.257896575821103
10,0.0809326171875,0.113525390625,0.052001953125,0.18701171875,0.07000732421875,0.005241394042968753,0.14130096435546868,2,75,64,49.0,75.0,0.00439453125,64.0,0.014404296875,-0.01025390625,0.04443359375,0.01847330729166667,-0.009868876139322915,0.04807586669921875,-0.0040690104166666696,0.3271,0.2057541412380122,-0.35916043133802816,0.7881856596507169
11,0.044189453125,0.04132080078125,-0.01947174072265625,0.11780700683593737,0.071807861328125,0.0029594421386718753,0.14672927856445311,1,67,64,35.0,67.0,0.010498046875,68.0,0.01190185546875,-0.009521484375,0.037841796875,0.015625,-0.015503946940104166,0.04695841471354163,-0.00372314453125,0.368,0.16574585635359115,-0.2746170026436188,1.0742525914485028
12,0.0535888671875,0.06182861328125,0.013731384277343751,0.10968475341796868,0.074371337890625,0.020171356201171876,0.13440246582031246,1,64,64,101.0,64.0,0.0003662109375,63.0,0.0078125,-0.017822265625,0.04395141601562491,-0.009134928385416666,-0.028849283854166668,0.011414082845052076,0.016947428385416668,0.7632,0.10504718916700861,-0.4464832050146487,0.5705189875859922
13,0.071044921875,0.09588623046875,0.003594970703125002,0.1929931640625,0.097900390625,0.010130310058593751,0.19360809326171868,1,78,64,46.0,78.0,-0.004150390625,84.0,0.029022216796875,-0.006226348876953124,0.06793289184570311,0.01609293619791667,-0.01381479899088541,0.047465006510416664,0.012929280598958329,0.1255,0.29644638403990026,-0.17394207199071085,0.8871035653650253
14,0.0452880859375,0.0831451416015625,0.028943252563476563,0.1501525878906249,0.05133056640625,-0.0067138671875,0.11664428710937491,1,64,64,106.0,64.0,0.014892578125,48.0,0.00067138671875,-0.02667236328125,0.0322265625,-0.011383056640624995,-0.03660303751627605,0.01360092163085937,0.012054443359374998,0.9762,0.013079667063020214,-1.880037914691943,1.3062233984502876
15,0.093994140625,0.08160400390625,0.01739044189453125,0.16565246582031246,0.08721923828125,0.023345947265625,0.1671501159667968,1,78,64,19.0,78.0,-0.00732421875,81.0,0.003875732421875,-0.011260986328125,0.019898223876953114,-0.013041178385416668,-0.03523763020833333,0.008984883626302047,0.016916910807291664,0.6523,0.04443666899930021,-0.20003130590339893,0.30112255745671757
16,0.0738525390625,0.072998046875,0.009515380859375002,0.1357421875,0.068450927734375,0.01757659912109375,0.12167510986328123,1,89,64,120.0,89.0,0.0,74.0,0.015533447265625,-0.011415100097656249,0.04556503295898434,0.0016326904296875009,-0.0250244140625,0.03069114685058593,0.0139007568359375,0.3026,0.22692822113241196,-0.31054382635942956,0.7174131337939265
17,0.0313720703125,0.068695068359375,0.013028717041015625,0.13128890991210934,0.042877197265625,-0.006444549560546874,0.09527664184570311,3,105,64,63.0,98.0,0.005615234375,91.0,0.019073486328125,-0.010407257080078124,0.042725372314453114,-0.0030924479166666626,-0.035807291666666664,0.026611328125,0.022165934244791664,0.1678,0.44483985765124556,-2.160152397260274,3.438359036796524
18,0.0440673828125,0.052520751953125,0.008544921875,0.09841995239257811,0.029815673828125,-0.0068359375,0.06720428466796868,0,47,64,,,,,,,,,,,,,,,
19,0.0042724609375,0.037628173828125,-0.00806121826171875,0.08352813720703123,-0.0028076171875,-0.04467926025390625,0.03845367431640623,0,59,64,,,,,,,,,,,,,,,
20,0.0343017578125,0.033050537109375,-0.019931793212890625,0.08383560180664057,-0.00348663330078125,-0.05109424591064453,0.04291744232177731,1,77,64,38.0,77.0,0.015380859375,73.0,-0.00189208984375,-0.01922760009765625,0.01513671875,-0.008921305338541668,-0.028830464680989584,0.010528818766276038,0.007029215494791666,0.8383,0.5426695842450766,-4.5151079136690635,4.841071710007857
21,0.0362548828125,0.0238037109375,-0.026980590820312497,0.06946105957031246,-0.0008697509765625,-0.06354293823242187,0.053337478637695196,2,96,64,3.0,76.0,0.011474609375,74.0,0.01007080078125,-0.01141357421875,0.031005859375,0.0039062500000000035,-0.017925516764322913,0.025575256347656228,0.006164550781250003,0.3713,-11.578947368421053,-6.8053821209041185,7.932927431298328
22,0.03759765625,0.024169921875,-0.020758056640624998,0.068115234375,0.03533935546875,-0.013311767578124998,0.08630981445312491,3,79,64,106.0,64.0,0.0277099609375,56.0,0.0130615234375,-0.011477661132812499,0.043582153320312456,0.026062011718750003,-0.0032765706380208305,0.060753377278645784,-0.01300048828125,0.3997,0.3696027633851468,-1.3488372093023255,2.0171102190504486
23,0.051025390625,0.0120849609375,-0.0318603515625,0.056521606445312456,-0.018402099609375,-0.06399612426757813,0.027467346191406228,3,86,64,35.0,86.0,0.0364990234375,82.0,0.000244140625,-0.026129150390624998,0.024658203125,0.0021158854166666696,-0.024741617838541667,0.029136149088541636,-0.0018717447916666678,1.0,-0.013266998341625208,-4.973138444567016,5.455324675324664
