layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.0654296875,0.11328125,0.04443359375,0.18212890625,0.0595703125,-0.0048828125,0.12451171875,1,74,64,101.0,74.0,-0.00537109375,63.0,-0.0087890625,-0.0478515625,0.02685546875,0.696,0.005533854166666671,-0.04379069010416667,0.05126953125,-0.014322916666666668,-0.14754098360655737,-2.0281249999999997,1.1481944444444439
1,0.2314453125,0.16552734375,0.048327636718750004,0.2929809570312498,0.18310546875,0.06590576171875001,0.3198364257812498,4,93,64,59.0,93.0,0.0419921875,91.0,0.04296875,-0.0126953125,0.10107421875,0.1443,0.056477864583333336,-0.001953124999999999,0.12159830729166643,-0.013509114583333336,0.23466666666666666,-0.14435601071801624,0.44012028759382643
2,0.16162109375,0.13720703125,0.05029296875,0.23292236328124982,0.12109375,0.033679199218750004,0.21630859375,2,116,64,26.0,116.0,0.07568359375,120.0,0.09716796875,0.016101074218750004,0.18017578125,0.0205,0.10628255208333334,0.02782796223958334,0.1918986002604166,-0.00911458333333333,0.8024193548387096,0.3090893308080808,1.4594685086872585
3,0.27392578125,0.26611328125,0.14013671875,0.40139160156249964,0.28564453125,0.13671875,0.451171875,3,88,64,57.0,88.0,0.1474609375,83.0,0.14599609375,0.0439453125,0.26611328125,0.0058,0.11100260416666666,0.025065104166666678,0.2089884440104166,0.03499348958333334,0.5111111111111111,0.22542824538523276,0.7834604498733799
4,0.15087890625,0.16357421875,0.0751953125,0.2607421875,0.19140625,0.08739013671875001,0.3130004882812498,4,105,64,72.0,64.0,0.021484375,60.0,0.07421875,0.0185546875,0.14794921875,0.0087,0.04345703125000001,-0.000980631510416667,0.08821614583333334,0.03076171875,0.3877551020408163,0.13678758996304222,0.6548715442134869
5,0.0986328125,0.140625,0.0556640625,0.23341064453124982,0.1181640625,0.017578125,0.23048095703124982,2,91,64,14.0,80.0,0.0556640625,68.0,0.0908203125,0.02685546875,0.166015625,0.008,0.07682291666666669,0.01676025390625,0.13850911458333334,0.013997395833333334,0.768595041322314,0.26797482157018243,2.1972104176784844
6,0.02294921875,-0.00341796875,-0.09425048828124999,0.07958984375,-0.02880859375,-0.09473876953124999,0.0380859375,1,70,64,40.0,70.0,0.01416015625,69.0,0.04931640625,0.00341796875,0.09765625,0.0427,0.08870442708333334,0.03906250000000001,0.14208984375,-0.039388020833333336,-1.7118644067796611,-16.25375,18.502499999999962
7,0.041015625,0.0703125,0.0078125,0.1337890625,0.00439453125,-0.05419921875,0.0625,0,41,64,,,,,,,,,,,,,,,
8,-0.005859375,0.05615234375,0.0009765625,0.11376953125,0.03369140625,-0.029309082031249996,0.09913330078124982,1,69,64,7.0,69.0,0.009765625,72.0,0.00439453125,-0.0380859375,0.05616455078124982,0.8971,0.026692708333333343,-0.015791829427083338,0.07519938151041662,-0.02229817708333333,0.13043478260869565,-5.203333333333332,5.0
9,0.03662109375,0.05126953125,-0.0234375,0.13624267578124982,0.0751953125,-0.01220703125,0.17677001953124982,3,89,64,75.0,89.0,0.02978515625,86.0,0.064453125,-0.005859375,0.1494140625,0.1368,0.07291666666666666,-8.836247705756806e-19,0.15869140625,-0.008463541666666664,0.8571428571428571,-1.0,3.084027777777768
10,0.07568359375,0.11181640625,0.0439453125,0.1826171875,0.1005859375,0.029296875,0.1748046875,1,81,64,93.0,81.0,0.0185546875,71.0,0.0048828125,-0.0205078125,0.03076171875,0.7358,-0.004557291666666664,-0.041182454427083334,0.03288167317708328,0.009440104166666661,0.04854368932038835,-0.38367198838896954,0.3118336765042324
11,0.00439453125,-0.0576171875,-0.1640625,0.0380859375,-0.03173828125,-0.13720703125,0.07520751953124982,2,91,64,111.0,91.0,-0.01416015625,95.0,0.001953125,-0.037109375,0.04150390625,0.9433,6.938893903907228e-18,-0.04590250651041667,0.046549479166666664,0.001953125000000004,-0.06153846153846154,-3.7275119617224877,3.4356777493606008
12,-0.0146484375,0.01171875,-0.04638671875,0.06982421875,-0.01025390625,-0.07080078125,0.052734375,1,95,64,101.0,95.0,0.01513671875,107.0,0.00146484375,-0.04931640625,0.05810546875,0.9775,-0.0024414062500000082,-0.0419921875,0.043627929687499886,0.00390625,-0.14285714285714285,-11.601666666666667,10.571428571428571
13,0.091796875,0.14892578125,0.06444091796875001,0.234375,0.140625,0.056628417968750004,0.23243408203124982,3,101,64,22.0,101.0,0.03173828125,97.0,0.10498046875,0.041003417968750004,0.17677001953124982,0.0014,0.08772786458333333,0.032389322916666664,0.14730224609374992,0.017252604166666664,0.7465277777777778,0.41726851851851854,1.28811707317073
14,0.0244140625,0.048828125,-0.02294921875,0.12060546875,0.013671875,-0.06690673828124999,0.09425048828124982,1,64,64,78.0,64.0,0.00244140625,57.0,0.02734375,-0.013684082031249996,0.078125,0.2966,0.03369140625000001,-0.0048828125,0.08382161458333331,-0.0063476562499999965,2.0,-7.721428571428569,9.20124999999998
15,0.08154296875,0.1201171875,0.03955078125,0.20850830078124982,0.16064453125,0.07371826171875001,0.25830078125,2,85,64,65.0,75.0,-0.00634765625,63.0,0.02783203125,0.0009765625,0.05615234375,0.0574,-0.001302083333333334,-0.03531901041666667,0.03434244791666666,0.029134114583333332,0.17325227963525835,0.009428972078740454,0.36654883960660833
16,-0.00146484375,0.0546875,-0.009765625,0.11768798828124982,0.0625,-0.0005004882812499958,0.12451171875,0,63,64,,,,,,,,,,,,,,,
17,0.11572265625,0.0751953125,-0.0048828125,0.15380859375,0.10498046875,0.021960449218750004,0.189453125,3,96,64,23.0,96.0,0.01220703125,104.0,0.10546875,0.0400390625,0.177734375,0.0013,0.08154296875,0.02213134765625,0.14209798177083321,0.023925781250000007,1.0046511627906978,0.4357764102098283,3.0760243171219175
18,0.02099609375,-0.013671875,-0.076171875,0.04688720703124982,-0.01220703125,-0.0751953125,0.0517578125,0,59,64,,,,,,,,,,,,,,,
19,-0.0322265625,-0.0302734375,-0.10303955078124999,0.046875,-0.03515625,-0.1083984375,0.04443359375,0,45,64,,,,,,,,,,,,,,,
20,-0.02001953125,0.00146484375,-0.0517578125,0.05712890625,0.013671875,-0.04833984375,0.07763671875,1,64,64,98.0,64.0,-0.01611328125,49.0,-0.0185546875,-0.06201171875,0.01806640625,0.4164,-0.000651041666666667,-0.03369547526041666,0.03157552083333333,-0.017903645833333336,-1.3571428571428572,-12.0,8.8
21,-0.0302734375,0.02099609375,-0.05224609375,0.09326171875,0.0390625,-0.03564453125,0.12061767578124982,3,69,64,75.0,69.0,0.01220703125,68.0,-0.00244140625,-0.03564453125,0.0322265625,0.9145,-0.0029296874999999965,-0.03955078125,0.037272135416666664,0.00048828124999999827,-0.0625,-3.8004545454545453,3.8
22,0.02490234375,0.04638671875,-0.01171875,0.10938720703124982,0.0810546875,0.02099609375,0.146484375,2,70,64,106.0,65.0,0.03466796875,70.0,0.03271484375,0.0009765625,0.068359375,0.0637,0.02766927083333333,-0.0078124999999999965,0.06429036458333333,0.005045572916666666,0.4036144578313253,0.01694915254237288,1.1014992503748118
23,0.01220703125,0.06396484375,-0.018078613281249996,0.14895019531249964,0.04296875,-0.03759765625,0.12451171875,1,64,64,35.0,64.0,-0.00732421875,55.0,-0.01611328125,-0.049328613281249996,0.015625,0.3712,-0.022460937500000003,-0.057779947916666664,0.010909016927083275,0.00634765625,-0.375,,
24,0.03076171875,0.05615234375,-0.001965332031249996,0.11669921875,0.10205078125,0.041015625,0.169921875,1,72,64,101.0,72.0,-0.01416015625,83.0,0.0087890625,-0.02685546875,0.0478515625,0.6795,-0.02392578125,-0.05729166666666666,0.009114583333333332,0.03271484375,0.0861244019138756,-0.4213567754162718,0.4392501456027951
25,0.0869140625,0.1669921875,0.08154296875,0.25341796875,0.16552734375,0.07176513671875001,0.271484375,0,62,64,,,,,,,,,,,,,,,
26,-0.005859375,0.00439453125,-0.05810546875,0.07080078125,0.0185546875,-0.0400390625,0.07861328125,0,59,64,,,,,,,,,,,,,,,
27,0.05224609375,0.103515625,0.017578125,0.19921875,0.06982421875,-0.014660644531249996,0.1572265625,1,81,64,13.0,81.0,0.04638671875,76.0,0.060546875,0.01220703125,0.1103515625,0.0163,0.0810546875,0.03075764973958333,0.13411458333333331,-0.0205078125,0.8671328671328671,-2.1606875,4.934229208924903
28,-0.0078125,-0.00927734375,-0.07178955078124999,0.04981689453124982,-0.06787109375,-0.13819580078125,-0.0029296875,0,54,64,,,,,,,,,,,,,,,
29,0.0029296875,0.07177734375,-0.018078613281249996,0.17333984375,0.0458984375,-0.03955078125,0.14306640625,1,86,64,23.0,86.0,-0.01171875,100.0,-0.087890625,-0.1337890625,-0.0439453125,0.0001,-0.06559244791666666,-0.10791015625,-0.024409993489583393,-0.02229817708333333,-1.9148936170212767,-22.50480769230769,21.444444444444443
30,-0.109375,-0.01611328125,-0.08349609375,0.05078125,-0.01513671875,-0.09473876953124999,0.06787109375,0,55,64,,,,,,,,,,,,,,,
31,-0.08154296875,0.01025390625,-0.057141113281249996,0.07568359375,-0.01123046875,-0.07569580078124999,0.05372314453124982,1,64,64,55.0,64.0,-0.00537109375,67.0,-0.01611328125,-0.0380859375,0.0068359375,0.1722,-0.01643880208333333,-0.04573567708333333,0.01171875,0.00032552083333333413,1.434782608695652,,
32,0.0244140625,0.0087890625,-0.05615234375,0.07275390625,-0.03369140625,-0.09814453125,0.02978515625,0,60,64,,,,,,,,,,,,,,,
33,0.029296875,-0.013671875,-0.08349609375,0.056640625,-0.009765625,-0.07861328125,0.05665283203124982,1,68,64,75.0,68.0,0.0390625,67.0,0.0107421875,-0.02685546875,0.04737548828124982,0.5944,0.010253906250000003,-0.026208496093750002,0.04654947916666667,0.00048828125,-1.1,-6.501785714285714,8.333333333333334
34,0.18603515625,0.15576171875,0.06005859375,0.26220703125,0.15478515625,0.060534667968750004,0.2568359375,2,74,64,106.0,73.0,0.08642578125,78.0,0.123046875,0.06201171875,0.20119628906249964,0.0,0.11214192708333333,0.04703776041666667,0.19645182291666669,0.010904947916666664,0.7949526813880127,0.46099313928781716,1.6011419416416672
35,0.015625,-0.0185546875,-0.1181640625,0.076171875,0.01123046875,-0.09423828125,0.1123046875,2,102,64,35.0,102.0,0.046875,114.0,0.0615234375,0.0224609375,0.10205078125,0.0029,0.06429036458333334,0.021154785156249994,0.10921630859374994,-0.002766927083333332,5.478260869565218,-18.003571428571426,19.378124999999955
36,0.10205078125,0.12646484375,0.037109375,0.216796875,0.15087890625,0.06298828125,0.23828125,0,63,64,,,,,,,,,,,,,,,
37,0.1787109375,0.09423828125,-0.0361328125,0.23388671875,0.12451171875,0.0,0.2558715820312498,4,91,64,22.0,91.0,0.02685546875,107.0,0.0703125,0.02490234375,0.11865234375,0.0031,0.058756510416666664,0.010249837239583332,0.10629069010416656,0.011555989583333332,0.5647058823529412,-0.07593457943925193,2.5900040983606556
38,0.00341796875,-0.025390625,-0.1142578125,0.06103515625,-0.0185546875,-0.111328125,0.07081298828124982,2,101,64,106.0,101.0,0.0166015625,109.0,-0.0087890625,-0.06591796875,0.046875,0.7706,-0.014973958333333329,-0.07177734375,0.042000325520833215,0.0061848958333333304,0.47368421052631576,-6.0,5.572142857142847
39,0.11083984375,0.11962890625,-0.015148925781249996,0.2744140625,0.08935546875,-0.037109375,0.232421875,3,100,64,13.0,87.0,0.05908203125,90.0,0.0166015625,-0.08935546875,0.13135986328124982,0.7813,0.010253906250000002,-0.09473470052083333,0.12191162109374995,0.006347656250000002,0.18579234972677597,-5.270714285714284,5.534999999999975
40,0.173828125,0.142578125,0.0693359375,0.2158203125,0.14404296875,0.07225341796875001,0.21630859375,1,69,64,14.0,69.0,0.0361328125,61.0,0.017578125,-0.01611328125,0.0517578125,0.3426,0.009928385416666666,-0.0224609375,0.04280598958333333,0.007649739583333333,0.12203389830508475,-0.14919921438380226,0.33831593614207434
41,0.0986328125,0.16845703125,0.05078125,0.2900512695312498,0.16259765625,0.04833984375,0.279296875,1,109,64,23.0,109.0,0.01318359375,115.0,0.00732421875,-0.03369140625,0.0478515625,0.7423,-0.0029296875000000035,-0.0458984375,0.03907063802083322,0.010253906250000003,0.04504504504504504,-0.34862676056338027,0.32673971188588047
42,0.33251953125,0.439453125,0.23778076171875,0.6772583007812498,0.45556640625,0.26170654296875,0.6748291015624996,2,113,64,48.0,71.0,0.087890625,80.0,0.1513671875,0.09423828125,0.21142578125,0.0,0.13720703125,0.06933186848958334,0.20589599609374995,0.014160156249999997,0.3322615219721329,0.2028161046347712,0.5408542672388104
43,0.22216796875,0.22021484375,0.12890625,0.3193481445312498,0.2138671875,0.126953125,0.306640625,1,75,64,94.0,75.0,0.09912109375,80.0,0.1083984375,0.050769042968750004,0.17041015625,0.0004,0.08968098958333334,0.03433837890625001,0.1484375,0.018717447916666664,0.5068493150684932,0.2856810939989379,0.7729738020228818
44,0.0791015625,0.07958984375,0.022937011718750004,0.1396484375,0.04931640625,-0.009777832031249996,0.11181640625,2,75,64,32.0,75.0,0.0244140625,84.0,0.0224609375,-0.010266113281249996,0.06005859375,0.2368,0.01302083333333333,-0.022135416666666664,0.05159505208333333,0.009440104166666666,0.45544554455445546,-0.9230769230769231,2.500833333333321
45,0.33349609375,0.369140625,0.259765625,0.4833984375,0.373046875,0.27001953125,0.4833984375,4,127,64,86.0,67.0,0.111328125,71.0,0.11181640625,0.06640625,0.16455078125,0.0,0.07649739583333333,0.029622395833333336,0.1337931315104166,0.03531901041666667,0.299738219895288,0.19682476275760005,0.41327701723621313
46,0.0859375,0.1650390625,0.076904296875,0.2553771972656249,0.155029296875,0.065667724609375,0.246826171875,1,85,64,122.0,85.0,0.01708984375,88.0,0.0537109375,-0.00439453125,0.123046875,0.1092,0.038411458333333336,-0.023278808593750002,0.11067708333333331,0.015299479166666664,0.3464566929133858,-0.05015307497785707,0.6521289183194755
47,1.587646484375,1.547119140625,1.182598876953125,1.9414184570312498,1.537353515625,1.16795654296875,1.9399841308593744,3,111,64,14.0,111.0,0.78369140625,120.0,0.77294921875,0.5849609375,0.9814453125,0.0,0.703125,0.5190348307291667,0.9075520833333333,0.06982421875,0.5027791011592821,0.43130810099746447,0.5815859195871438
