layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.00048828125,-0.00390625,-0.03662109375,0.03076171875,0.00048828125,-0.02197265625,0.02197265625,2,117,64,7,79,0.0048828125,73,0.001953125,-0.01123046875,0.01513671875,0.837,0.0,-0.017578125,0.0185546875,0.001953125,4.0,,
1,0.01220703125,-0.001953125,-0.02490234375,0.020520019531249822,0.00439453125,-0.013671875,0.02197265625,2,105,64,6,74,0.0029296875,70,0.01220703125,-0.00341796875,0.03272705078124982,0.2269,0.0146484375,-0.0048828125,0.03662109375,-0.00244140625,2.7777777777777777,-12.0,25.0
2,-0.02001953125,0.005859375,-0.02001953125,0.03369140625,0.021484375,-0.00048828125,0.04493408203124982,2,125,64,3,125,0.0078125,127,0.0078125,-0.00927734375,0.025390625,0.41,0.0029296875,-0.02294921875,0.0263671875,0.0048828125,0.36363636363636365,,
3,-0.01416015625,0.02587890625,-0.01025390625,0.0654296875,0.01513671875,-0.01318359375,0.0517578125,2,106,64,2,106,-0.00244140625,110,-0.00830078125,-0.0244140625,0.00732421875,0.3431,-0.02685546875,-0.06298828125,0.00390625,0.0185546875,-0.5483870967741935,-9.0,6.0
4,0.01416015625,0.01416015625,-0.02099609375,0.05078125,0.021484375,-0.00537109375,0.048828125,1,125,64,6,125,-0.005859375,125,0.04541015625,0.00927734375,0.08349609375,0.0164,0.04931640625,0.01171875,0.08935546875,-0.00390625,2.1136363636363638,-5.056439393939393,11.667857142857125
5,0.0322265625,0.02001953125,-0.01025390625,0.05224609375,0.029296875,0.00390625,0.05517578125,2,119,64,6,74,0.00439453125,73,-0.00439453125,-0.02392578125,0.013684082031249822,0.7011,-0.01416015625,-0.04052734375,0.0126953125,0.009765625,-0.15,-2.5238721804511277,0.47624223602484395
6,0.0244140625,0.02880859375,-0.0029296875,0.064453125,0.02685546875,-0.00341796875,0.05908203125,2,118,64,2,118,0.01708984375,124,0.02001953125,-0.0068359375,0.0498046875,0.2035,0.0009765625,-0.0234375,0.025390625,0.01904296875,0.7454545454545455,,
7,-0.00537109375,0.02978515625,-0.00390625,0.06494140625,0.0361328125,0.0009765625,0.07373046875,2,128,64,5,71,-0.01025390625,77,0.0029296875,-0.009765625,0.01611328125,0.7284,-0.0205078125,-0.05517578125,0.01025390625,0.0234375,0.08108108108108109,,
8,0.0087890625,0.01904296875,-0.0107421875,0.052734375,0.0166015625,-0.01123046875,0.0458984375,2,87,64,5,65,0.00244140625,66,0.00390625,-0.0107421875,0.01806640625,0.6553,-0.001953125,-0.02685546875,0.02587890625,0.005859375,0.23529411764705882,-2.6,4.0
9,0.03369140625,0.0224609375,-0.01123046875,0.05712890625,0.017578125,-0.0126953125,0.0498046875,2,87,64,1,69,0.0087890625,56,0.00439453125,-0.01220703125,0.0224609375,0.6765,-0.00927734375,-0.03515625,0.0166015625,0.013671875,0.25,-3.5,3.667307692307683
10,0.01318359375,0.0166015625,-0.013671875,0.04833984375,0.02392578125,-0.00537109375,0.0546875,1,91,64,2,91,0.0146484375,96,0.01123046875,-0.009765625,0.03173828125,0.2993,0.02392578125,-0.005859375,0.05078125,-0.0126953125,0.46938775510204084,-1.6666666666666667,2.5
11,0.005859375,-0.00927734375,-0.046875,0.0283203125,-0.00048828125,-0.0380859375,0.03759765625,1,124,64,0,124,-0.00048828125,123,-0.01220703125,-0.041015625,0.0185546875,0.4434,0.0009765625,-0.0244140625,0.02783203125,-0.01318359375,25.0,-11.333333333333334,8.6
12,0.029296875,0.0615234375,0.02685546875,0.09619140625,0.06640625,0.03173828125,0.1025390625,3,78,64,0,78,0.03369140625,86,0.02978515625,0.01123046875,0.048828125,0.0033,0.0107421875,-0.017578125,0.03857421875,0.01904296875,0.4485294117647059,0.19997512437810946,0.8591604313380281
13,0.0302734375,0.02783203125,-0.00244140625,0.0576171875,0.01318359375,-0.01611328125,0.04345703125,1,114,64,5,114,-0.00439453125,112,0.013671875,-0.0087890625,0.03516845703124982,0.2456,0.015625,-0.009765625,0.04052734375,-0.001953125,1.037037037037037,,
14,-0.015625,-0.01220703125,-0.04541015625,0.0224609375,-0.0185546875,-0.05224609375,0.0146484375,2,121,64,3,74,0.00634765625,76,-0.0224609375,-0.04150390625,-0.00390625,0.0235,-0.0283203125,-0.0537109375,-0.00244140625,0.005859375,1.2105263157894737,-8.0,8.200555555555546
15,0.08935546875,0.119140625,0.07763671875,0.1591796875,0.1220703125,0.08251953125,0.1611328125,2,119,64,7,119,0.06640625,115,0.06884765625,0.041015625,0.09716796875,0.0,0.0478515625,0.02001953125,0.07568359375,0.02099609375,0.564,0.4058490923467203,0.7255795739348369
16,0.08984375,0.154296875,0.10496826171875001,0.20263671875,0.146484375,0.103515625,0.189453125,2,126,64,6,126,0.06640625,125,0.1064453125,0.0712890625,0.142578125,0.0,0.0771484375,0.04150390625,0.11572265625,0.029296875,0.7266666666666667,0.5838786353467562,0.8872740076824585
17,0.11083984375,0.17138671875,0.12547607421875,0.22119140625,0.14990234375,0.10546875,0.19630126953124982,1,126,64,2,126,0.09765625,125,0.115234375,0.07568359375,0.1572265625,0.0,0.08642578125,0.048327636718750004,0.125,0.02880859375,0.7687296416938111,0.6209906658515941,0.9314840217063609
18,0.13720703125,0.20458984375,0.15185546875,0.259765625,0.18798828125,0.13623046875,0.24267578125,2,124,64,7,124,0.1044921875,126,0.15625,0.10791015625,0.20703125,0.0,0.134765625,0.08740234375,0.18505859375,0.021484375,0.8311688311688312,0.726743749563517,0.9269417264622744
19,0.1259765625,0.13525390625,0.08740234375,0.18701171875,0.1171875,0.068359375,0.169921875,2,126,64,4,126,0.1123046875,125,0.09423828125,0.051257324218750004,0.13916015625,0.0001,0.0693359375,0.0302734375,0.10986328125,0.02490234375,0.8041666666666667,0.6201459544573643,0.9864864864864865
20,0.158203125,0.18994140625,0.15477294921875,0.22608642578124982,0.17626953125,0.140625,0.21485595703124982,2,95,64,6,95,0.0908203125,97,0.09521484375,0.0693359375,0.12208251953124982,0.0,0.0654296875,0.02685546875,0.10400390625,0.02978515625,0.5401662049861495,0.4114079632868777,0.6849942567066841
21,0.115234375,0.1259765625,0.07373046875,0.18165283203124982,0.106201171875,0.055902099609375006,0.15966796875,2,106,64,7,106,0.0439453125,107,0.044189453125,0.00732421875,0.086181640625,0.0264,-0.012451171875,-0.063482666015625,0.039794921875,0.056640625,0.4160919540229885,0.09716300940438871,0.6899708955272039
22,0.12939453125,0.0986328125,0.0654296875,0.134765625,0.09375,0.060546875,0.1298828125,1,90,64,5,90,0.06640625,99,0.060546875,0.0341796875,0.0869140625,0.0,0.0595703125,0.02783203125,0.091796875,0.0009765625,0.6458333333333334,0.43835086852139526,0.9034509014528269
23,0.08642578125,0.15283203125,0.1142578125,0.19190673828124982,0.14013671875,0.10302734375,0.17919921875,2,114,64,5,114,0.0703125,115,0.1162109375,0.0791015625,0.15479736328124982,0.0,0.1025390625,0.06298828125,0.14306640625,0.013671875,0.8292682926829268,0.6908392336910425,0.9544010956470239
24,0.0283203125,0.06689453125,0.03271484375,0.1005859375,0.0546875,0.02099609375,0.08837890625,2,120,64,4,73,0.0068359375,65,0.0068359375,-0.00537109375,0.01953125,0.3215,-0.00244140625,-0.03076171875,0.02392578125,0.00927734375,0.125,-0.16329326251048362,0.37782407407407337
25,0.0029296875,-0.0244140625,-0.06201171875,0.01904296875,-0.034423828125,-0.072265625,0.008795166015624911,2,104,64,0,104,-0.0009765625,113,-0.02099609375,-0.0537109375,0.016613769531249822,0.2637,0.0009765625,-0.033215332031249996,0.03955078125,-0.02197265625,0.6099290780141844,,
26,0.0234375,0.03564453125,0.0029296875,0.068359375,0.024658203125,-0.006842041015624998,0.056640625,2,92,64,1,92,-0.00146484375,100,0.01171875,-0.00732421875,0.03173828125,0.2647,0.029296875,0.0048828125,0.0546875,-0.017578125,0.4752475247524752,,
27,0.0927734375,0.0791015625,0.044921875,0.11279296875,0.0751953125,0.041015625,0.10986328125,2,113,64,7,113,0.05224609375,115,0.041015625,0.01171875,0.0703125,0.0075,0.03173828125,0.00390625,0.05908203125,0.00927734375,0.5454545454545454,0.2363507718696398,0.7857142857142857
28,-0.02001953125,-0.04443359375,-0.08057861328124999,-0.0068359375,-0.06298828125,-0.099609375,-0.025390625,2,117,64,5,76,0.00537109375,72,0.01708984375,0.0,0.0341796875,0.0585,0.0703125,0.0419921875,0.0986328125,-0.05322265625,-0.2713178294573643,-1.0003571428571427,0.0
29,0.001953125,-0.044921875,-0.10009765625,0.00634765625,-0.060546875,-0.11767578125,-0.0078125,2,126,64,3,126,0.0029296875,126,-0.01611328125,-0.03759765625,0.005859375,0.166,0.02099609375,-0.02783203125,0.07177734375,-0.037109375,0.2661290322580645,-0.25933515482695807,1.1
30,0.177734375,0.1640625,0.10399169921875001,0.2265625,0.16455078125,0.10546875,0.22412109375,2,125,64,1,122,0.10595703125,124,0.11083984375,0.06298828125,0.15821533203124982,0.0,0.08740234375,0.045397949218750004,0.12989501953124982,0.0234375,0.6735905044510386,0.516379534159187,0.8174035416066799
31,0.65869140625,0.45751953125,0.34716796875,0.57275390625,0.4638671875,0.35546875,0.5791015625,3,90,64,5,76,0.4306640625,70,0.31201171875,0.2314453125,0.3999145507812498,0.0,0.49560546875,0.39208984375,0.6010864257812498,-0.18359375,0.6726315789473685,0.5521852889474841,0.8069824201159984
