layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_rescue_p,val_spec,val_spec_lo,val_spec_hi,val_control,concentration,concentration_lo,concentration_hi
0,0.4521484375,0.362152099609375,0.19067001342773438,0.5892074584960937,0.380126953125,0.203607177734375,0.613037109375,2,84,64,5.0,84.0,0.291259765625,75.0,0.1846923828125,0.095947265625,0.2933410644531249,0.0,0.0640869140625,-0.037481689453124994,0.17077941894531246,0.12060546875,0.48587026332691075,0.2681346689568734,0.7503949603305538
1,0.251220703125,0.307708740234375,0.13134765625,0.5539085388183591,0.329833984375,0.142327880859375,0.5835083007812498,0,60,64,,,,,,,,,,,,,,,
2,0.237060546875,0.277191162109375,0.08798065185546874,0.5336959838867187,0.299072265625,0.114984130859375,0.5522521972656249,1,84,64,4.0,84.0,0.08935546875,72.0,0.109130859375,0.035882568359375006,0.207763671875,0.001,-0.026123046875,-0.10595703125,0.04052734375,0.13525390625,0.36489795918367346,0.1946984709480122,0.5731771277502984
3,0.181884765625,0.182708740234375,0.06209564208984375,0.33700790405273434,0.200439453125,0.089111328125,0.3544921875,1,64,64,1.0,64.0,0.079833984375,67.0,0.0302734375,0.00390625,0.05860595703124982,0.0346,-0.016357421875,-0.06298828125,0.0244140625,0.046630859375,0.1510353227771011,0.022007497316988377,0.34538335158817085
4,0.216796875,0.199798583984375,0.08563232421875,0.32984237670898425,0.211181640625,0.10595703125,0.3391174316406249,0,47,64,,,,,,,,,,,,,,,
5,0.16064453125,0.105560302734375,0.024593353271484375,0.18188705444335934,0.11083984375,0.0556640625,0.1748107910156249,1,84,64,5.0,84.0,0.0361328125,86.0,0.021484375,-0.00146484375,0.04443359375,0.073,-0.0244140625,-0.059582519531249996,0.01025390625,0.0458984375,0.19383259911894274,-0.015482724993034266,0.4343627110802681
6,0.211181640625,0.117034912109375,0.02932281494140625,0.20883560180664057,0.134033203125,0.06640625,0.21265869140624982,1,67,64,6.0,67.0,0.077392578125,71.0,0.04931640625,0.02490234375,0.078125,0.0003,-0.00244140625,-0.044189453125,0.03759765625,0.0517578125,0.3679417122040073,0.178987716008283,0.6958395429706902
7,0.15478515625,0.1473541259765625,0.08010787963867187,0.2280605316162109,0.160675048828125,0.07666015625,0.259857177734375,1,70,64,7.0,70.0,0.07080078125,62.0,0.0419921875,-0.00146484375,0.08838500976562491,0.0656,-0.0296630859375,-0.066650390625,0.003909301757812456,0.0716552734375,0.2613485280151947,-0.007620197214087135,0.5235849056603774
8,0.164306640625,0.1158294677734375,0.06211585998535157,0.1793087005615234,0.1352386474609375,0.0712890625,0.2104454040527342,1,78,64,3.0,78.0,0.057861328125,81.0,0.056396484375,0.025390625,0.091796875,0.0005,-0.0040435791015625,-0.06622581481933594,0.04736328125,0.0604400634765625,0.4170145548911204,0.22253375576973616,0.6599230289161638
9,0.132080078125,0.091400146484375,0.016448974609375,0.16553573608398425,0.118408203125,0.061511230468750004,0.18603515625,0,58,64,,,,,,,,,,,,,,,
