layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_spec,val_spec_lo,val_spec_hi,val_control,val_rescue_p,concentration,concentration_lo,concentration_hi
0,0.009765625,0.0185546875,-0.00341796875,0.04052734375,0.001953125,-0.01806640625,0.02099609375,0,45,64,,,,,,,,,,,,,,,
1,0.0048828125,-0.00439453125,-0.02587890625,0.01611328125,-0.01025390625,-0.0341796875,0.0146484375,1,89,64,110.0,89.0,0.00146484375,84.0,-0.01025390625,-0.02880859375,0.0068359375,-0.007486979166666665,-0.026859537760416666,0.011393229166666668,-0.0027669270833333348,0.2934,1.0,-10.669999999999998,8.33749999999994
2,0.00537109375,-0.02294921875,-0.05224609375,0.0029296875,-0.01171875,-0.03564453125,0.01220703125,2,128,64,79.0,100.0,0.01220703125,114.0,-0.005859375,-0.0263671875,0.0146484375,0.008951822916666668,-0.009928385416666664,0.02734375,-0.014811197916666668,0.5982,0.5,,
3,0.00732421875,0.005859375,-0.01708984375,0.02734375,0.0078125,-0.01416015625,0.0302734375,1,73,64,8.0,73.0,-0.00634765625,71.0,0.00537109375,-0.01513671875,0.02392578125,0.0017903645833333326,-0.018717447916666668,0.020670572916666668,0.0035807291666666665,0.6221,0.6875,-7.4025,9.33749999999994
4,0.0048828125,0.0107421875,-0.0126953125,0.033203125,0.00732421875,-0.0185546875,0.03125,3,124,64,84.0,124.0,0.00146484375,124.0,0.03271484375,0.0087890625,0.0556640625,0.024576822916666668,0.006343587239583334,0.04394938151041661,0.008138020833333336,0.0068,4.466666666666667,-21.666666666666668,42.024999999999636
5,0.00439453125,0.0107421875,-0.01513671875,0.03369140625,0.0087890625,-0.018566894531249996,0.03564453125,5,102,64,121.0,95.0,-0.00341796875,101.0,0.01953125,-0.0009765625,0.03955078125,0.013509114583333336,-0.005375162760416667,0.03353271484374994,0.006022135416666667,0.0722,2.2222222222222223,,
6,-0.00146484375,0.00048828125,-0.02734375,0.0263671875,-0.00732421875,-0.03515625,0.02001953125,2,79,64,59.0,67.0,0.00927734375,52.0,-0.00439453125,-0.021484375,0.01123046875,-0.005533854166666668,-0.02587890625,0.014973958333333334,0.001139322916666666,0.6435,0.6,,
7,0.01416015625,-0.0009765625,-0.02880859375,0.024426269531249822,-0.005859375,-0.03271484375,0.02001953125,3,101,64,0.0,77.0,0.01025390625,70.0,0.0078125,-0.00830078125,0.02392578125,0.009602864583333334,-0.01025390625,0.02978922526041661,-0.0017903645833333313,0.3719,-1.3333333333333333,,
8,-0.00048828125,0.0,-0.0244140625,0.023449707031249822,-0.005859375,-0.03173828125,0.01953125,3,112,64,73.0,69.0,-0.00146484375,62.0,-0.02197265625,-0.0439453125,-0.00146484375,-0.00341796875,-0.021321614583333332,0.014811197916666668,-0.0185546875,0.0438,3.75,-36.02499999999999,18.5
9,0.0029296875,0.00244140625,-0.024914550781249996,0.02880859375,-0.021484375,-0.046875,0.0029296875,3,108,64,93.0,93.0,0.01171875,91.0,0.00146484375,-0.0146484375,0.01708984375,0.008463541666666664,-0.00830078125,0.025069173177083275,-0.006998697916666666,0.9026,-0.06818181818181818,-3.0,1.909577922077915
10,-0.00048828125,-0.00244140625,-0.02880859375,0.021984863281249822,-0.0185546875,-0.04296875,0.0048828125,3,111,64,44.0,70.0,0.00439453125,63.0,-0.01220703125,-0.02734375,0.00341796875,0.011067708333333332,-0.007649739583333332,0.02978515625,-0.023274739583333336,0.1411,0.6578947368421053,-3.004166666666665,4.666666666666667
11,0.00341796875,0.01171875,-0.012219238281249996,0.03564453125,-0.04052734375,-0.06591796875,-0.0166015625,4,78,64,34.0,76.0,0.00634765625,61.0,-0.01123046875,-0.02392578125,0.001953125,0.011881510416666664,-0.007653808593750001,0.03239339192708328,-0.023111979166666664,0.1152,0.27710843373493976,-0.06357142857142854,0.7678680313588849
12,0.01318359375,0.0107421875,-0.01708984375,0.03759765625,-0.00341796875,-0.025390625,0.0185546875,4,90,64,82.0,68.0,-0.0087890625,64.0,0.00390625,-0.0078125,0.015637207031249822,-0.0009765624999999983,-0.016764322916666664,0.014485677083333336,0.004882812499999999,0.5858,-1.1428571428571428,-8.0,8.5
13,0.01953125,0.0126953125,-0.01220703125,0.0361328125,-0.0029296875,-0.029296875,0.0244140625,6,100,64,22.0,65.0,0.0068359375,66.0,0.00048828125,-0.01416015625,0.015625,0.009114583333333336,-0.008951822916666664,0.027506510416666664,-0.008626302083333332,1.0,-0.16666666666666666,,
14,-0.0087890625,0.0029296875,-0.021484375,0.024914550781249822,-0.00927734375,-0.03125,0.01318359375,5,117,64,45.0,71.0,-0.00341796875,54.0,-0.00146484375,-0.01708984375,0.01318359375,0.001464843750000002,-0.0185546875,0.021158854166666668,-0.0029296875000000004,0.9006,0.15789473684210525,,
15,-0.00146484375,0.00732421875,-0.01708984375,0.03173828125,0.001953125,-0.02685546875,0.02880859375,4,114,64,74.0,114.0,0.013671875,119.0,-0.00732421875,-0.033203125,0.01611328125,-0.020670572916666664,-0.040364583333333336,-0.0012980143229167239,0.013346354166666668,0.5985,-3.75,,
16,0.0107421875,0.021484375,-0.00341796875,0.044921875,0.00537109375,-0.0205078125,0.03076171875,4,118,64,38.0,94.0,0.001953125,93.0,-0.00439453125,-0.024914550781249996,0.01416015625,-0.010742187500000003,-0.03173828125,0.009932454427083275,0.006347656250000001,0.7048,-0.8181818181818182,,
17,-0.00244140625,0.01416015625,-0.0126953125,0.0390625,-0.00048828125,-0.02880859375,0.02734375,4,126,64,98.0,89.0,0.01318359375,92.0,0.00830078125,-0.01513671875,0.03271484375,0.0048828125,-0.013838704427083333,0.025065104166666664,0.0034179687499999987,0.5332,-17.0,,
18,0.01708984375,0.01513671875,-0.005859375,0.03662109375,-0.00830078125,-0.03564453125,0.017578125,1,76,64,113.0,76.0,-0.00537109375,76.0,-0.02099609375,-0.0390625,-0.0048828125,-0.015625,-0.03450927734375,0.0021199544270832757,-0.005371093749999999,0.0161,2.5294117647058822,-22.00833333333333,18.337499999999938
19,0.0029296875,0.0087890625,-0.01611328125,0.033203125,-0.013671875,-0.03955078125,0.01171875,4,109,64,77.0,76.0,0.0048828125,79.0,0.0009765625,-0.0166015625,0.017578125,0.0008138020833333343,-0.016764322916666664,0.018229166666666668,0.00016276041666666696,1.0,-0.07142857142857142,,
